ligand,target,affinity,smiles,pose_pdbqt
Amlodipine,TDP43,-0.031,,/home/ubuntu/mmgbsa/poses/Amlodipine_out.pdbqt
Amlodipine,SOD1,-0.03,,/home/ubuntu/mmgbsa/poses/Amlodipine_out.pdbqt
Cholecalciferol,TDP43,-0.011,,/home/ubuntu/mmgbsa/poses/Cholecalciferol_out.pdbqt
Atorvastatin,SOD1,-0.011,,/home/ubuntu/mmgbsa/poses/Atorvastatin_out.pdbqt
Cholecalciferol,SOD1,-0.01,,/home/ubuntu/mmgbsa/poses/Cholecalciferol_out.pdbqt
Masitinib,TDP43,-0.008,,/home/ubuntu/mmgbsa/poses/Masitinib_out.pdbqt
Vitamin_E,TDP43,-0.008,,/home/ubuntu/mmgbsa/poses/Vitamin_E_out.pdbqt
Fingolimod,TDP43,-0.007,,/home/ubuntu/mmgbsa/poses/Fingolimod_out.pdbqt
Sertraline,TDP43,-0.007,,/home/ubuntu/mmgbsa/poses/Sertraline_out.pdbqt
Ceftriaxone,SOD1,-0.007,,/home/ubuntu/mmgbsa/poses/Ceftriaxone_out.pdbqt
Sertraline,SOD1,-0.007,,/home/ubuntu/mmgbsa/poses/Sertraline_out.pdbqt
Vitamin_E,SOD1,-0.007,,/home/ubuntu/mmgbsa/poses/Vitamin_E_out.pdbqt
Donepezil,SOD1,-0.006,,/home/ubuntu/mmgbsa/poses/Donepezil_out.pdbqt
Ceftriaxone,TDP43,-0.004,,/home/ubuntu/mmgbsa/poses/Ceftriaxone_out.pdbqt
Ezogabine,SOD1,-0.004,,/home/ubuntu/mmgbsa/poses/Ezogabine_out.pdbqt
Berberine,TDP43,-0.003,,/home/ubuntu/mmgbsa/poses/Berberine_out.pdbqt
Escitalopram,SOD1,-0.003,,/home/ubuntu/mmgbsa/poses/Escitalopram_out.pdbqt
Fingolimod,SOD1,-0.003,,/home/ubuntu/mmgbsa/poses/Fingolimod_out.pdbqt
Masitinib,SOD1,-0.003,,/home/ubuntu/mmgbsa/poses/Masitinib_out.pdbqt
Teriflunomide,SOD1,-0.003,,/home/ubuntu/mmgbsa/poses/Teriflunomide_out.pdbqt
Donepezil,TDP43,-0.002,,/home/ubuntu/mmgbsa/poses/Donepezil_out.pdbqt
Fluoxetine,TDP43,-0.002,,/home/ubuntu/mmgbsa/poses/Fluoxetine_out.pdbqt
Indomethacin,TDP43,-0.002,,/home/ubuntu/mmgbsa/poses/Indomethacin_out.pdbqt
Tamoxifen,TDP43,-0.002,,/home/ubuntu/mmgbsa/poses/Tamoxifen_out.pdbqt
TUDCA,TDP43,-0.002,,/home/ubuntu/mmgbsa/poses/TUDCA_out.pdbqt
Fluoxetine,SOD1,-0.002,,/home/ubuntu/mmgbsa/poses/Fluoxetine_out.pdbqt
Simvastatin,SOD1,-0.002,,/home/ubuntu/mmgbsa/poses/Simvastatin_out.pdbqt
Alpha-Lipoic_Acid,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Alpha-Lipoic_Acid_out.pdbqt
Arimoclomol,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Arimoclomol_out.pdbqt
Atorvastatin,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Atorvastatin_out.pdbqt
Baclofen,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Baclofen_out.pdbqt
Candesartan,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Candesartan_out.pdbqt
Celecoxib,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Celecoxib_out.pdbqt
Curcumin,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Curcumin_out.pdbqt
Ezogabine,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Ezogabine_out.pdbqt
Gabapentin,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Gabapentin_out.pdbqt
Minocycline,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Minocycline_out.pdbqt
Pioglitazone,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Pioglitazone_out.pdbqt
Pregabalin,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Pregabalin_out.pdbqt
Ropinirole,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Ropinirole_out.pdbqt
Simvastatin,TDP43,-0.001,,/home/ubuntu/mmgbsa/poses/Simvastatin_out.pdbqt
