ligand,target,vina_affinity
Amlodipine,TDP43,-0.031
Amlodipine,SOD1,-0.03
Cholecalciferol,TDP43,-0.011
Atorvastatin,SOD1,-0.011
Cholecalciferol,SOD1,-0.01
Masitinib,TDP43,-0.008
Vitamin_E,TDP43,-0.008
Fingolimod,TDP43,-0.007
Sertraline,TDP43,-0.007
Ceftriaxone,SOD1,-0.007
Sertraline,SOD1,-0.007
Vitamin_E,SOD1,-0.007
Donepezil,SOD1,-0.006
Ceftriaxone,TDP43,-0.004
Ezogabine,SOD1,-0.004
Berberine,TDP43,-0.003
Escitalopram,SOD1,-0.003
Fingolimod,SOD1,-0.003
Masitinib,SOD1,-0.003
Teriflunomide,SOD1,-0.003
Donepezil,TDP43,-0.002
Fluoxetine,TDP43,-0.002
Indomethacin,TDP43,-0.002
Tamoxifen,TDP43,-0.002
TUDCA,TDP43,-0.002
Fluoxetine,SOD1,-0.002
Simvastatin,SOD1,-0.002
Alpha-Lipoic_Acid,TDP43,-0.001
Arimoclomol,TDP43,-0.001
Atorvastatin,TDP43,-0.001
Baclofen,TDP43,-0.001
Candesartan,TDP43,-0.001
Celecoxib,TDP43,-0.001
Curcumin,TDP43,-0.001
Ezogabine,TDP43,-0.001
Gabapentin,TDP43,-0.001
Minocycline,TDP43,-0.001
Pioglitazone,TDP43,-0.001
Pregabalin,TDP43,-0.001
Ropinirole,TDP43,-0.001
Simvastatin,TDP43,-0.001
Sulforaphane,TDP43,-0.001
Teriflunomide,TDP43,-0.001
Baclofen,SOD1,-0.001
Candesartan,SOD1,-0.001
Curcumin,SOD1,-0.001
Epigallocatechin_gallate,SOD1,-0.001
Folic_Acid,SOD1,-0.001
Omeprazole,SOD1,-0.001
Pioglitazone,SOD1,-0.001
Pregabalin,SOD1,-0.001
TUDCA,SOD1,-0.001
AMX0035,TDP43,-0.0
Apigenin,TDP43,0.0
Ascorbic_Acid,TDP43,-0.0
Aspirin,TDP43,-0.0
Baicalein,TDP43,0.0
Cannabidiol,TDP43,0.0
Cladribine,TDP43,-0.0
Creatine,TDP43,0.0
Deferiprone,TDP43,0.0
Dexamethasone,TDP43,-0.0
Diclofenac,TDP43,-0.0
Dimethyl_Fumarate,TDP43,-0.0
Doxycycline,TDP43,0.0
Edaravone,TDP43,0.0
Epigallocatechin_gallate,TDP43,-0.0
Escitalopram,TDP43,0.0
Fisetin,TDP43,0.0
Folic_Acid,TDP43,-0.0
Genistein,TDP43,0.0
Ibuprofen,TDP43,-0.0
Lamotrigine,TDP43,0.0
Lenalidomide,TDP43,0.0
Levodopa,TDP43,-0.0
Losartan,TDP43,-0.0
Luteolin,TDP43,0.0
Melatonin,TDP43,-0.0
Memantine,TDP43,0.0
Metformin,TDP43,0.0
N-Acetylcysteine,TDP43,0.0
Naproxen,TDP43,-0.0
Nicotinamide,TDP43,0.0
Omeprazole,TDP43,0.0
Paracetamol,TDP43,0.0
Pramipexole,TDP43,-0.0
Prednisone,TDP43,-0.0
Pyridoxine,TDP43,0.0
Quercetin,TDP43,0.0
Rapamycin,TDP43,-0.0
Rasagiline,TDP43,0.0
Resveratrol,TDP43,0.0
Riboflavin,TDP43,-0.0
Riluzole,TDP43,0.0
Rivastigmine,TDP43,-0.0
Rosiglitazone,TDP43,-0.0
Selegiline,TDP43,-0.0
Telmisartan,TDP43,0.0
Thalidomide,TDP43,0.0
Thiamine,TDP43,-0.0
Tizanidine,TDP43,-0.0
Topiramate,TDP43,-0.0
Ursolic_Acid,TDP43,0.0
Valproic_Acid,TDP43,-0.0
Alpha-Lipoic_Acid,SOD1,0.0
AMX0035,SOD1,-0.0
Apigenin,SOD1,0.0
Arimoclomol,SOD1,-0.0
Ascorbic_Acid,SOD1,-0.0
Aspirin,SOD1,-0.0
Baicalein,SOD1,0.0
Berberine,SOD1,0.0
Cannabidiol,SOD1,-0.0
Celecoxib,SOD1,0.0
Cladribine,SOD1,-0.0
Creatine,SOD1,0.0
Deferiprone,SOD1,0.0
Dexamethasone,SOD1,-0.0
Diclofenac,SOD1,0.0
Dimethyl_Fumarate,SOD1,-0.0
Doxycycline,SOD1,0.0
Edaravone,SOD1,0.0
Fisetin,SOD1,-0.0
Gabapentin,SOD1,0.0
Genistein,SOD1,0.0
Ibuprofen,SOD1,-0.0
Indomethacin,SOD1,-0.0
Lamotrigine,SOD1,0.0
Lenalidomide,SOD1,-0.0
Levodopa,SOD1,-0.0
Losartan,SOD1,-0.0
Luteolin,SOD1,0.0
Melatonin,SOD1,-0.0
Memantine,SOD1,0.0
Metformin,SOD1,0.0
Minocycline,SOD1,0.0
N-Acetylcysteine,SOD1,-0.0
Naproxen,SOD1,-0.0
Nicotinamide,SOD1,0.0
Paracetamol,SOD1,0.0
Pramipexole,SOD1,-0.0
Prednisone,SOD1,0.0
Pyridoxine,SOD1,-0.0
Quercetin,SOD1,0.0
Rapamycin,SOD1,-0.0
Rasagiline,SOD1,0.0
Resveratrol,SOD1,-0.0
Riboflavin,SOD1,-0.0
Riluzole,SOD1,-0.0
Rivastigmine,SOD1,-0.0
Ropinirole,SOD1,0.0
Rosiglitazone,SOD1,0.0
Selegiline,SOD1,0.0
Sulforaphane,SOD1,-0.0
Tamoxifen,SOD1,-0.0
Telmisartan,SOD1,-0.0
Thalidomide,SOD1,0.0
Thiamine,SOD1,-0.0
Tizanidine,SOD1,-0.0
Topiramate,SOD1,-0.0
Ursolic_Acid,SOD1,-0.0
Valproic_Acid,SOD1,-0.0
