ligand,papel,quimia,afinidad,pesados,puesto,residual
DECM_CHEMBL21594,fondo,,-7.464,30,1,-1.066
DECM_CHEMBL9250,fondo,,-7.229,31,2,-0.724
DECM_CHEMBL14043,fondo,,-7.187,31,3,-0.682
DECM_CHEMBL20651,fondo,,-7.138,30,4,-0.74
DECH_CHEMBL27556,fondo,,-6.988,24,5,-1.227
DECM_CHEMBL4553656,fondo,,-6.976,30,6,-0.578
DECM_CHEMBL4436558,fondo,,-6.862,32,7,-0.251
DEC_CHEMBL1491654,fondo,,-6.861,26,8,-0.888
DECM_CHEMBL124937,fondo,,-6.858,19,9,-1.629
naftalenoaminoalcohol_946,positivo,aminoalcohol naftenico,-6.846,23,10,-1.192
DECH_CHEMBL26518,fondo,,-6.794,24,11,-1.033
DECM_CHEMBL584766,fondo,,-6.769,30,12,-0.371
paliperidona_K4I,positivo,benzisoxazol-piperidina,-6.727,31,13,-0.222
DECH_CHEMBL28280,fondo,,-6.71,24,14,-0.949
DECM_CHEMBL17224,fondo,,-6.699,30,15,-0.301
DEC_CHEMBL1327582,fondo,,-6.683,32,16,-0.072
DEC_CHEMBL1472702,fondo,,-6.677,31,17,-0.172
DECM_CHEMBL4435214,fondo,,-6.652,31,18,-0.147
DEC_CHEMBL1395067,fondo,,-6.624,26,19,-0.651
DECH_CHEMBL1872278,fondo,,-6.623,25,20,-0.756
DECM_CHEMBL4435035,fondo,,-6.6,32,21,0.011
DEC_CHEMBL124937,fondo,,-6.577,19,22,-1.348
DEC_CHEMBL1437517,fondo,,-6.57,23,23,-0.916
DECH_CHEMBL1540525,fondo,,-6.544,23,24,-0.89
DEC_CHEMBL1528023,fondo,,-6.535,20,25,-1.199
DEC_CHEMBL1491587,fondo,,-6.525,18,26,-1.402
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",fondo,,-6.516,26,27,-0.543
DECH_CHEMBL1343730,fondo,,-6.438,23,28,-0.784
DEC_CHEMBL1475748,fondo,,-6.41,24,29,-0.649
DECH_CHEMBL1877893,fondo,,-6.395,24,30,-0.634
DEC_CHEMBL1731606,fondo,,-6.377,18,31,-1.254
DEC_CHEMBL1398411,fondo,,-6.376,23,32,-0.722
DECH_CHEMBL25014,fondo,,-6.372,25,33,-0.505
DECH_CHEMBL398707,fondo,,-6.371,21,34,-0.929
DEC_CHEMBL1554159,fondo,,-6.358,24,35,-0.597
DECM_CHEMBL1896432,fondo,,-6.341,30,36,0.057
DECM_CHEMBL4435669,fondo,,-6.339,31,37,0.166
Lig9_6B3,positivo,fenantridinona,-6.334,33,38,0.383
DECH_CHEMBL19130,fondo,,-6.334,21,39,-0.892
DECH_CHEMBL20287,fondo,,-6.316,20,40,-0.98
DECM_CHEMBL15139,fondo,,-6.289,31,41,0.216
DEC_CHEMBL1575024,fondo,,-6.285,23,42,-0.631
DECH_CHEMBL3310377,fondo,,-6.283,23,43,-0.629
DECH_CHEMBL1406300,fondo,,-6.27,23,44,-0.616
DEC_CHEMBL1732240,fondo,,-6.267,21,45,-0.825
DEC_CHEMBL3214262,fondo,,-6.262,26,46,-0.289
DEC_CHEMBL1587018,fondo,,-6.258,22,47,-0.71
DEC_CHEMBL1708737,fondo,,-6.256,26,48,-0.283
DEC_CHEMBL267400,fondo,,-6.256,20,49,-0.92
DECH_CHEMBL20160,fondo,,-6.251,23,50,-0.597
DECH_CHEMBL1162123,fondo,,-6.248,24,51,-0.487
DECH_CHEMBL7790,fondo,,-6.245,22,52,-0.697
DECH_CHEMBL70,fondo,,-6.244,21,53,-0.802
DECH_CHEMBL19179,fondo,,-6.227,24,54,-0.466
DECM_CHEMBL7969,fondo,,-6.22,19,55,-0.991
DEC_CHEMBL1330118,fondo,,-6.218,26,56,-0.245
DECH_CHEMBL490,fondo,,-6.213,24,57,-0.452
DEC_CHEMBL1383019,fondo,,-6.205,26,58,-0.232
DEC_CHEMBL1470903,fondo,,-6.203,29,59,0.089
DECH_CHEMBL3309988,fondo,,-6.202,25,60,-0.335
DECM_CHEMBL267400,fondo,,-6.202,20,61,-0.866
DEC_CHEMBL1896432,fondo,,-6.199,30,62,0.199
DECM_CHEMBL1304181,fondo,,-6.177,29,63,0.115
DEC_CHEMBL1602967,fondo,,-6.175,26,64,-0.202
DECH_CHEMBL1324,fondo,,-6.167,20,65,-0.831
DEC_CHEMBL1315185,fondo,,-6.137,26,66,-0.164
DEC_CHEMBL1732294,fondo,,-6.115,23,67,-0.461
DECM_CHEMBL4435744,fondo,,-6.11,29,68,0.182
DECH_CHEMBL3309993,fondo,,-6.106,25,69,-0.239
DECH_CHEMBL1311703,fondo,,-6.101,23,70,-0.447
DECH_CHEMBL926,fondo,,-6.1,22,71,-0.552
DECH_CHEMBL1304194,fondo,,-6.097,22,72,-0.549
DEC_CHEMBL1390550,fondo,,-6.085,21,73,-0.643
DEC_CHEMBL1591882,fondo,,-6.083,30,74,0.315
DECH_CHEMBL963,fondo,,-6.08,22,75,-0.532
DECM_CHEMBL1591882,fondo,,-6.068,30,76,0.33
DECH_CHEMBL7334,fondo,,-6.066,22,77,-0.518
DEC_CHEMBL1547432,fondo,,-6.058,18,78,-0.935
DECH_CHEMBL1201251,fondo,,-6.048,23,79,-0.394
DECH_CHEMBL1201273,fondo,,-6.044,24,80,-0.283
DEC_CHEMBL272808,fondo,,-6.011,23,81,-0.357
DEC_IPRIFLAVONE,fondo,,-6.01,21,82,-0.568
DEC_CHEMBL1601845,fondo,,-5.994,17,83,-0.977
DECM_CHEMBL595793,fondo,,-5.992,20,84,-0.656
DEC_CHEMBL1321608,fondo,,-5.992,22,85,-0.444
DEC_CHEMBL1431783,fondo,,-5.986,31,86,0.519
DECH_CHEMBL1597289,fondo,,-5.985,25,87,-0.118
DECM_CHEMBL7946,fondo,,-5.984,19,88,-0.755
DEC_CHEMBL1896241,fondo,,-5.977,22,89,-0.429
DEC_CHEMBL1900310,fondo,,-5.977,23,90,-0.323
DEC_5-HYDROXYFLAVONE,fondo,,-5.964,18,91,-0.841
DECH_CHEMBL408513,fondo,,-5.96,22,92,-0.412
DECM_CHEMBL473417,fondo,,-5.952,27,93,0.127
DECH_CHEMBL1601733,fondo,,-5.95,22,94,-0.402
DECH_CHEMBL3309985,fondo,,-5.95,24,95,-0.189
DECM_CHEMBL1431783,fondo,,-5.94,31,96,0.565
DECH_CHEMBL23647,fondo,,-5.936,24,97,-0.175
DECH_CHEMBL3310302,fondo,,-5.934,23,98,-0.28
DECH_CHEMBL588,fondo,,-5.934,21,99,-0.492
DECM_CHEMBL170988,fondo,,-5.927,15,100,-1.123
DECH_CHEMBL313972,fondo,,-5.925,22,101,-0.377
DEC_CHEMBL1476483,fondo,,-5.923,24,102,-0.162
DEC_CHEMBL1402356,fondo,,-5.918,23,103,-0.264
DEC_CHEMBL1304181,fondo,,-5.911,29,104,0.381
DEC_CHEMBL1896176,fondo,,-5.91,22,105,-0.362
DECM_CHEMBL469,fondo,,-5.905,19,106,-0.676
DEC_Baicalein,fondo,,-5.899,19,107,-0.67
DEC_CHEMBL1452318,fondo,,-5.893,21,108,-0.451
DEC_CHEMBL2360645,fondo,,-5.886,26,109,0.087
DECM_CHEMBL2165606,fondo,,-5.885,16,110,-0.975
DECH_CHEMBL53,fondo,,-5.883,20,111,-0.547
DECM_CHEMBL465026,fondo,,-5.876,19,112,-0.647
DECH_CHEMBL1077248,fondo,,-5.872,25,113,-0.005
DEC_CHEMBL1309718,fondo,,-5.848,26,114,0.125
DEC_CHEMBL1461506,fondo,,-5.847,18,115,-0.724
DECH_CHEMBL1303069,fondo,,-5.834,20,116,-0.498
DECM_CHEMBL27275,fondo,,-5.834,32,117,0.777
DEC_CHEMBL1429038,fondo,,-5.831,30,118,0.567
DECH_CHEMBL4543361,fondo,,-5.824,25,119,0.043
DEC_CHEMBL1579999,fondo,,-5.822,25,120,0.045
DECH_CHEMBL10012,fondo,,-5.82,22,121,-0.272
DEC_CHEMBL1502132,fondo,,-5.808,20,122,-0.472
DEC_Luteolin,fondo,,-5.808,21,123,-0.366
DECH_CHEMBL1256841,fondo,,-5.806,22,124,-0.258
DEC_CHEMBL3208261,fondo,,-5.805,22,125,-0.257
DEC_Teriflunomide,fondo,,-5.805,19,126,-0.576
DECM_CHEMBL266960,fondo,,-5.802,30,127,0.596
DECM_CHEMBL28286,fondo,,-5.793,31,128,0.712
DEC_Apigenin,fondo,,-5.791,20,129,-0.455
DECM_CHEMBL1474963,fondo,,-5.788,20,130,-0.452
DECH_CHEMBL80,fondo,,-5.78,24,131,-0.019
DECM_CHEMBL898,fondo,,-5.777,18,132,-0.654
DEC_CHEMBL1602108,fondo,,-5.762,22,133,-0.214
DEC_KAEMPFEROL,fondo,,-5.759,21,134,-0.317
DEC_CHEMBL1510247,fondo,,-5.754,21,135,-0.312
DECH_CHEMBL1310629,fondo,,-5.743,22,136,-0.195
DEC_Quercetin,fondo,,-5.74,22,137,-0.192
DEC_CHEMBL2143380,fondo,,-5.739,24,138,0.022
DECM_CHEMBL1461506,fondo,,-5.734,18,139,-0.611
DEC_CHEMBL1530615,fondo,,-5.731,24,140,0.03
DECH_CHEMBL1362943,fondo,,-5.717,22,141,-0.169
DEC_CHEMBL1373390,fondo,,-5.715,26,142,0.258
DECM_CHEMBL648,fondo,,-5.702,20,143,-0.366
DEC_CHEMBL2165608,fondo,,-5.701,18,144,-0.578
DECH_CHEMBL1578770,fondo,,-5.699,21,145,-0.257
DECM_CHEMBL21042,fondo,,-5.696,32,146,0.915
DEC_Genistein,fondo,,-5.691,20,147,-0.355
DEC_CHEMBL3194612,fondo,,-5.677,18,148,-0.554
