ligand,papel,afinidad,pesados,puesto_fondo1,puesto_fondo2,residual
DEC_CHEMBL14666,fondo,-10.399,44,1,,
RB_SM_0127,fondo2,-9.494,46,,1,
RB_SM_0083,fondo2,-9.35,28,,2,
DEC_CHEMBL4435881,fondo,-9.327,24,2,,
RB_SM_0111,fondo2,-9.127,36,,3,
RB_SM_0137,fondo2,-9.04,40,,4,
DEC_CHEMBL4436054,fondo,-8.988,43,3,,
DEC_CHEMBL12212,fondo,-8.985,34,4,,
RB_SM_0010,fondo2,-8.982,34,,5,
DEC_CHEMBL20834,fondo,-8.975,26,5,,
DEC_CHEMBL2360863,fondo,-8.968,32,6,,
DEC_CHEMBL17590,fondo,-8.892,37,7,,
RB_SM_0052,fondo2,-8.891,28,,6,
RB_SM_0152,fondo2,-8.83,40,,7,
RB_SM_0001,fondo2,-8.767,29,,8,
DEC_CHEMBL11796,fondo,-8.753,34,8,,
RB_SM_0089,fondo2,-8.751,26,,9,
DEC_CHEMBL20549,fondo,-8.657,34,9,,
RB_SM_0031,fondo2,-8.657,32,,10,
DEC_CHEMBL9112,fondo,-8.593,23,10,,
DEC_CHEMBL607833,fondo,-8.591,47,11,,
DEC_CHEMBL2105722,fondo,-8.582,24,12,,
DEC_CHEMBL4582651,fondo,-8.465,39,13,,
DEC_CHEMBL3310561,fondo,-8.456,25,14,,
DEC_CHEMBL1214124,fondo,-8.453,27,15,,
RB_SM_0030,fondo2,-8.439,30,,11,
RB_SM_0055A,fondo2,-8.436,23,,12,
RB_SM_0096,fondo2,-8.435,33,,13,
DEC_CHEMBL8960,fondo,-8.425,24,16,,
DEC_CHEMBL4435182,fondo,-8.392,43,17,,
DEC_CHEMBL10183,fondo,-8.364,43,18,,
DEC_CHEMBL24973,fondo,-8.358,32,19,,
DEC_CHEMBL20297,fondo,-8.354,24,20,,
RB_SM_0149,fondo2,-8.344,27,,14,
DEC_CHEMBL25353,fondo,-8.342,38,21,,
DEC_CHEMBL17479,fondo,-8.327,23,22,,
DEC_CHEMBL4436055,fondo,-8.32,43,23,,
RB_SM_0092,fondo2,-8.318,30,,15,
DEC_CHEMBL1214724,fondo,-8.299,25,24,,
RB_SM_0027A,fondo2,-8.294,28,,16,
RB_SM_0072,fondo2,-8.283,38,,17,
DEC_CHEMBL3309778,fondo,-8.278,33,25,,
RB_SM_0086,fondo2,-8.247,23,,18,
DEC_CHEMBL1900316,fondo,-8.239,34,26,,
RB_SM_0029,fondo2,-8.228,31,,19,
