ligand,target,affinity,smiles,cns_mpo_aprox,mw,tpsa
CHEMBL9347,TDP43,-7.2,O=C1c2ccccc2CCCN1CCN1CCC(n2nnc3cc(F)ccc32)CC1,4.42,407.5,54.3
CHEMBL3309775,TDP43,-7.2,O=C(O)c1cn(Cc2ccccc2)c2ccc(Cc3ccccc3)cc2c1=O,3.65,369.4,59.3
CHEMBL6967,FUS,-6.7,Nc1nc(O)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1,3.5,351.4,106.2
CHEMBL501858,FUS,-7.0,O=C(O)/C(O)=C/C(=O)c1cccc(NC(=O)c2ccc(O)cc2)c1,3.0,327.3,123.9
CHEMBL7347,SOD1,-7.5,Nc1nc(N)c2cc(CNC(=O)c3ccc4ccccc4c3)ccc2n1,3.0,343.4,106.9
CHEMBL9034,FUS,-6.7,Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)[nH]c2n(C)c1=O,2.96,457.4,159.2
CHEMBL1210578,FUS,-6.8,O=C(Cn1nc(C2CCC(F)(F)CC2)c2cnccc2c1=O)NC1Cc2ccccc2C1,2.87,438.5,76.9
CHEMBL3309292,SOD1,-7.5,CC1(C)CC(=O)Nc2cc(C(=O)NCc3cccc(/C=C/C(=O)NO)c3)ccc21,2.64,393.4,107.5
CHEMBL3309292,TDP43,-6.9,CC1(C)CC(=O)Nc2cc(C(=O)NCc3cccc(/C=C/C(=O)NO)c3)ccc21,2.64,393.4,107.5
CHEMBL3309292,FUS,-6.9,CC1(C)CC(=O)Nc2cc(C(=O)NCc3cccc(/C=C/C(=O)NO)c3)ccc21,2.64,393.4,107.5
CHEMBL6293,SOD1,-7.7,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1,2.63,417.8,98.0
CHEMBL6293,FUS,-6.7,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1,2.63,417.8,98.0
CHEMBL7136,FUS,-7.1,CC(=O)Nc1nc(O)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1,2.5,393.4,109.2
CHEMBL7403,TDP43,-6.8,Nc1nc(N)c2cc(NC(=O)Cc3ccc4ccccc4c3)ccc2n1,2.44,343.4,106.9
CHEMBL502237,FUS,-7.1,CC1=C(C)C(=O)O[C@@H]([C@]2(C)OC(=O)[C@]34CC[C@H]5[C@@H](C[C@H]6O[C@]67[C@@H](O)CCC(=O)[C@]57C)[C@@H]3CC[C@H]24)C1,2.03,484.6,102.4
CHEMBL4116093,FUS,-6.8,O=C1c2cccc3c(-c4cc(=O)c5ccccc5o4)ccc(c23)C(=O)N1CCCCN1CCNCC1,1.96,481.6,82.9
CHEMBL7189,SOD1,-7.5,Nc1nc(N)c2c(Cl)c(NC(=O)COc3ccc4ccccc4c3)ccc2n1,1.83,393.8,116.2
CHEMBL3310921,FUS,-7.0,NC(=O)Nc1ccc2[nH]c(=O)c(Nc3cccc(NC(=O)N4CCCC4)c3)cc2c1,1.81,406.4,132.3
CHEMBL3310921,SOD1,-7.5,NC(=O)Nc1ccc2[nH]c(=O)c(Nc3cccc(NC(=O)N4CCCC4)c3)cc2c1,1.81,406.4,132.3
CHEMBL8432,FUS,-6.9,O=C(C[C@@H](Cc1ccc(-c2ccc3c(c2)OCO3)cc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)NO,1.77,474.5,117.1
CHEMBL601104,TDP43,-7.1,Cc1ccc(Nc2cc(C)nc(N3CCN(C(=O)Nc4cccc(Cl)c4)CC3)n2)cc1,1.75,436.9,73.4
CHEMBL7084,TDP43,-6.8,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(COc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,1.73,474.4,77.2
CHEMBL1159639,SOD1,-7.6,Cc1ccc2oc(=O)c3c(O)c4cccc(O[C@H]5O[C@H](C)[C@H](O)[C@H](O)[C@H]5O)c4c4oc(=O)c1c2c34,1.71,480.4,159.8
CHEMBL7198,TDP43,-6.9,CN(C(=O)[C@H](CC#Cc1ccc(N)nc1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1,1.6,476.6,105.4
CHEMBL8496,TDP43,-6.9,O=C(C[C@@H](Cc1ccc(-c2cccc(F)c2)cc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)NO,1.39,448.5,98.7
CHEMBL6819,TDP43,-6.9,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(C2CC2Cn2oc(=O)[nH]c2=O)c1,1.39,487.4,103.3
CHEMBL8581,FUS,-7.1,Cc1c(S(=O)(=O)N[C@H]2CCN(Cc3cc4c[nH]ccc-4n3)C2=O)sc2ccc(Cl)cc12,1.38,475.0,95.2
CHEMBL9086,FUS,-6.8,COc1ccccc1-c1ccc(C[C@H](CC(=O)NO)C(=O)N[C@H]2c3ccccc3C[C@H]2O)cc1,1.33,460.5,107.9
CHEMBL9171,FUS,-6.9,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc(N(C)C)c2)c1,1.31,428.5,91.3
CHEMBL9171,TDP43,-6.8,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc(N(C)C)c2)c1,1.31,428.5,91.3
CHEMBL3311449,SOD1,-8.1,O=C(Nc1cccc(Nc2nc(-c3ccccc3)c3cc[nH]c3n2)c1)N1CCCC1,1.21,398.5,85.9
CHEMBL3311015,FUS,-7.4,c1cc2cc(-c3ccc(-c4nc5ccc(C6=NCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCN1,1.04,445.5,93.2
CHEMBL3311015,TDP43,-6.8,c1cc2cc(-c3ccc(-c4nc5ccc(C6=NCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCN1,1.04,445.5,93.2
CHEMBL3311015,SOD1,-7.7,c1cc2cc(-c3ccc(-c4nc5ccc(C6=NCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCN1,1.04,445.5,93.2
CHEMBL9532,FUS,-7.4,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc3ccccc23)c1,0.75,435.5,88.1
CHEMBL9532,TDP43,-6.9,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc3ccccc23)c1,0.75,435.5,88.1
CHEMBL4116107,SOD1,-7.5,N=C(N)N1CCC[C@H]1Cc1nc(-c2ccc(Nc3nc(-c4cccc(F)c4)cs3)cc2)no1,0.57,463.5,117.0
CHEMBL9388,SOD1,-7.5,CCOC(=O)c1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc3ccccc23)c1,0.14,493.5,114.3
