ligand,papel,afinidad,pesados,puesto_fondo1,puesto_fondo2,residual
DEC_CHEMBL1163540,fondo,-9.5,24,1,,
DEC_CHEMBL14666,fondo,-9.4,44,2,,
DEC_CHEMBL4435881,fondo,-9.3,24,3,,
RB_SM_0127,fondo2,-9.3,46,,1,
DEC_CHEMBL4436054,fondo,-9.2,43,4,,
RB_SM_0083,fondo2,-9.2,28,,2,
RB_SM_0111,fondo2,-9.2,36,,3,
RB_SM_0126,fondo2,-9.2,38,,4,
DEC_CHEMBL1214124,fondo,-9.1,27,5,,
DEC_CHEMBL20834,fondo,-9.1,26,6,,
DEC_CHEMBL2360863,fondo,-9.1,32,7,,
DEC_CHEMBL4435888,fondo,-9.1,39,8,,
RB_SM_0091,fondo2,-9.0,28,,5,
RB_SM_0137,fondo2,-9.0,40,,6,
DEC_CHEMBL1429984,fondo,-8.8,29,9,,
DEC_CHEMBL261102,fondo,-8.8,39,10,,
RB_SM_0031,fondo2,-8.7,32,,7,
DEC_CHEMBL11014,fondo,-8.6,34,11,,
DEC_CHEMBL20549,fondo,-8.6,34,12,,
RB_SM_0138,fondo2,-8.6,37,,8,
DEC_CHEMBL20297,fondo,-8.5,24,13,,
DEC_CHEMBL2105722,fondo,-8.5,24,14,,
DEC_CHEMBL3309988,fondo,-8.5,25,15,,
DEC_CHEMBL8960,fondo,-8.5,24,16,,
DEC_CHEMBL9112,fondo,-8.5,23,17,,
RB_SM_0124,fondo2,-8.5,32,,9,
RB_SM_0129,fondo2,-8.5,35,,10,
DEC_CHEMBL23584,fondo,-8.4,25,18,,
DEC_CHEMBL24738,fondo,-8.4,26,19,,
DEC_CHEMBL3310561,fondo,-8.4,25,20,,
DEC_CHEMBL4435182,fondo,-8.4,43,21,,
DEC_CHEMBL4435844,fondo,-8.4,26,22,,
RB_SM_0055A,fondo2,-8.4,23,,11,
RB_SM_0149,fondo2,-8.4,27,,12,
RB_SM_0152,fondo2,-8.4,40,,13,
DEC_CHEMBL1173055,fondo,-8.3,24,23,,
DEC_CHEMBL12212,fondo,-8.3,34,24,,
DEC_CHEMBL25353,fondo,-8.3,38,25,,
DEC_CHEMBL3309778,fondo,-8.3,33,26,,
RB_SM_0001,fondo2,-8.3,29,,14,
RB_SM_0003,fondo2,-8.3,30,,15,
RB_SM_0029,fondo2,-8.3,31,,16,
RB_SM_0092,fondo2,-8.3,30,,17,
DEC_CHEMBL11796,fondo,-8.2,34,27,,
DEC_CHEMBL1435671,fondo,-8.2,24,28,,
DEC_CHEMBL1480241,fondo,-8.2,24,29,,
DEC_CHEMBL42,fondo,-8.2,23,30,,
DEC_CHEMBL4436055,fondo,-8.2,43,31,,
RB_SM_0030,fondo2,-8.2,30,,18,
RB_SM_0082,fondo2,-8.2,28,,19,
RB_SM_0090,fondo2,-8.2,28,,20,
RB_SM_0095,fondo2,-8.2,29,,21,
RB_SM_0115,fondo2,-8.2,24,,22,
DEC_CHEMBL10923,fondo,-8.1,33,32,,
DEC_CHEMBL11010,fondo,-8.1,34,33,,
DEC_CHEMBL1113,fondo,-8.1,22,34,,
DEC_CHEMBL1162123,fondo,-8.1,24,35,,
DEC_CHEMBL1309718,fondo,-8.1,26,36,,
DEC_CHEMBL1314282,fondo,-8.1,36,37,,
DEC_CHEMBL1330042,fondo,-8.1,20,38,,
DEC_CHEMBL17479,fondo,-8.1,23,39,,
DEC_CHEMBL17590,fondo,-8.1,37,40,,
DEC_CHEMBL24973,fondo,-8.1,32,41,,
RB_SM_0051,fondo2,-8.1,30,,23,
RB_SM_0096,fondo2,-8.1,33,,24,
RB_SM_0119,fondo2,-8.1,21,,25,
berberrubine,positivo,-8.0,24,,,
DEC_CHEMBL1094636,fondo,-8.0,24,42,,
DEC_CHEMBL1274,fondo,-8.0,22,43,,
DEC_CHEMBL17272,fondo,-8.0,33,44,,
DEC_CHEMBL1900316,fondo,-8.0,34,45,,
DEC_CHEMBL19153,fondo,-8.0,25,46,,
DEC_CHEMBL3309985,fondo,-8.0,24,47,,
DEC_CHEMBL4543361,fondo,-8.0,25,48,,
DEC_CHEMBL4582651,fondo,-8.0,39,49,,
DEC_CHEMBL63857,fondo,-8.0,24,50,,
DEC_CHEMBL7640,fondo,-8.0,23,51,,
RB_SM_0009,fondo2,-8.0,26,,26,
RB_SM_0010,fondo2,-8.0,34,,27,
RB_SM_0027A,fondo2,-8.0,28,,28,
DEC_CHEMBL1323007,fondo,-7.9,25,52,,
DEC_CHEMBL22561,fondo,-7.9,24,53,,
DEC_CHEMBL3309781,fondo,-7.9,25,54,,
DEC_CHEMBL452,fondo,-7.9,22,55,,
DEC_CHEMBL7340,fondo,-7.9,23,56,,
RB_SM_0052,fondo2,-7.9,28,,29,
RB_SM_0094,fondo2,-7.9,31,,30,
RB_SM_0100,fondo2,-7.9,38,,31,
RB_SM_0139,fondo2,-7.9,38,,32,
DEC_CHEMBL1733879,fondo,-7.8,20,57,,
DEC_CHEMBL2136283,fondo,-7.8,25,58,,
DEC_CHEMBL22434,fondo,-7.8,24,59,,
DEC_CHEMBL23220,fondo,-7.8,26,60,,
DEC_CHEMBL3310187,fondo,-7.8,40,61,,
DEC_CHEMBL582415,fondo,-7.8,34,62,,
DEC_CHEMBL607833,fondo,-7.8,47,63,,
RB_SM_0023,fondo2,-7.8,36,,33,
RB_SM_0086,fondo2,-7.8,23,,34,
RB_SM_0089,fondo2,-7.8,26,,35,
RB_SM_0102,fondo2,-7.8,38,,36,
RB_SM_0120,fondo2,-7.8,21,,37,
RB_SM_0135,fondo2,-7.8,18,,38,
DEC_CHEMBL1214724,fondo,-7.7,25,64,,
DEC_CHEMBL1434388,fondo,-7.7,32,65,,
DEC_CHEMBL2165609,fondo,-7.7,22,66,,
DEC_CHEMBL218650,fondo,-7.7,38,67,,
RB_SM_0017,fondo2,-7.7,28,,39,
RB_SM_0022A,fondo2,-7.7,28,,40,
RB_SM_0028,fondo2,-7.7,27,,41,
RB_SM_0048,fondo2,-7.7,22,,42,
RB_SM_0053,fondo2,-7.7,28,,43,
RB_SM_0072,fondo2,-7.7,38,,44,
RB_SM_0125,fondo2,-7.7,33,,45,
nTRD22,positivo,-7.6,29,,,
DEC_CHEMBL10183,fondo,-7.6,43,68,,
DEC_CHEMBL1200907,fondo,-7.6,24,69,,
DEC_CHEMBL1304194,fondo,-7.6,22,70,,
DEC_CHEMBL1466,fondo,-7.6,25,71,,
DEC_CHEMBL2356527,fondo,-7.6,24,72,,
DEC_CHEMBL245807,fondo,-7.6,24,73,,
DEC_CHEMBL26485,fondo,-7.6,39,74,,
DEC_CHEMBL27158,fondo,-7.6,25,75,,
DEC_CHEMBL30574,fondo,-7.6,33,76,,
DEC_CHEMBL500370,fondo,-7.6,43,77,,
RB_SM_0020,fondo2,-7.6,35,,46,
RB_SM_0026,fondo2,-7.6,23,,47,
RB_SM_0066,fondo2,-7.6,21,,48,
RB_SM_0093,fondo2,-7.6,31,,49,
RB_SM_0101,fondo2,-7.6,36,,50,
RB_SM_0123,fondo2,-7.6,21,,51,
RB_SM_0134,fondo2,-7.6,19,,52,
RB_SM_0136,fondo2,-7.6,36,,53,
RB_SM_0144,fondo2,-7.6,44,,54,
RB_SM_0150,fondo2,-7.6,31,,55,
RB_SM_0153,fondo2,-7.6,27,,56,
rTRD01,positivo,-7.5,25,,,
PE859,positivo,-7.5,34,,,
DEC_CHEMBL1201244,fondo,-7.5,38,78,,
DEC_CHEMBL1272,fondo,-7.5,33,79,,
DEC_CHEMBL13280,fondo,-7.5,23,80,,
DEC_CHEMBL29606,fondo,-7.5,25,81,,
DEC_CHEMBL3310562,fondo,-7.5,25,82,,
DEC_CHEMBL3311228,fondo,-7.5,37,83,,
RB_SM_0035,fondo2,-7.5,25,,57,
RB_SM_0060,fondo2,-7.5,24,,58,
RB_SM_0122,fondo2,-7.5,30,,59,
RB_SM_0141,fondo2,-7.5,45,,60,
DEC_CHEMBL1164909,fondo,-7.4,42,84,,
DEC_CHEMBL1200585,fondo,-7.4,24,85,,
DEC_CHEMBL1423734,fondo,-7.4,25,86,,
DEC_CHEMBL1471,fondo,-7.4,37,87,,
DEC_CHEMBL16415,fondo,-7.4,24,88,,
DEC_CHEMBL3214262,fondo,-7.4,26,89,,
DEC_CHEMBL3355357,fondo,-7.4,24,90,,
DEC_CHEMBL611044,fondo,-7.4,40,91,,
RB_SM_0019,fondo2,-7.4,29,,61,
RB_SM_0024,fondo2,-7.4,32,,62,
RB_SM_0037,fondo2,-7.4,29,,63,
RB_SM_0038,fondo2,-7.4,30,,64,
RB_SM_0049,fondo2,-7.4,26,,65,
