ligando,grupo,evidencia_funcional,atomos_pesados,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,42,1,-4.865,7,19,0.73,331 334 335 337 338 342 346,True,4.01,3.69
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,42,2,-4.445,6,17,0.65,331 334 335 337 338 342,True,3.71,3.66
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,42,3,-4.302,4,20,0.77,327 330 331 334,True,3.68,3.4
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,42,4,-4.283,4,18,0.69,331 334 337 338,True,3.82,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,42,5,-4.214,3,17,0.65,327 331 334,True,3.48,3.46
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,42,6,-4.17,7,19,0.73,331 334 335 337 338 342 346,True,4.69,3.67
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,42,7,-4.111,5,12,0.46,331 334 337 338 342,True,3.87,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,42,8,-4.078,7,19,0.73,331 334 335 337 338 339 342,True,4.17,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,42,9,-3.901,3,14,0.54,331 334 335,True,3.66,3.46
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,2026,1,-4.936,8,19,0.73,331 334 335 337 338 341 342 346,True,4.01,3.69
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,2026,2,-4.51,6,16,0.62,331 334 335 337 338 342,True,3.7,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,2026,3,-4.407,6,15,0.58,331 334 335 337 338 342,True,4.58,3.89
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,2026,4,-4.388,4,20,0.77,327 330 331 334,True,3.66,3.38
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,2026,5,-4.372,4,18,0.69,327 330 331 334,True,3.79,3.37
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,2026,6,-4.356,4,18,0.69,331 334 337 338,True,3.82,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,2026,7,-4.337,5,14,0.54,331 334 337 338 342,True,4.35,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,2026,8,-4.298,3,15,0.58,327 331 334,True,3.55,3.41
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,2026,9,-4.183,5,16,0.62,331 334 335 337 338,True,3.98,3.46
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,777,1,-4.87,7,19,0.73,331 334 335 337 338 342 346,True,4.03,3.69
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,1,777,2,-4.44,6,17,0.65,331 334 335 337 338 342,True,3.72,3.65
