ligando,grupo,evidencia_funcional,atomos_pesados,residuo_flexible,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,42,1,-5.459,8,20,0.77,331 334 335 337 338 341 342 346,True,3.71,3.64
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,42,2,-4.906,5,16,0.62,326 327 330 331 334,True,3.66,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,42,3,-4.824,4,19,0.73,330 331 333 334,True,3.64,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,42,4,-4.813,5,12,0.46,326 327 330 331 334,True,3.69,3.68
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,42,5,-4.688,4,21,0.81,327 330 331 334,True,3.68,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,42,6,-4.652,4,16,0.62,327 330 331 334,True,3.64,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,42,7,-4.61,4,15,0.58,327 330 331 334,True,3.72,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,42,8,-4.591,7,12,0.46,331 334 335 337 338 341 342,True,3.56,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,42,9,-4.508,5,17,0.65,326 327 330 331 334,True,3.73,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,2026,1,-5.529,8,20,0.77,331 334 335 337 338 341 342 346,True,3.72,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,2026,2,-5.125,6,20,0.77,331 334 335 338 342 346,True,3.61,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,2026,3,-4.978,5,13,0.5,326 327 330 331 334,True,3.64,3.64
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,2026,4,-4.875,5,15,0.58,326 327 330 331 334,True,3.66,3.66
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,2026,5,-4.819,8,20,0.77,331 334 335 337 338 341 342 346,True,3.71,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,2026,6,-4.809,4,17,0.65,327 330 331 334,True,3.75,3.47
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,2026,7,-4.722,6,21,0.81,326 327 330 331 333 334,True,3.7,3.47
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,2026,8,-4.653,4,16,0.62,327 330 331 334,True,3.72,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,2026,9,-4.584,4,18,0.69,327 330 331 334,True,3.76,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,777,1,-5.54,8,20,0.77,331 334 335 337 338 341 342 346,True,3.71,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,777,2,-5.015,5,16,0.62,326 327 330 331 334,True,3.66,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,777,3,-4.985,7,20,0.77,331 334 335 337 338 342 346,True,3.65,3.68
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,777,4,-4.982,5,13,0.5,326 327 330 331 334,True,3.62,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,777,5,-4.927,8,12,0.46,331 334 335 337 338 341 342 346,True,3.54,3.45
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,777,6,-4.887,5,16,0.62,326 327 330 331 334,True,3.65,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,777,7,-4.757,4,12,0.46,327 330 331 334,True,3.69,3.51
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,777,8,-4.707,5,20,0.77,327 330 331 333 334,True,3.61,3.4
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,1,777,9,-4.698,6,20,0.77,331 334 335 337 338 342,True,3.68,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,42,1,-5.491,7,21,0.81,333 334 337 338 341 342 346,True,3.74,3.49
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,42,2,-5.489,5,20,0.77,331 334 335 338 342,True,4.45,3.48
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,42,3,-5.466,8,20,0.77,331 334 335 338 339 342 346 348,True,3.67,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,42,4,-5.434,5,20,0.77,334 337 338 341 342,True,3.68,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,42,5,-5.391,7,16,0.62,331 334 335 338 341 342 346,True,3.78,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,42,6,-5.353,5,19,0.73,334 338 341 342 346,True,3.62,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,42,7,-5.343,6,21,0.81,334 337 338 341 342 346,True,3.66,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,42,8,-5.326,6,16,0.62,331 334 335 338 339 342,True,3.66,3.41
