etiqueta,tipo,objetivo,mejor,mediana,peor,n_modelos,percentil_mejor,percentil_mediana,ventana
D_CHEMBL24507,señuelo,XL23,-6.68,-6.32,-5.12,6,99.5,97.7,1
D_CHEMBL20368,señuelo,XL25,-6.37,-6.01,-5.26,6,98.2,92.4,2
D_CHEMBL22085,señuelo,XL23,-6.35,-5.89,-5.67,6,97.7,89.1,1
D_CHEMBL4553129,señuelo,XL23,-6.29,-5.84,-5.12,6,96.9,88.3,1
D_CHEMBL3309989,señuelo,XL25,-6.29,-5.83,-5.42,6,96.4,87.8,2
D_CHEMBL4436233,señuelo,XL23,-6.12,-5.82,-4.8,6,94.5,87.5,1
D_CHEMBL3309985,señuelo,XL20,-5.99,-5.81,-4.88,6,91.7,87.2,1
D_CHEMBL4435471,señuelo,XL20,-6.46,-5.79,-5.21,6,98.7,86.7,1
D_CHEMBL16867,señuelo,XL20,-6.75,-5.63,-5.38,6,99.7,82.6,1
CR_XL23,compuesto,XL23,-6.92,-5.62,-5.3,6,100.0,82.6,
CR_XL25,compuesto,XL25,-5.91,-5.61,-4.95,6,89.8,82.0,
D_CHEMBL25629,señuelo,XL23,-6.62,-5.61,-5.1,6,99.2,81.5,1
D_CHEMBL16243,señuelo,XL20,-5.95,-5.6,-5.14,6,91.4,81.5,1
D_CHEMBL25529,señuelo,XL25,-6.09,-5.53,-5.24,6,93.8,78.1,2
D_CHEMBL13174,señuelo,XL25,-5.82,-5.53,-5.27,6,87.2,77.9,2
D_CHEMBL606119,señuelo,XL26,-6.13,-5.53,-5.12,6,95.1,77.6,1
D_CHEMBL23647,señuelo,XL27,-5.93,-5.52,-4.87,6,90.9,77.6,1
D_CHEMBL25524,señuelo,XL23,-6.22,-5.48,-5.05,6,95.6,76.3,1
D_CHEMBL16303,señuelo,XL20,-6.31,-5.43,-5.06,6,97.4,73.7,1
D_CHEMBL4553614,señuelo,XL23,-6.21,-5.4,-5.01,6,95.3,72.9,1
D_CHEMBL443886,señuelo,XL20,-6.01,-5.32,-5.02,6,92.2,71.6,1
CR_XL26,compuesto,XL26,-6.01,-5.3,-4.66,6,92.4,70.6,
D_CHEMBL3311393,señuelo,XL23,-5.71,-5.2,-4.92,6,84.4,65.9,1
D_CHEMBL26271,señuelo,XL25,-5.61,-5.19,-4.79,6,81.5,65.6,2
D_CHEMBL13096,señuelo,XL25,-5.58,-5.16,-4.72,6,79.4,65.4,2
D_CHEMBL43452,señuelo,XL26,-5.69,-5.15,-4.66,6,83.9,65.4,1
D_CHEMBL4434817,señuelo,XL25,-6.06,-5.13,-4.96,6,93.2,64.1,2
D_CHEMBL1013,señuelo,XL27,-5.66,-5.1,-4.88,6,83.1,62.2,1
D_CHEMBL3309997,señuelo,XL20,-5.82,-5.09,-4.84,6,87.5,61.5,1
CR_XL27,compuesto,XL27,-5.44,-5.08,-4.25,6,74.7,60.9,
D_CHEMBL3311423,señuelo,XL26,-5.76,-5.08,-4.96,6,85.7,60.9,1
D_CHEMBL1055,señuelo,XL27,-5.71,-5.07,-4.76,6,84.1,60.7,1
D_CHEMBL19179,señuelo,XL20,-5.6,-5.06,-4.49,6,80.7,59.9,1
D_CHEMBL29129,señuelo,XL25,-5.71,-4.97,-4.68,6,84.6,56.0,2
CR_XL21,compuesto,XL21,-5.29,-4.95,-4.34,6,69.8,54.4,
CR_XL22,compuesto,XL22,-5.13,-4.89,-4.07,6,64.6,52.3,
CR_XL20,compuesto,XL20,-5.35,-4.88,-4.56,6,72.1,51.6,
D_CHEMBL680,señuelo,XL27,-5.53,-4.78,-4.62,6,77.6,46.4,1
D_CHEMBL218291,señuelo,XL22,-5.21,-4.75,-4.18,6,66.4,44.8,3
D_CHEMBL1727,señuelo,XL26,-5.4,-4.73,-4.58,6,72.9,42.4,1
D_CHEMBL1129,señuelo,XL26,-4.9,-4.72,-3.92,6,52.6,42.4,1
D_CHEMBL105,señuelo,XL21,-4.96,-4.71,-4.46,6,55.2,41.1,3
D_CHEMBL1604,señuelo,XL26,-5.32,-4.71,-4.5,6,71.4,41.1,1
D_CHEMBL3309763,señuelo,XL27,-5.21,-4.66,-4.29,6,66.9,39.1,1
D_CHEMBL713,señuelo,XL21,-4.84,-4.63,-4.27,6,49.7,37.8,3
D_CHEMBL1163254,señuelo,XL21,-4.79,-4.58,-4.04,6,46.9,34.6,3
D_CHEMBL3112741,señuelo,XL24,-5.03,-4.57,-4.29,6,59.4,33.9,2
D_CHEMBL174,señuelo,XL26,-4.84,-4.56,-4.31,6,49.5,33.9,1
D_CHEMBL1738,señuelo,XL24,-4.98,-4.5,-4.27,6,56.5,32.6,2
CR_XL24,compuesto,XL24,-4.79,-4.48,-3.88,6,46.4,30.2,
D_CHEMBL528,señuelo,XL21,-4.88,-4.47,-4.07,6,51.6,28.9,3
D_CHEMBL1750,señuelo,XL26,-4.58,-4.46,-4.17,6,35.7,28.6,1
D_CHEMBL1380,señuelo,XL27,-4.87,-4.43,-4.24,6,50.5,27.6,1
D_CHEMBL609524,señuelo,XL21,-4.82,-4.43,-4.21,6,48.4,26.8,3
D_CHEMBL477,señuelo,XL21,-4.86,-4.43,-4.1,6,50.0,26.8,3
D_CHEMBL1449,señuelo,XL27,-4.83,-4.4,-4.28,6,49.0,25.3,1
D_CHEMBL2105420,señuelo,XL24,-4.97,-4.38,-3.81,6,55.5,24.2,2
D_CHEMBL1580,señuelo,XL22,-4.58,-4.35,-4.01,6,35.4,22.9,3
D_CHEMBL70046,señuelo,XL21,-4.74,-4.34,-3.98,6,43.5,22.7,3
D_CHEMBL62193,señuelo,XL27,-5.0,-4.33,-4.09,6,57.6,22.4,1
D_CHEMBL1167,señuelo,XL22,-4.81,-4.32,-4.1,6,47.7,22.4,3
D_CHEMBL888,señuelo,XL22,-4.49,-4.3,-3.83,6,30.7,20.3,3
D_CHEMBL1090,señuelo,XL22,-4.42,-4.27,-4.13,6,26.0,16.4,3
D_CHEMBL404,señuelo,XL21,-4.83,-4.24,-3.86,6,48.7,15.1,3
D_CHEMBL1540,señuelo,XL24,-4.47,-4.22,-3.41,6,29.7,13.8,2
D_CHEMBL1689063,señuelo,XL24,-4.38,-4.2,-3.95,6,23.7,13.0,2
D_CHEMBL515914,señuelo,XL22,-5.79,-4.17,-4.03,6,87.0,11.7,3
D_CHEMBL788,señuelo,XL24,-4.42,-4.17,-3.67,6,25.5,11.2,2
D_CHEMBL152,señuelo,XL22,-4.69,-4.14,-3.68,6,40.4,11.2,3
D_CHEMBL803,señuelo,XL24,-4.48,-4.1,-3.71,6,29.9,10.2,2
D_CHEMBL70246,señuelo,XL24,-4.43,-4.05,-3.85,6,27.1,7.0,2
D_CHEMBL182,señuelo,XL22,-4.43,-3.95,-3.55,6,26.6,4.2,3
