objetivo,señuelo,smiles,pesados,logp,tpsa,rotables,anillos,murcko,tanimoto_ecfp4,ventana,ventana_detalle
XL20,CHEMBL16243,O=C(O)[C@@H]1C[C@H]2C[C@@H](c3ccc(Cc4nnn[nH]4)cc3)CC[C@H]2CN1,25,1.74,103.8,4,4,c1cc(C2CCC3CNCCC3C2)ccc1Cc1nnn[nH]1,0.136,1,pesados+-2 logp+-0.7 tpsa+-15
XL20,CHEMBL16303,O=C(O)C1CC2CC(c3ccc(-c4nn[nH]n4)cc3)CCC2CN1,24,1.81,103.8,3,4,c1cc(C2CCC3CNCCC3C2)ccc1-c1nn[nH]n1,0.102,1,pesados+-2 logp+-0.7 tpsa+-15
XL20,CHEMBL16867,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,26,2.56,100.1,4,5,c1ccc(CCn2cc3c(ncn4nc(-c5ccco5)nc34)n2)cc1,0.165,1,pesados+-2 logp+-0.7 tpsa+-15
XL20,CHEMBL19179,O=C1N[C@@H](C(=O)NO)C[C@H]1c1ccc(OCc2ccccc2)cc1,24,1.74,87.7,5,3,O=C1NCCC1c1ccc(OCc2ccccc2)cc1,0.175,1,pesados+-2 logp+-0.7 tpsa+-15
XL20,CHEMBL3309985,Nc1nc2c3ccccc3nc(Cc3ccc4c(c3)OCO4)n2n1,24,2.18,87.6,2,5,c1ccc2c(c1)nc(Cc1ccc3c(c1)OCO3)n1ncnc21,0.169,1,pesados+-2 logp+-0.7 tpsa+-15
XL20,CHEMBL3309997,OCCCNc1ccc2c(c1)nc(-c1ccc3c(c1)OCO3)n1ncnc21,27,2.47,93.8,5,5,c1ccc2c(c1)nc(-c1ccc3c(c1)OCO3)n1ncnc21,0.128,1,pesados+-2 logp+-0.7 tpsa+-15
XL20,CHEMBL4435471,Cc1ccc(-c2nn(-c3ccccc3)cc2C2N=C(N)NC(N(C)C)=N2)cc1,28,2.68,83.8,3,4,C1=NC(c2cn(-c3ccccc3)nc2-c2ccccc2)N=CN1,0.165,1,pesados+-2 logp+-0.7 tpsa+-15
XL20,CHEMBL443886,CCNC(=O)Nc1nc2cc(-c3cccnc3)cc(-c3cnn(C)c3)n2n1,27,2.33,102.0,4,4,c1cncc(-c2cc(-c3cn[nH]c3)n3ncnc3c2)c1,0.104,1,pesados+-2 logp+-0.7 tpsa+-15
XL21,CHEMBL1163254,CC[C@H]1CC[C@@H](O)[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)N1,22,-2.31,131.6,5,2,C1CCC(COC2CCCCO2)NC1,0.075,3,pesados+-4 logp+-1.5 tpsa+-40
XL21,CHEMBL609524,Cn1cnc2c(ncn2C2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1=S,24,-0.77,152.1,4,3,S=c1[nH]cnc2c1ncn2C1CCCO1,0.08,3,pesados+-4 logp+-1.5 tpsa+-40
