ligand,motivo,n_atomos,tipos
ALCAFTADINE,"tipo_invalido:CG,G0",25,"A,C,CG,G0,N,NA,OA"
AMDINOCILLIN PIVOXIL,"tipo_invalido:CG,G0",32,"C,CG,G0,N,NA,OA,SA"
AMDINOCILLIN,"tipo_invalido:CG,G0",25,"C,CG,G0,HD,N,NA,OA,SA"
AMINEPTINE,"tipo_invalido:CG,G0",29,"A,C,CG,G0,HD,NA,OA"
AMITRIPTYLINE,"tipo_invalido:CG,G0",23,"A,C,CG,G0,NA"
ANIDULAFUNGIN,"tipo_invalido:CG,G0",98,"A,C,CG,G0,HD,N,OA"
ARTENIMOL,"tipo_invalido:CG,G0",23,"C,CG,G0,HD,OA"
ARTESUNATE,"tipo_invalido:CG,G0",30,"C,CG,G0,HD,OA"
AZATADINE,"tipo_invalido:CG,G0",24,"A,C,CG,G0,NA"
AZELASTINE,"tipo_invalido:CG,G0",29,"A,C,CG,Cl,G0,N,NA,OA"
AZITHROMYCIN,"tipo_invalido:CG,G0",59,"C,CG,G0,HD,NA,OA"
BAZEDOXIFENE,"tipo_invalido:CG,G0",39,"A,C,CG,G0,HD,N,NA,OA"
BENAZEPRIL,"tipo_invalido:CG,G0",35,"A,C,CG,G0,HD,N,NA,OA"
BENZGALANTAMINE,"tipo_invalido:CG,G0",31,"A,C,CG,G0,NA,OA"
BESIFLOXACIN,"tipo_invalido:CG,G0",32,"A,C,CG,Cl,F,G0,HD,N,NA,OA"
BLONANSERIN,"tipo_invalido:CG,G0",29,"A,C,CG,F,G0,N,NA"
BORTEZOMIB D-MANNITOL,tipo_invalido:B,44,"A,B,C,HD,N,NA,OA"
BORTEZOMIB,tipo_invalido:B,32,"A,B,C,HD,N,NA,OA"
BROMAZEPAM,"tipo_invalido:CG,G0",22,"A,Br,C,CG,G0,HD,N,NA,OA"
BUTRIPTYLINE,"tipo_invalido:CG,G0",24,"A,C,CG,G0,NA"
CABAZITAXEL,"tipo_invalido:CG,G0",65,"A,C,CG,G0,HD,N,OA"
CASPOFUNGIN,"tipo_invalido:CG,G0",97,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1076399,"tipo_invalido:CG,G0,G1",114,"A,C,CG,G0,G1,HD,N,NA,OA,SA"
