name,chembl_id,smiles
"1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",CHEMBL1672028,c1ccc2cc3c(Nc4cc[nH]n4)nnc(Nc4cc[nH]n4)c3cc2c1
5-HYDROXYFLAVONE,CHEMBL16807,O=c1cc(-c2ccccc2)oc2cccc(O)c12
ARIMOCLOMOL,CHEMBL2107726,[O-][n+]1cccc(/C(Cl)=N/OC[C@H](O)CN2CCCCC2)c1
AZELAIC ACID,CHEMBL1238,O=C(O)CCCCCCCC(=O)O
CAPTOPRIL,CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
CHEMBL1084478,CHEMBL1084478,COc1ccccc1/N=C/c1nc(-c2ccccc2)oc1OC(C)=O
CHEMBL108576,CHEMBL108576,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)[C@H](CCSC)NC=O
CHEMBL1091583,CHEMBL1091583,O=c1cc(NC2CC=CC=C2Cl)[nH]c(=O)[nH]1
CHEMBL1091584,CHEMBL1091584,O=c1cc(NC2CC=C(Cl)C=C2F)[nH]c(=O)[nH]1
CHEMBL1092384,CHEMBL1092384,CC1=CCC(Nc2cc(=O)[nH]c(=O)[nH]2)C=C1
CHEMBL1092602,CHEMBL1092602,O=c1[nH]nc(SCc2ccccc2)c(=O)[nH]1
CHEMBL1092603,CHEMBL1092603,O=c1[nH]nc(SCc2ccccc2Cl)c(=O)[nH]1
CHEMBL1092604,CHEMBL1092604,O=c1[nH]nc(SCc2c(F)cccc2Cl)c(=O)[nH]1
CHEMBL1198106,CHEMBL1198106,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
CHEMBL1210791,CHEMBL1210791,COc1ccc(C2CC(c3ccc(Cl)cc3)=NN2C(C)=O)cc1
CHEMBL124937,CHEMBL124937,O=c1cc(Nc2ccc3ccccc3c2)[nH]c(=O)[nH]1
CHEMBL1256364,CHEMBL1256364,S=C(Nc1ccccc1)Nc1nccs1
CHEMBL1302979,CHEMBL1302979,O=C(Cc1ccccc1)Nc1nc(-c2cccs2)cs1
CHEMBL1303069,CHEMBL1303069,O=C(NC(=S)NNC(=O)c1ccco1)c1ccccc1
CHEMBL1303482,CHEMBL1303482,CCC(C)[C@@H](C(=O)Nc1ccc(OC)c(OC)c1)N1Cc2ccccc2C1=O
CHEMBL1303498,CHEMBL1303498,O=C(COC(=O)c1cccc(Br)c1)NCCc1ccc(F)cc1
CHEMBL1303632,CHEMBL1303632,CCCc1cc(=O)oc2cc(Oc3ncccn3)ccc12
CHEMBL1303652,CHEMBL1303652,COc1ccc([N+](=O)[O-])cc1C1NN=C(c2ccccc2O)S1
CHEMBL1304169,CHEMBL1304169,Cn1c(-c2c(N)n(C3CCCC3)c3nc4ccccc4nc23)nc2ccccc21
CHEMBL1304170,CHEMBL1304170,Cc1ccccc1C(=N)NOC(=O)N1c2ccccc2Sc2ccccc21
CHEMBL1304179,CHEMBL1304179,CCCOc1cc(N(CC)CC)ccc1/C=C(/C#N)c1nc2cc(C)ccc2[nH]1
CHEMBL1304181,CHEMBL1304181,CC1CCN(C(=O)c2ccc(S(=O)(=O)Cc3cccc(F)c3)c([N+](=O)[O-])c2)CC1
CHEMBL1304194,CHEMBL1304194,Cn1ncc2c(NNC(=O)c3ccc(Cl)cc3Cl)ncnc21
CHEMBL1304235,CHEMBL1304235,COc1ccc(OC)c(NC(=O)c2cccc(NC(=O)c3ccccc3)c2)c1
CHEMBL1304323,CHEMBL1304323,Fc1ccc(Cn2cc(C(=S)N3CCOCC3)c3ccccc32)cc1
CHEMBL1309675,CHEMBL1309675,CSc1ccccc1OCc1cc(C(=O)NCc2cccc(C)n2)no1
CHEMBL1309718,CHEMBL1309718,O=C(c1cc(-c2ccc(O)cc2)on1)N1CCN(c2ccccc2)CC1
CHEMBL1310546,CHEMBL1310546,O=[N+]([O-])c1ccc(NC(=S)N2CCc3ccccc32)cc1
