diana,caja,compuesto,identificador,smiles,pesados,de_donde_sale,condicional,estado,pose,afinidad,en_el_fondo
SOD1,Trp32 (PDB 1HL5),clozapina,CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,23,"candidatos_total_cns.csv (-7.5 kcal/mol, aprobado, CNS-MPO 4.77)",no,pendiente_medicion,si,-5.935,si
SOD1,Trp32 (PDB 1HL5),CHEMBL3311449,CHEMBL3311449,O=C(Nc1cccc(Nc2nc(-c3ccccc3)c3cc[nH]c3n2)c1)N1CCCC1,30,candidatos_filtrados.csv / _candidatos_v4.csv (mejor MM-GBSA),no,pendiente_medicion,si,-6.946,si
SOD1,Trp32 (PDB 1HL5),CHEMBL4553700,CHEMBL4553700,N=C1N/C(=N\Nc2nc(-c3ccc(Cl)cc3)cs2)c2ccccc21,24,candidatos_filtrados.csv / _candidatos_v4.csv,no,pendiente_medicion,si,-6.654,si
SOD1,Trp32 (PDB 1HL5),CHEMBL584356,CHEMBL584356,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2cccc(C)c2)C1,33,candidatos_filtrados.csv / _candidatos_v4.csv,no,pendiente_medicion,si,-5.755,si
SOD1,Trp32 (PDB 1HL5),CHEMBL8550,CHEMBL8550,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C1CC1)OCO3,27,candidatos_filtrados.csv / _candidatos_v4.csv,no,pendiente_medicion,si,-5.599,si
TDP-43,RRM1-RRM2 / interfaz Arg151-Asp247 (PDB 4BS2),CHEMBL1362588,CHEMBL1362588,CC1=CC(C)(C)Nc2ccc(OC(=O)C(C)N3C(=O)c4ccccc4C3=O)cc21,29,candidatos_filtrados.csv (-7.3 kcal/mol),no,pendiente_medicion,si,-8.390,si
TDP-43,RRM1-RRM2 / interfaz Arg151-Asp247 (PDB 4BS2),CHEMBL27093,CHEMBL27093,O=C1NCN(c2ccccc2)C12CCN(C1CCc3cc(Cl)ccc3C1)CC2,28,candidatos_filtrados.csv (-7.3 kcal/mol),no,pendiente_medicion,si,-7.792,si
TDP-43,RRM1-RRM2 / interfaz Arg151-Asp247 (PDB 4BS2),CHEMBL19347,CHEMBL19347,O=c1n(CCN2CCC(Cc3c[nH]c4ccc(F)cc34)CC2)c2cccc3c2n1CCC3,32,candidatos_filtrados.csv (-7.2 kcal/mol),no,pendiente_medicion,si,-9.087,si
TDP-43,RRM1-RRM2 / interfaz Arg151-Asp247 (PDB 4BS2),CHEMBL23927,CHEMBL23927,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1ccccc1Cl)c1ccccc1,31,candidatos_filtrados.csv (-7.2 kcal/mol),no,pendiente_medicion,si,-6.981,si
SOD1,Trp32 (PDB 1HL5) (si el ensayo lo dice),LCS-1,CAS 41931-13-9,CC1=CC(=CC=C1)N2C(=O)C(=C(C=N2)Cl)Cl,16,Wright et al. 2013 / cribado previo del proyecto,si,pendiente_medicion,no,,no (sitio por determinar)
SOD1,Trp32 (PDB 1HL5) (si el ensayo lo dice),PRG-A01,,CC1(C(CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)OC(=O)C=CC4=CC(=C(C=C4)O)OC)C,31,Woo et al. 2021 (PRG-A01),si,pendiente_medicion,no,,no (sitio por determinar)
SOD1,Trp32 (PDB 1HL5) (si el ensayo lo dice),CHEMBL2165613,,O=c1cc(COc2cccc(-c3ccccc3)c2)[nH][nH]1,20,serie ChEMBL2165601-2165614 / 1643541-57,si,pendiente_medicion,no,,no (sitio por determinar)
