ligand,target,energy,smiles
DELAFLOXACIN,FUS,-7.4,Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F
AVAPRITINIB,FUS,-7.1,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1
PAZOPANIB,FUS,-6.8,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
CHEMBL1362588,FUS,-6.7,CC1=CC(C)(C)Nc2ccc(OC(=O)C(C)N3C(=O)c4ccccc4C3=O)cc21
CHEMBL635,FUS,-6.6,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CHEMBL1330042,FUS,-6.4,Cc1ccc(-c2cc(C(=O)O)c3cc(Br)ccc3n2)o1
KETAZOLAM,FUS,-6.4,CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1
PERAMPANEL,FUS,-6.4,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O
RUCAPARIB,FUS,-6.4,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
SELINEXOR,FUS,-6.4,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1
CHEMBL408,FUS,-6.306,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
BLONANSERIN,FUS,-6.3,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1
Berberine,FUS,-6.3,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
DEFLAZACORT,FUS,-6.3,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
ESZOPICLONE,FUS,-6.3,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
LAROPIPRANT,FUS,-6.3,CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3
RIBOCICLIB,FUS,-6.3,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1
CHEMBL12713,FUS,-6.3,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
