ligand,target,energy,smiles
DELAFLOXACIN,SOD1,-7.9,Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F
CLOZAPINE,SOD1,-7.5,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
AVAPRITINIB,SOD1,-7.4,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1
CHEMBL1362588,SOD1,-7.2,CC1=CC(C)(C)Nc2ccc(OC(=O)C(C)N3C(=O)c4ccccc4C3=O)cc21
CHEMBL1480203,SOD1,-7.2,CCOC(=O)c1cnc(-n2nc(C)cc2C)nc1NNc1ncc(-c2ccccc2)cn1
HYDROXYSTILBAMIDINE,SOD1,-7.2,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1
FLUORESCEIN,SOD1,-7.1,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
RUCAPARIB,SOD1,-7.1,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
Berberine,SOD1,-7.0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
DOLUTEGRAVIR,SOD1,-7.0,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12
DOXAZOSIN,SOD1,-7.0,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
LUMACAFTOR,SOD1,-7.0,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1
NEBIVOLOL,SOD1,-7.0,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1
SELINEXOR,SOD1,-7.0,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1
CHEMBL408,SOD1,-7.0,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
DOMPERIDONE,SOD1,-6.9,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
LINAGLIPTIN,SOD1,-6.9,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
OLODATEROL,SOD1,-6.9,COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1
