LIGAND INFORMATION,,,,,IN VITRO ASSAYS,,,,,,,,,CELL-BASED ASSAYS,,,,,,,,ANIMAL MODELS,,,,,,,,,,,,,,
#,Previous ID #,SMILES,Name,DOI/PMC,Control,Assay Target(s) ,Observation,Ligand Concentration,Buffer,Category,Assay,Method/Notes,Control/Validation,Control,Cell Line,Observation,Concentration,Category,Assay,Method Notes,Control/Validation,Control,Organism,Observation,Administration/Concentration,Category,Assay,Method/Notes,Control/Validation,,,,,,,
R-BIND (LM) 0001,R-BIND (MV) 0002,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)NC1=CC2=C(C=C1)C1C3=CC=C(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C=C3C2C2=C1C=CC(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])=C2,Triptycene 2,10.1002/anie.201601626,,RpoH ?32mRNA factor,?Tm = 13.7 °C,Ligand = 2 µM; RNA = 1 µM,10 mM sodium phosphate (pH = 7.2),Binding,Optical Melting,Errors not reported.,Compared to absence of ligand,,E. coli DH5? ,~50-65% decrease in fluorescence,"Ligand = 5, 25 µM",Translational Activity,Reporter,rpoHgene was inserted into a plasmid encoding GFP; Cells were subject to heat shock at 42 ºC and fluorescence measured.,Compared to absence of ligand,,,,,,,,,,,,,,,
R-BIND (LM) 0001,R-BIND (MV) 0002,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)NC1=CC2=C(C=C1)C1C3=CC=C(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C=C3C2C2=C1C=CC(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])=C2,Triptycene 2,10.1002/anie.201601626,,RpoH ?32mRNA factor,Ligand-induced stabilization observed,Ligand = 10 µM; RNA = 5 µM,10 mM sodium phosphate (pH = 7.2),Binding,Circular Dichroism,Spectra were measured every 1 nm between 350 nm and 200 nm,Compared to absence of ligand,C,E. coli DH5? ,Low relative GFP florescence prior to heat shock; slight increase in presence or absence of ligand upon heat shock,"Ligand = 5, 25 µM",Translational Activity,Reporter,Control GFP plasmid with no rpoH gene; Cells were subject to heat shock at 42 ºC and fluorescence measured.,Compared to absence of ligand,,,,,,,,,,,,,,,
R-BIND (LM) 0001,R-BIND (MV) 0002,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)NC1=CC2=C(C=C1)C1C3=CC=C(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C=C3C2C2=C1C=CC(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])=C2,Triptycene 2,10.1002/anie.201601626,,RpoH ?32mRNA factor,Kd = 1.5 µM,Ligand = NR; RNA = 120 nM,50 mM sodium phosphate (pH = 7.2),Binding,Fluorescence-Based Titration (Labeled RNA),RNA was labeled with FAM (5') and IowaBlk (3'). Errors not reported.,Decreased fluorescence consistent with reforming the folded 3WJ state. ,C,E. coli DH5? ,mRNA levels were moderately affected at high concentrations,"Ligand = 12.5, 25 µM",Transcriptional Inhibition,qRT-PCR,Samples were allowed to grow at 30 °C for 3 hours. Cultures were then kept at 30 °C for 18 hours. Total RNA from E. coli was extracted and purified. Reverse transcription was conducted,Compared to absence of ligand,,,,,,,,,,,,,,,
R-BIND (LM) 0001,R-BIND (MV) 0002,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)NC1=CC2=C(C=C1)C1C3=CC=C(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C=C3C2C2=C1C=CC(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])=C2,Triptycene 2,10.1002/anie.201601626,,"?32 mRNA, 5' end",Ligand-induced stabilization observed,Ligand = 2.5 µM; RNA = 0.25 µM,10 mM sodium phosphate (pH = 7.2),Binding,Optical Melting,-,Compared to absence of ligand,,E. coli DH5? ,Moderately inhibitory at high concentrations,Ligand = 25 µM,Antimicrobial Activity,Growth Inhibition,E. coli DH5? cells transformed with the ?32-EmGFP plasmid were grown overnight at 30°C in Luria broth (LB) supplemented with 50 µg/mL ampicillin. Overnight cultures were diluted  S4 1:100 in LB.  Samples were allowed to grow at 30 °C for 3 hours. Cultures were kept at 30 °C or heat shocked at 42 °C for 18 hours.,Compared to absence of ligand,,,,,,,,,,,,,,,
R-BIND (LM) 0001,R-BIND (MV) 0002,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)NC1=CC2=C(C=C1)C1C3=CC=C(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C=C3C2C2=C1C=CC(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])=C2,Triptycene 2,10.1002/anie.201601626,,"?32 mRNA, 5' end",Thermal stabilization,Ligand = 5 µM; RNA = 0.5 µM,10 mM sodium phosphate (pH = 7.2),Binding,Circular Dichroism,Spectra were measured every 1 nm between 350 nm and 200 nm,Compared to absence of ligand,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,,Pri-miR-96,Inhibited cleavage of pri-miR-96 at low-nanomolar concentrations,"Ligand = 5, 50, 500 nM",-,Binding,PAGE,"Radioactively labeled model of pre-miR-96 processing and cell extracts with overexpressed Drosha. RNA was incubated with ligand in 6.4 mM MgCl2 at room temperature for 10 min, Drosha lysate was added and the samples were incubated at 37ºC for 3h.",Compared to absence of ligand,,MDA-MB-231 TNBC Cells,"IC50 = ~50 nM (mature miR-96). Boosted pri-miRNA-96, and decreased pre-miRNA in a dose-dependent manner.",Ligand = 10 - 1000 nM,On-Target Effect,qRT-PCR,"The expression levels of mature miRNAs, pre-miR-96, and pri-miR-96 were normalized to U6 small nuclear RNA.",Analyzed effect on pri- and precursor microRNA-96,C,TNBC mouse model (NOD/SCID),"The amount of intact compound in plasma peaks at ~4h; 48 h post-injection, ligand concentration in plasma is greater than 50 nM",Intraperitoneal; 2 or 7 mg/kg,Pharmacokinetics,LC/MS-MS,The amount of intact compound in blood plasma was measured as function of time,-,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,,Pri-miR-96,Nanomolar concentrations protected the predicted binding site from cleavage by S1 nuclease,NR,20 mM sodium acetate (pH = 4.5) and 150 mM NaCl,Binding,PAGE,"5'-end labeled was folded by heating at 65 ºC for 5 min and slowly cooling to room temperature. Zinc sulfate was added to a final concentration of 1 mM followed by addition of serially diluted concentrations of 3. After incubating the samples at room temperature for 15 min, 0.05 units/µL of S1 nuclease was added and the samples were incubated at 37 ?C for 30 min. ",Compared to absence of ligand and cleavage by T1 nuclease under denaturing conditions (cleaves Gs).,,MDA-MB-231 TNBC Cells,2-fold increase in FOXO1 expression,Ligand = 50 nM,Translational Activity,Western Blot,-,Compared to control (B-actin) and vehicle groups,,TNBC mouse model (NOD/SCID),Compound significantly decreased tumor growth,Intraperitoneal; 10 mg/kg,Tumor Burden,Tumor Size,"Mice injected with a variant of MDA-MB-231 that expresses luciferase. After tumor development, treatment with compound over 21 days (every other day) was performed.","Compared to vehicle before and after xenografting with MDA-MD-231-luc cells, No toxicity was observed",,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,C,RNAC  (UU loop mutant to AU basepair),Kd > 4 µM,Ligand = 1 - 100 nM,"8 mM Na2HPO4 (pH = 7.0), 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),RNA contained a mutation of UU loop to AU pair. RNA was folded by heating at 60 °C for 5 min and slowly cooling to room temperature. The solutions were incubated for 30 min at room temperature and then transferred to a 96-well plate and fluorescence intensity measured. ,Compared to monomers,,MDA-MB-231 TNBC Cells,"Induced early apoptosis, ablated upon exogenous expression of pri-miR-96",Ligand = 50 nM,Apoptosis,Annexin V,Assessed by Annexin V staining,"Conducted with or without forced overexpression of pri-miR-96, compared to monomers",,TNBC mouse model (NOD/SCID),Compound significantly decreased tumor growth,Intraperitoneal; 10 mg/kg,Tumor Burden,Bioluminescent Imaging,"Mice injected with a variant of MDA-MB-231 that expresses luciferase. After tumor development, treatment with compound over 21 days (every other day) was performed.",Compared to vehicle before and after xenografting with MDA-MD-231-luc cells,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,C,RNA1 (Drosha processing site only),Kd = 1.2 ± 0.3 µM,Ligand = 1 - 100 nM,"9 mM Na2HPO4 (pH = 7.0), 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Binding,Fluorescence-Based Titration (Intrinsic),RNA contained the Drosha processing site. RNA was folded by heating at 60 °C for 5 min and slowly cooling to room temperature. The solutions were incubated for 30 min at room temperature and then transferred to a 96-well plate and fluorescence intensity measured. ,Compared to monomers,C,MCF10A,No significant effect on apoptosis,Ligand = 50 nM,Apoptosis,Annexin V,Nontumorigenic mammary epithelial cell line,"Conducted with or without forced overexpression of pri-miR-96, compared to monomers",,TNBC mouse model (NOD/SCID),"Observed decreased levels of mature miR-96 (~50%),  increased pri-miR-96",Intraperitoneal; 10 mg/kg,RNA Abundance,qRT-PCR,Conducted using TargetScan,Compared to vehicle; tumors excised from treated and untreated mice,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,C,RNA2 (desired GG loop only),Kd = 0.9 ± 0.2 µM,Ligand = 1 - 100 nM,"10 mM Na2HPO4 (pH = 7.0), 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Binding,Fluorescence-Based Titration (Intrinsic),RNA contained desired GG loop. RNA was folded by heating at 60 °C for 5 min and slowly cooling to room temperature. The solutions were incubated for 30 min at room temperature and then transferred to a 96-well plate and fluorescence intensity measured. ,Compared to monomers,,MDA-MB-231 TNBC Cells,Only miR-96 expression was affected,Ligand = 50 nM,On-Target Effect,qRT-PCR,Conducted using TargetScan,Compared to vehicle,,TNBC mouse model (NOD/SCID),Increased FOXO1 levels,Intraperitoneal; 10 mg/kg,Protein Abundance,Western Blot,-,Compared to control (B-actin) and vehicle groups; tumors excised from treated and untreated mice,,,,,,,
