rbind_id,nombre,smiles,mw,pesados,estado
R-BIND (SM) 0001,5FDQD,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CCC(C)c3ccc(F)cc3)c2cc1C,391.43,29,entra (NC)
R-BIND (SM) 0002,Ribocil-B,CNc1ncc(CN2CCC[C@H](c3nc(-c4cccs4)cc(=O)[nH]3)C2)cn1,383.49,27,entra (NC)
R-BIND (SM) 0003,Ribocil-C,O=c1cc(-c2cccs2)nc([C@H]2CCCN(Cc3cn(-c4ncccn4)cn3)C2)[nH]1,419.51,30,entra (NC)
R-BIND (SM) 0004,Roseoflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1N(C)C,404.4,29,entra (NC)
R-BIND (SM) 0005,"2,6-Diaminopurine",Nc1nc(N)c2[nH]cnc2n1,150.15,11,entra (NC)
R-BIND (SM) 0006,Pyrithiamine,Cc1ncc(C[n+]2cccc(CCO)c2C)c(N)n1,259.33,19,entra (NC)
R-BIND (SM) 0007,2-Amino-N6-Hydroxyadenine,Nc1n/c(=N\O)c2nc[nH]c2[nH]1,167.15,12,entra (NC)
R-BIND (SM) 0008,PC1,Nc1nc(=O)c(N)c(N)[nH]1,141.13,10,entra (NC)
R-BIND (SM) 0009,Chelerythrine,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,348.38,26,entra (NC)
R-BIND (SM) 0010,Dequalinium,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,456.68,34,entra (NC)
R-BIND (SM) 0011,Harmane,Cc1nccc2c1[nH]c1ccccc12,182.23,14,entra (NC)
R-BIND (SM) 0012,Harmine,COc1ccc2c(c1)[nH]c1c(C)nccc12,212.25,16,entra (NC)
R-BIND (SM) 0013,Proflavine,Nc1ccc2cc3ccc(N)cc3nc2c1,210.26,16,entra (NC)
R-BIND (SM) 0014,Staurosporine,CN[C@H]1CC2OC(C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,467.55,35,entra (NC)
R-BIND (SM) 0015,Pentamidine,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,342.44,25,entra (NC)
R-BIND (SM) 0016,Methylquinolinium 15,C[n+]1c(/C=C/c2cc3ccccc3[nH]2)ccc2ccccc21,285.37,22,entra (NC)
R-BIND (SM) 0017,Methylquinolinium 16,CCn1c2ccccc2c2cc(/C=C/c3ccc4ccccc4[n+]3C)ccc21,363.48,28,entra (NC)
R-BIND (SM) 0018,Methylquinolinium 22,CN1CCN(c2cc(/C=C/c3ccc(N4CCOCC4)cc3)[n+](C)c3ccccc23)CC1,430.6,32,entra (NC)
R-BIND (SM) 0019,Methylquinolinium 23,CN1CCN(c2cc(/C=C/c3cc4ccccc4[nH]3)[n+](C)c3ccccc23)CC1,384.53,29,entra (NC)
R-BIND (SM) 0020,Methylquinolinium 24,CCn1c2ccccc2c2cc(/C=C/c3cc(N4CCN(C)CC4)c4ccccc4[n+]3C)ccc21,462.64,35,entra (NC)
