ligand,estado,centros,coinciden,fallan,metodo,min_dist_A
CHEMBL113882,OK_sin_cambio,6,6,-,embed_sin_quiralidad,1.72
CHEMBL1186247,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.72
CHEMBL1186304,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.73
CHEMBL1186306,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.73
CHEMBL1186312,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.73
CHEMBL1186318,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.73
CHEMBL1186333,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.73
CHEMBL1186344,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.72
CHEMBL1186345,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.73
CHEMBL1186395,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.73
CHEMBL1187666,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.73
CHEMBL1187708,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.73
CHEMBL1187732,OK_sin_cambio,4,4,-,embed_sin_quiralidad,1.73
CHEMBL1189155,OK_sin_cambio,3,3,-,embed_sin_quiralidad,1.7
CHEMBL1196224,OK_sin_cambio,3,3,-,embed_sin_quiralidad,1.74
