ligand,tanda,aff_vieja,aff_nueva,error
CHEMBL1092134,z001,-7.000,-7.116,
CHEMBL1097899,z001,-7.000,,TIMEOUT
CHEMBL443597,z001,-7.000,-6.957,
CHEMBL4553144,z001,-7.000,-7.335,
CHEMBL601104,z001,-7.100,-6.310,
CHEMBL7929,z001,-7.100,,TIMEOUT
CHEMBL1082437,z001,-7.000,-7.126,
CHEMBL1085713,z001,-7.000,-6.344,
CHEMBL6356,z001,-8.600,,TIMEOUT
CHEMBL1090649,z001,-8.300,,TIMEOUT
CHEMBL264478,z001,-8.100,-7.637,
CHEMBL405667,z001,-7.800,-6.754,
CHEMBL7282,z001,-7.800,,TIMEOUT
CHEMBL3310693,z001,-7.700,-7.067,
CHEMBL503902,z001,-7.700,-6.866,
CHEMBL3311118,z001,-7.600,-7.554,
CHEMBL1163235,z001,-7.200,,TIMEOUT
CHEMBL3309775,z001,-7.200,-6.333,
CHEMBL501923,z001,-7.200,-6.414,
CHEMBL9347,z001,-7.200,-6.535,
CHEMBL1076212,z001,-7.300,,TIMEOUT
CHEMBL1187325,z001,-7.300,-7.677,
CHEMBL262399,z001,-7.300,-7.209,
CHEMBL502203,z001,-7.300,,TIMEOUT
CHEMBL3309685,z001,-6.800,,TIMEOUT
CHEMBL3309962,z001,-6.800,,TIMEOUT
CHEMBL3310724,z001,-6.800,-7.018,
CHEMBL3311015,z001,-6.800,-6.861,
CHEMBL7198,z001,-6.900,,TIMEOUT
CHEMBL7409,z001,-6.900,-7.349,
CHEMBL7564,z001,-6.900,-6.671,
CHEMBL8496,z001,-6.900,-5.919,
CHEMBL502192,z001,-7.000,,TIMEOUT
CHEMBL584990,z001,-7.000,,TIMEOUT
CHEMBL7027,z001,-7.000,-7.353,
CHEMBL7534,z001,-7.000,-6.761,
CHEMBL4116075,z001,-7.600,-6.653,
CHEMBL503046,z001,-7.500,,TIMEOUT
CHEMBL7328,z001,-7.500,,TIMEOUT
CHEMBL504164,z001,-7.400,-7.638,
CHEMBL3309292,z001,-6.900,-7.373,
CHEMBL4553125,z001,-6.900,,TIMEOUT
CHEMBL501973,z001,-6.900,-7.036,
CHEMBL502456,z001,-6.900,,TIMEOUT
CHEMBL4116166,z001,-6.800,-7.042,
CHEMBL4116168,z001,-6.800,,TIMEOUT
CHEMBL505127,z001,-6.800,,TIMEOUT
CHEMBL505409,z001,-6.800,,TIMEOUT
CHEMBL8213,z001,-7.000,,TIMEOUT
CHEMBL1163213,z001,-6.900,,TIMEOUT
CHEMBL1184214,z001,-6.900,-6.870,
CHEMBL1210356,z001,-6.900,,TIMEOUT
CHEMBL8779,z001,-6.900,-6.618,
CHEMBL9532,z001,-6.900,-7.273,
CHEMBL1162104,z001,-6.800,,TIMEOUT
CHEMBL1163250,z001,-6.800,,TIMEOUT
CHEMBL9478,z001,-7.200,-6.695,
CHEMBL1076217,z001,-7.100,,TIMEOUT
CHEMBL1163227,z001,-7.100,-7.420,
CHEMBL4553709,z001,-7.100,,TIMEOUT
CHEMBL1214058,z001,-6.800,-7.265,
CHEMBL1222706,z001,-6.800,-7.198,
CHEMBL154288,z001,-6.800,,TIMEOUT
CHEMBL264899,z001,-6.800,-6.634,
CHEMBL572199,z001,-7.300,,TIMEOUT
CHEMBL6315,z001,-7.300,,TIMEOUT
CHEMBL6354,z001,-7.300,-7.440,
CHEMBL1162097,z001,-7.200,,TIMEOUT
CHEMBL3311127,z001,-6.800,-7.257,
CHEMBL3311385,z001,-6.800,,TIMEOUT
CHEMBL4116134,z001,-6.800,,TIMEOUT
CHEMBL4116164,z001,-6.800,-7.211,
CHEMBL503463,z001,-6.900,-6.259,
CHEMBL504252,z001,-6.900,,TIMEOUT
CHEMBL506057,z001,-6.900,,TIMEOUT
CHEMBL6819,z001,-6.900,,TIMEOUT
CHEMBL508215,z001,-6.800,,TIMEOUT
CHEMBL533010,z001,-6.800,,TIMEOUT
CHEMBL540983,z001,-6.800,,TIMEOUT
CHEMBL582554,z001,-6.800,,TIMEOUT
CHEMBL7798,z001,-6.800,-6.752,
CHEMBL7831,z001,-6.800,-6.360,
CHEMBL8089,z001,-6.800,-7.151,
CHEMBL8949,z001,-6.800,-6.314,
CHEMBL9171,z001,-6.800,-6.509,
CHEMBL9174,z001,-6.800,-6.704,
CHEMBL9287,z001,-6.800,-6.635,
CHEMBL1076221,z001,-6.700,-6.046,
CHEMBL592631,z001,-6.800,-7.124,
CHEMBL6969,z001,-6.800,-7.261,
CHEMBL7084,z001,-6.800,-7.432,
CHEMBL7403,z001,-6.800,-6.742,
CHEMBL1210578,z001,-6.600,-6.162,
CHEMBL155451,z001,-6.600,-6.353,
CHEMBL1761221,z001,-6.600,-6.210,
CHEMBL3309546,z001,-6.600,-6.428,
CHEMBL3310332,z001,-6.600,-6.370,
CHEMBL3311449,z001,-6.600,-6.793,
CHEMBL439267,z001,-6.600,-6.121,
CHEMBL4559945,z001,-6.600,-7.165,
CHEMBL1076477,z001,-6.700,,TIMEOUT
CHEMBL3309543,z001,-6.700,-6.879,
CHEMBL3309822,z001,-6.700,-6.768,
CHEMBL3311111,z001,-6.700,-7.191,
CHEMBL7972,z001,-6.700,-6.544,
CHEMBL8000,z001,-6.700,-6.798,
CHEMBL8161,z001,-6.700,-6.567,
CHEMBL8954,z001,-6.700,-6.254,
CHEMBL6207,z001,-6.700,-7.378,
CHEMBL6293,z001,-6.700,-7.152,
CHEMBL6748,z001,-6.700,,TIMEOUT
CHEMBL7048,z001,-6.700,,TIMEOUT
CHEMBL8067,z001,-6.600,-6.355,
CHEMBL8891,z001,-6.600,-6.109,
CHEMBL9312,z001,-6.600,-6.250,
CHEMBL9336,z001,-6.600,-6.362,
CHEMBL572573,z001,-6.600,-6.550,
CHEMBL603312,z001,-6.600,-6.343,
CHEMBL6867,z001,-6.600,-6.856,
CHEMBL6925,z001,-6.600,-6.953,
CHEMBL7285,z001,-6.700,-7.356,
CHEMBL7607,z001,-6.700,-7.488,
CHEMBL7722,z001,-6.700,-6.175,
CHEMBL7877,z001,-6.700,-6.400,
CHEMBL7152,z001,-6.600,,TIMEOUT
CHEMBL7367,z001,-6.600,-6.670,
CHEMBL7550,z001,-6.600,-6.602,
CHEMBL7748,z001,-6.600,-6.763,
CHEMBL499846,z001,-6.600,,TIMEOUT
CHEMBL500234,z001,-6.600,-7.086,
CHEMBL502237,z001,-6.600,-6.487,
CHEMBL504077,z001,-6.600,,TIMEOUT
CHEMBL1097356,z001,-6.500,,TIMEOUT
CHEMBL1097634,z001,-6.500,-6.379,
CHEMBL1163230,z001,-6.500,-6.415,
CHEMBL1163251,z001,-6.500,,TIMEOUT
CHEMBL4116116,z001,-6.700,-6.074,
CHEMBL438839,z001,-6.700,,TIMEOUT
CHEMBL4553702,z001,-6.700,,TIMEOUT
CHEMBL592632,z001,-6.700,-7.361,
