ligand,tanda,aff_vieja,aff_corregida,diferencia
CHEMBL57821,z010,-6.400,-7.610,-1.210
CHEMBL57853,z010,-6.500,-7.602,-1.102
CHEMBL56980,z010,-6.300,-7.572,-1.272
CHEMBL57964,z010,-6.400,-7.470,-1.070
CHEMBL56307,z010,-6.400,-7.454,-1.054
CHEMBL56516,z010,-6.500,-7.396,-0.896
CHEMBL56979,z010,-6.300,-7.368,-1.068
CHEMBL3310722,z010,-6.500,-7.270,-0.770
CHEMBL59036,z010,-6.500,-7.234,-0.734
CHEMBL56701,z010,-6.300,-7.197,-0.897
CHEMBL57104,z010,-6.600,-7.156,-0.556
CHEMBL3310720,z010,-6.400,-7.112,-0.712
CHEMBL53803,z010,-6.300,-7.110,-0.810
CHEMBL56020,z010,-6.500,-7.090,-0.590
CHEMBL3310726,z010,-6.300,-7.055,-0.755
CHEMBL3311120,z010,-6.500,-7.051,-0.551
CHEMBL55632,z010,-6.400,-7.036,-0.636
CHEMBL53642,z010,-6.300,-7.030,-0.730
CHEMBL54577,z010,-6.300,-7.028,-0.728
CHEMBL56237,z010,-6.400,-7.010,-0.610
CHEMBL3310729,z010,-6.300,-6.989,-0.689
CHEMBL60729,z010,-6.600,-6.982,-0.382
CHEMBL58339,z010,-6.300,-6.977,-0.677
CHEMBL3311121,z010,-6.300,-6.975,-0.675
CHEMBL56210,z010,-6.400,-6.968,-0.568
CHEMBL84700,z010,-6.300,-6.940,-0.640
CHEMBL60537,z010,-6.400,-6.929,-0.529
CHEMBL57617,z010,-6.400,-6.887,-0.487
CHEMBL57710,z010,-6.300,-6.874,-0.574
CHEMBL3310814,z010,-6.300,-6.870,-0.570
CHEMBL54594,z010,-6.300,-6.858,-0.558
CHEMBL58325,z010,-6.400,-6.856,-0.456
CHEMBL55055,z010,-6.300,-6.847,-0.547
CHEMBL3310590,z010,-6.500,-6.829,-0.329
CHEMBL3315291,z010,-6.300,-6.816,-0.516
CHEMBL58598,z010,-6.600,-6.804,-0.204
CHEMBL57559,z010,-6.300,-6.786,-0.486
CHEMBL58415,z010,-6.400,-6.784,-0.384
CHEMBL55390,z010,-6.500,-6.780,-0.280
CHEMBL3311119,z010,-6.500,-6.775,-0.275
CHEMBL3311122,z010,-6.300,-6.770,-0.470
CHEMBL56196,z010,-6.400,-6.759,-0.359
CHEMBL56661,z010,-6.400,-6.749,-0.349
CHEMBL58566,z010,-6.400,-6.733,-0.333
CHEMBL58106,z010,-6.300,-6.723,-0.423
CHEMBL54859,z010,-6.400,-6.708,-0.308
CHEMBL59437,z010,-6.500,-6.698,-0.198
CHEMBL57122,z010,-6.600,-6.696,-0.096
CHEMBL57047,z010,-6.600,-6.684,-0.084
CHEMBL55484,z010,-6.500,-6.654,-0.154
CHEMBL3311107,z010,-6.400,-6.650,-0.250
CHEMBL4299823,z010,-6.300,-6.645,-0.345
CHEMBL58575,z010,-6.300,-6.622,-0.322
CHEMBL57483,z010,-6.300,-6.620,-0.320
CHEMBL57851,z010,-6.400,-6.617,-0.217
CHEMBL58140,z010,-6.300,-6.609,-0.309
CHEMBL3309291,z010,-6.500,-6.588,-0.088
CHEMBL59098,z010,-6.400,-6.587,-0.187
CHEMBL3309971,z010,-6.500,-6.575,-0.075
CHEMBL57564,z010,-6.400,-6.574,-0.174
CHEMBL58915,z010,-6.300,-6.553,-0.253
CHEMBL4299920,z010,-6.300,-6.550,-0.250
CHEMBL53903,z010,-6.400,-6.533,-0.133
CHEMBL53977,z010,-6.300,-6.522,-0.222
CHEMBL58357,z010,-6.400,-6.496,-0.096
CHEMBL59271,z010,-6.500,-6.490,0.010
CHEMBL58450,z010,-6.400,-6.469,-0.069
CHEMBL4300102,z010,-6.400,-6.462,-0.062
CHEMBL57680,z010,-6.500,-6.460,0.040
CHEMBL52824,z010,-6.300,-6.460,-0.160
CHEMBL58786,z010,-6.300,-6.458,-0.158
CHEMBL58741,z010,-6.400,-6.457,-0.057
CHEMBL57175,z010,-6.600,-6.435,0.165
CHEMBL54731,z010,-6.500,-6.427,0.073
CHEMBL3310807,z010,-6.300,-6.421,-0.121
CHEMBL58076,z010,-6.400,-6.413,-0.013
CHEMBL55362,z010,-6.300,-6.382,-0.082
CHEMBL54610,z010,-6.300,-6.370,-0.070
CHEMBL55048,z010,-6.300,-6.363,-0.063
CHEMBL56286,z010,-6.400,-6.356,0.044
CHEMBL55019,z010,-6.300,-6.330,-0.030
CHEMBL52818,z010,-6.300,-6.326,-0.026
CHEMBL57172,z010,-6.300,-6.312,-0.012
CHEMBL3314977,z010,-6.400,-6.296,0.104
CHEMBL4300116,z010,-6.300,-6.282,0.018
CHEMBL57438,z010,-6.400,-6.273,0.127
CHEMBL56325,z010,-6.400,-6.273,0.127
CHEMBL4300088,z010,-6.400,-6.249,0.151
CHEMBL57208,z010,-6.300,-6.246,0.054
CHEMBL55305,z010,-6.400,-6.245,0.155
CHEMBL56443,z010,-6.500,-6.230,0.270
CHEMBL56102,z010,-6.500,-6.203,0.297
CHEMBL57860,z010,-6.400,-6.189,0.211
CHEMBL57730,z010,-6.300,-6.187,0.113
CHEMBL52479,z010,-6.300,-6.174,0.126
CHEMBL55788,z010,-6.300,-6.171,0.129
CHEMBL55127,z010,-6.400,-6.170,0.230
CHEMBL57962,z010,-6.300,-6.168,0.132
CHEMBL57095,z010,-6.300,-6.164,0.136
CHEMBL53999,z010,-6.400,-6.163,0.237
CHEMBL55108,z010,-6.500,-6.156,0.344
CHEMBL54719,z010,-6.400,-6.156,0.244
CHEMBL57913,z010,-6.300,-6.141,0.159
CHEMBL55665,z010,-6.300,-6.134,0.166
CHEMBL57090,z010,-6.400,-6.126,0.274
CHEMBL57717,z010,-6.300,-6.115,0.185
CHEMBL56163,z010,-6.500,-6.113,0.387
CHEMBL58698,z010,-6.500,-6.110,0.390
CHEMBL56627,z010,-6.400,-6.109,0.291
CHEMBL58944,z010,-6.400,-6.099,0.301
CHEMBL56093,z010,-6.300,-6.096,0.204
CHEMBL56855,z010,-6.400,-6.086,0.314
CHEMBL4300007,z010,-6.300,-6.077,0.223
CHEMBL58258,z010,-6.400,-6.073,0.327
CHEMBL58406,z010,-6.400,-6.062,0.338
CHEMBL57410,z010,-6.500,-6.060,0.440
CHEMBL60726,z010,-6.400,-6.058,0.342
CHEMBL55760,z010,-6.400,-6.047,0.353
CHEMBL57946,z010,-6.300,-6.045,0.255
CHEMBL4300141,z010,-6.300,-6.020,0.280
CHEMBL3310884,z010,-6.300,-6.016,0.284
CHEMBL3314086,z010,-6.300,-6.007,0.293
CHEMBL54420,z010,-6.300,-6.007,0.293
CHEMBL54790,z010,-6.300,-6.005,0.295
CHEMBL4300000,z010,-6.400,-5.998,0.402
CHEMBL55945,z010,-6.400,-5.992,0.408
CHEMBL57186,z010,-6.300,-5.989,0.311
CHEMBL3310999,z010,-6.300,-5.972,0.328
CHEMBL56198,z010,-6.500,-5.970,0.530
CHEMBL57781,z010,-6.300,-5.960,0.340
CHEMBL56207,z010,-6.400,-5.957,0.443
CHEMBL57887,z010,-6.300,-5.933,0.367
CHEMBL55461,z010,-6.500,-5.930,0.570
CHEMBL57296,z010,-6.300,-5.911,0.389
CHEMBL58296,z010,-6.300,-5.901,0.399
CHEMBL57019,z010,-6.400,-5.892,0.508
CHEMBL3314110,z010,-6.300,-5.888,0.412
CHEMBL57747,z010,-6.400,-5.886,0.514
CHEMBL55640,z010,-6.300,-5.865,0.435
CHEMBL55686,z010,-6.400,-5.860,0.540
CHEMBL53976,z010,-6.400,-5.858,0.542
CHEMBL54800,z010,-6.300,-5.843,0.457
CHEMBL55507,z010,-6.400,-5.831,0.569
CHEMBL4299977,z010,-6.300,-5.812,0.488
CHEMBL53641,z010,-6.400,-5.808,0.592
CHEMBL4300097,z010,-6.300,-5.800,0.500
CHEMBL55874,z010,-6.400,-5.795,0.605
CHEMBL59545,z010,-6.300,-5.738,0.562
CHEMBL59103,z010,-6.400,-5.690,0.710
CHEMBL57731,z010,-6.500,-5.638,0.862
CHEMBL58774,z010,-6.500,-5.612,0.888
CHEMBL55331,z010,-6.300,-5.612,0.688
CHEMBL58940,z010,-6.300,-5.563,0.737
CHEMBL56430,z010,-6.500,-5.522,0.978
CHEMBL54948,z010,-6.400,-5.276,1.124
CHEMBL58443,z010,-6.300,-5.228,1.072
CHEMBL58701,z010,-6.300,-5.228,1.072
CHEMBL58610,z010,-6.400,-5.126,1.274
CHEMBL59007,z010,-6.400,-5.099,1.301
CHEMBL56981,z010,-6.500,-5.070,1.430
CHEMBL56442,z010,-6.400,-4.903,1.497
CHEMBL57893,z010,-6.300,-4.157,2.143
