ligand,rol,affinity
DEC_CHEMBL1554159,decoy,-9.627
DEC_CHEMBL2356527,decoy,-9.343
DEC_CHEMBL1470097,decoy,-6.607
ACT_CHEMBL2165609,activo,-6.6
DEC_CHEMBL1437517,decoy,-6.493
DEC_CHEMBL1591882,decoy,-6.452
DEC_CHEMBL1327582,decoy,-6.428
ACT_PRG-A01,activo,-6.331
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",decoy,-6.301
DEC_CHEMBL124937,decoy,-6.296
DEC_CHEMBL1731606,decoy,-6.288
DEC_CHEMBL272808,decoy,-6.274
ACT_CHEMBL2165613,activo,-6.263
DEC_CHEMBL3214262,decoy,-6.218
DEC_Luteolin,decoy,-6.183
DEC_Quercetin,decoy,-6.155
DEC_CHEMBL1343668,decoy,-6.137
DEC_CHEMBL1309718,decoy,-6.123
ACT_CHEMBL2165601,activo,-6.052
ACT_CHEMBL2165610,activo,-6.021
DEC_CHEMBL1595503,decoy,-6.019
ACT_CHEMBL1939222,activo,-6.015
ACT_CHEMBL2165607,activo,-5.994
DEC_CHEMBL2165608,decoy,-5.974
DEC_Apigenin,decoy,-5.958
DEC_CHEMBL1708737,decoy,-5.943
DEC_CHEMBL1900310,decoy,-5.934
DEC_CHEMBL1402356,decoy,-5.931
DEC_CHEMBL1939222,decoy,-5.918
DEC_CHEMBL2136341,decoy,-5.917
DEC_CHEMBL2165612,decoy,-5.91
ACT_CHEMBL2165606,activo,-5.883
DEC_CHEMBL1570226,decoy,-5.873
DEC_CHEMBL1502123,decoy,-5.862
ACT_CHEMBL2165611,activo,-5.861
DEC_CHEMBL1587018,decoy,-5.85
DEC_CHEMBL1395067,decoy,-5.847
ACT_CHEMBL2165604,activo,-5.844
ACT_CHEMBL2165612,activo,-5.843
DEC_CHEMBL1474627,decoy,-5.832
DEC_CHEMBL1491654,decoy,-5.826
DEC_KAEMPFEROL,decoy,-5.811
DEC_CHEMBL1579999,decoy,-5.81
ACT_CHEMBL2165608,activo,-5.807
DEC_CHEMBL1452318,decoy,-5.802
ACT_CHEMBL1643556,activo,-5.801
DEC_CHEMBL1575024,decoy,-5.801
ACT_CHEMBL1643541,activo,-5.787
DEC_CHEMBL2179268,decoy,-5.786
ACT_CHEMBL1643557,activo,-5.767
DEC_CHEMBL1304181,decoy,-5.761
DEC_CHEMBL1472702,decoy,-5.758
DEC_CHEMBL1398411,decoy,-5.756
DEC_CHEMBL1896241,decoy,-5.755
DEC_CHEMBL3194612,decoy,-5.754
DEC_CHEMBL1602108,decoy,-5.747
DEC_CHEMBL1643541,decoy,-5.728
DEC_CHEMBL3208261,decoy,-5.724
DEC_5-HYDROXYFLAVONE,decoy,-5.714
DEC_CHEMBL1092384,decoy,-5.712
DEC_CHEMBL2143380,decoy,-5.705
DEC_CHEMBL1431783,decoy,-5.684
DEC_CHEMBL1570216,decoy,-5.679
DEC_Baicalein,decoy,-5.651
DEC_CHEMBL1091583,decoy,-5.65
ACT_CHEMBL2165605,activo,-5.633
DEC_CHEMBL1732294,decoy,-5.63
DEC_CHEMBL1502132,decoy,-5.621
DEC_CHEMBL1461506,decoy,-5.612
DEC_CHEMBL1373390,decoy,-5.602
DEC_CHEMBL166209,decoy,-5.593
DEC_Tizanidine,decoy,-5.593
DEC_CHEMBL1900501,decoy,-5.588
DEC_CHEMBL1896436,decoy,-5.559
DEC_CHEMBL1486005,decoy,-5.554
DEC_CHEMBL1475748,decoy,-5.548
DEC_Genistein,decoy,-5.538
DEC_CHEMBL1530615,decoy,-5.527
DEC_CHEMBL1896432,decoy,-5.527
DEC_CHEMBL2165602,decoy,-5.527
DEC_CHEMBL1091584,decoy,-5.481
DEC_CHEMBL1346563,decoy,-5.474
ACT_CHEMBL2165602,activo,-5.473
ACT_CHEMBL2165603,activo,-5.471
DEC_CHEMBL1092604,decoy,-5.465
DEC_CHEMBL1510247,decoy,-5.45
DEC_ONONETIN,decoy,-5.446
DEC_Riluzole,decoy,-5.422
DEC_CHEMBL1413381,decoy,-5.421
DEC_CHEMBL1389758,decoy,-5.415
DEC_CHEMBL1390550,decoy,-5.412
DEC_CHEMBL2359981,decoy,-5.398
DEC_CHEMBL1330118,decoy,-5.384
DEC_CHEMBL1558218,decoy,-5.382
DEC_CHEMBL1731670,decoy,-5.378
DEC_CHEMBL1896176,decoy,-5.369
DEC_CHEMBL1332994,decoy,-5.368
DEC_CHEMBL1601845,decoy,-5.361
DEC_CHEMBL1461527,decoy,-5.36
DEC_CHEMBL1092603,decoy,-5.357
DEC_CHEMBL1321608,decoy,-5.353
DEC_CHEMBL1390652,decoy,-5.352
DEC_CHEMBL1429038,decoy,-5.352
DEC_CHEMBL2179266,decoy,-5.352
DEC_CHEMBL1429852,decoy,-5.337
DEC_CHEMBL1315185,decoy,-5.327
DEC_CHEMBL1343679,decoy,-5.327
DEC_Teriflunomide,decoy,-5.323
DEC_CHEMBL1547432,decoy,-5.317
DEC_CHEMBL1354314,decoy,-5.313
DEC_CHEMBL1468148,decoy,-5.305
ACT_CHEMBL2165614,activo,-5.296
DEC_CHEMBL1579933,decoy,-5.293
DEC_Lamotrigine,decoy,-5.289
DEC_CHEMBL1592685,decoy,-5.283
DEC_CHEMBL1605531,decoy,-5.282
DEC_CHEMBL1708757,decoy,-5.26
DEC_Melatonin,decoy,-5.255
DEC_CHEMBL1429107,decoy,-5.253
DEC_CHEMBL1528023,decoy,-5.249
DEC_CHEMBL1536059,decoy,-5.245
DEC_CHEMBL1570928,decoy,-5.241
DEC_CHEMBL2142154,decoy,-5.232
DEC_CHEMBL1391531,decoy,-5.226
DEC_CHEMBL1531633,decoy,-5.22
DEC_CHEMBL1712280,decoy,-5.212
DEC_CHEMBL1344270,decoy,-5.197
DEC_CHEMBL1437579,decoy,-5.157
DEC_CHEMBL2360645,decoy,-5.155
DEC_CHEMBL1334295,decoy,-5.149
DEC_CHEMBL1875761,decoy,-5.133
DEC_Thiamine,decoy,-5.122
DEC_CHEMBL1524176,decoy,-5.117
DEC_CHEMBL1570913,decoy,-5.116
DEC_Baclofen,decoy,-5.108
DEC_CHEMBL1879692,decoy,-5.098
DEC_CHEMBL1569875,decoy,-5.087
DEC_CHEMBL1443628,decoy,-5.083
DEC_CHEMBL2086626,decoy,-5.078
DEC_CHEMBL1969867,decoy,-5.053
DEC_CHEMBL1092602,decoy,-5.031
DEC_CHEMBL1570375,decoy,-5.031
DEC_Arimoclomol,decoy,-5.025
DEC_CHEMBL1509423,decoy,-5.021
DEC_CHEMBL1597290,decoy,-5.019
DEC_CHEMBL1395044,decoy,-5.018
DEC_CHEMBL1256364,decoy,-5.005
DEC_CHEMBL1476890,decoy,-5.002
DEC_CHEMBL1491587,decoy,-4.99
DEC_IPRIFLAVONE,decoy,-4.988
DEC_CHEMBL1486052,decoy,-4.987
DEC_CHEMBL1970198,decoy,-4.978
DEC_CHEMBL1574978,decoy,-4.964
DEC_CHEMBL1491689,decoy,-4.961
DEC_CHEMBL1602967,decoy,-4.949
DEC_CHEMBL267400,decoy,-4.946
DEC_CHEMBL1430765,decoy,-4.937
DEC_CHEMBL1579274,decoy,-4.937
DEC_CHEMBL3213140,decoy,-4.937
DEC_Ezogabine,decoy,-4.916
DEC_CHEMBL1539969,decoy,-4.887
DEC_CHEMBL1446677,decoy,-4.886
DEC_CHEMBL1574931,decoy,-4.879
DEC_CHEMBL1372889,decoy,-4.867
DEC_CHEMBL1730329,decoy,-4.864
DEC_CHEMBL3189534,decoy,-4.863
DEC_CHEMBL1374893,decoy,-4.858
DEC_CHEMBL1468265,decoy,-4.85
DEC_CHEMBL3193932,decoy,-4.847
DEC_CHEMBL1343719,decoy,-4.846
DEC_CHEMBL1470785,decoy,-4.843
DEC_CHEMBL1476483,decoy,-4.819
DEC_CHEMBL1413075,decoy,-4.811
DEC_CHEMBL1373785,decoy,-4.803
DEC_CHEMBL1435511,decoy,-4.785
DEC_CHEMBL1730221,decoy,-4.78
DEC_CHEMBL1728134,decoy,-4.776
DEC_CHEMBL1383019,decoy,-4.767
DEC_CHEMBL1429958,decoy,-4.764
DEC_CHEMBL1527656,decoy,-4.755
DEC_CHEMBL1414576,decoy,-4.752
DEC_CHEMBL1402270,decoy,-4.741
DEC_Pramipexole,decoy,-4.732
DEC_Gabapentin,decoy,-4.728
ACT_LCS-1,activo,-4.706
DEC_CHEMBL1524161,decoy,-4.697
DEC_CHEMBL1730073,decoy,-4.692
DEC_CHEMBL1879685,decoy,-4.687
DEC_CHEMBL1401914,decoy,-4.678
DEC_CHEMBL1440455,decoy,-4.675
DEC_CHEMBL3213756,decoy,-4.665
DEC_CHEMBL1608506,decoy,-4.659
DEC_CHEMBL1409776,decoy,-4.639
DEC_Escitalopram,decoy,-4.611
DEC_CHEMBL1470903,decoy,-4.603
DEC_CHEMBL1732240,decoy,-4.582
DEC_CHEMBL1322610,decoy,-4.56
DEC_CHEMBL1978331,decoy,-4.547
DEC_CHEMBL1540430,decoy,-4.5
DEC_CHEMBL1879748,decoy,-4.485
DEC_CHEMBL1373755,decoy,-4.427
DEC_CHEMBL1558140,decoy,-4.408
DEC_CHEMBL1900371,decoy,-4.4
DEC_Alpha-Lipoic_Acid,decoy,-4.362
DEC_CHEMBL1501518,decoy,-4.345
DEC_CHEMBL1210791,decoy,-4.293
DEC_CHEMBL1597270,decoy,-4.262
DEC_CAPTOPRIL,decoy,-4.2
DEC_CHEMBL1563897,decoy,-4.136
DEC_CHEMBL1602618,decoy,-4.136
DEC_CHEMBL3774966,decoy,-4.135
DEC_CHEMBL1571416,decoy,-4.066
