ligand,rol,affinity
DEC_CHEMBL1554159,decoy,-9.667
DEC_CHEMBL2356527,decoy,-9.149
ACT_CHEMBL2165614,activo,-6.143
DEC_CHEMBL1708737,decoy,-6.111
ACT_PRG-A01,activo,-6.056
DEC_CHEMBL1731670,decoy,-6.027
DEC_CHEMBL1470903,decoy,-6.017
DEC_CHEMBL1472702,decoy,-6.014
ACT_CHEMBL2165609,activo,-6.009
DEC_CHEMBL1373390,decoy,-5.98
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",decoy,-5.974
DEC_CHEMBL1330118,decoy,-5.944
DEC_CHEMBL1441905,decoy,-5.906
DEC_CHEMBL1900310,decoy,-5.888
DEC_5-HYDROXYFLAVONE,decoy,-5.8
DEC_CHEMBL1591882,decoy,-5.787
DEC_Luteolin,decoy,-5.783
DEC_Quercetin,decoy,-5.752
DEC_Baicalein,decoy,-5.704
DEC_CHEMBL1327582,decoy,-5.692
ACT_CHEMBL2165610,activo,-5.673
ACT_CHEMBL2165613,activo,-5.661
DEC_CHEMBL1587018,decoy,-5.643
DEC_CHEMBL1431783,decoy,-5.634
DEC_Apigenin,decoy,-5.632
DEC_CHEMBL2165608,decoy,-5.605
DEC_CHEMBL166209,decoy,-5.591
DEC_CHEMBL1491654,decoy,-5.59
DEC_Genistein,decoy,-5.539
ACT_CHEMBL2165608,activo,-5.526
DEC_CHEMBL1429038,decoy,-5.522
DEC_CHEMBL1732294,decoy,-5.488
DEC_CHEMBL1608506,decoy,-5.485
DEC_CHEMBL1402356,decoy,-5.479
DEC_CHEMBL1476483,decoy,-5.478
DEC_CHEMBL1896436,decoy,-5.477
DEC_CHEMBL1602967,decoy,-5.47
DEC_CHEMBL1343719,decoy,-5.462
DEC_CHEMBL1731606,decoy,-5.449
DEC_CHEMBL1435511,decoy,-5.433
DEC_CHEMBL3214262,decoy,-5.428
DEC_CHEMBL1437517,decoy,-5.404
ACT_CHEMBL2165606,activo,-5.402
DEC_CHEMBL1462643,decoy,-5.394
DEC_KAEMPFEROL,decoy,-5.394
DEC_CHEMBL1605531,decoy,-5.363
DEC_CHEMBL1383019,decoy,-5.356
DEC_CHEMBL3189534,decoy,-5.356
DEC_CHEMBL1332994,decoy,-5.35
DEC_CHEMBL124937,decoy,-5.338
DEC_CHEMBL1309718,decoy,-5.33
DEC_CHEMBL1595503,decoy,-5.329
DEC_CHEMBL1398411,decoy,-5.326
DEC_CHEMBL1210791,decoy,-5.324
DEC_CHEMBL1474627,decoy,-5.322
DEC_CHEMBL1502132,decoy,-5.316
DEC_CHEMBL1321608,decoy,-5.313
DEC_CHEMBL1315185,decoy,-5.301
ACT_CHEMBL2165611,activo,-5.296
ACT_CHEMBL2165612,activo,-5.296
DEC_CHEMBL1092602,decoy,-5.293
ACT_CHEMBL2165605,activo,-5.279
ACT_CHEMBL2165607,activo,-5.267
DEC_CHEMBL1304181,decoy,-5.26
DEC_CHEMBL2165612,decoy,-5.249
DEC_CHEMBL1900567,decoy,-5.242
DEC_Tizanidine,decoy,-5.24
DEC_CHEMBL1389758,decoy,-5.239
ACT_CHEMBL1643557,activo,-5.233
DEC_CHEMBL1092603,decoy,-5.229
DEC_CHEMBL2136341,decoy,-5.229
DEC_CHEMBL1092384,decoy,-5.227
DEC_CHEMBL3208261,decoy,-5.227
ACT_CHEMBL2165601,activo,-5.223
