ligand,rol,affinity
DEC_CHEMBL1554159,decoy,-9.627
DEC_CHEMBL2356527,decoy,-9.241
ACT_CHEMBL2165613,activo,-6.709
DEC_CHEMBL1896432,decoy,-6.639
DEC_CHEMBL124937,decoy,-6.439
ACT_CHEMBL2165614,activo,-6.419
DEC_CHEMBL1330118,decoy,-6.369
ACT_CHEMBL2165606,activo,-6.323
DEC_CHEMBL1900310,decoy,-6.277
ACT_CHEMBL2165607,activo,-6.261
DEC_CHEMBL1491654,decoy,-6.252
ACT_CHEMBL2165608,activo,-6.218
DEC_CHEMBL2165608,decoy,-6.218
ACT_PRG-A01,activo,-6.196
DEC_CHEMBL1373390,decoy,-6.186
ACT_CHEMBL2165605,activo,-6.18
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",decoy,-6.14
ACT_CHEMBL2165609,activo,-6.11
ACT_CHEMBL2165610,activo,-6.054
DEC_CHEMBL1595503,decoy,-6.034
DEC_CHEMBL1731670,decoy,-6.016
DEC_Quercetin,decoy,-5.955
ACT_CHEMBL2165604,activo,-5.951
DEC_Luteolin,decoy,-5.928
DEC_CHEMBL1591882,decoy,-5.908
DEC_CHEMBL1327582,decoy,-5.894
ACT_CHEMBL2165612,activo,-5.89
DEC_CHEMBL1472702,decoy,-5.881
DEC_CHEMBL1441905,decoy,-5.879
DEC_CHEMBL1602967,decoy,-5.851
DEC_CHEMBL2143380,decoy,-5.841
DEC_CHEMBL166209,decoy,-5.819
DEC_CHEMBL1502123,decoy,-5.79
ACT_CHEMBL2165602,activo,-5.783
DEC_CHEMBL2165612,decoy,-5.781
DEC_CHEMBL1309718,decoy,-5.764
DEC_CHEMBL1579999,decoy,-5.747
DEC_CHEMBL1402356,decoy,-5.744
DEC_CHEMBL1510247,decoy,-5.743
DEC_CHEMBL1575024,decoy,-5.739
DEC_CHEMBL1587018,decoy,-5.739
DEC_CHEMBL1383019,decoy,-5.727
DEC_CHEMBL1528023,decoy,-5.727
DEC_CHEMBL1900501,decoy,-5.722
DEC_CHEMBL1536059,decoy,-5.703
DEC_CHEMBL2165602,decoy,-5.7
DEC_CHEMBL272808,decoy,-5.694
DEC_CHEMBL1643541,decoy,-5.691
ACT_CHEMBL1643557,activo,-5.689
DEC_CHEMBL1398411,decoy,-5.677
DEC_CHEMBL3208261,decoy,-5.677
DEC_CHEMBL2179268,decoy,-5.671
DEC_CHEMBL1092602,decoy,-5.658
DEC_ONONETIN,decoy,-5.645
DEC_CHEMBL3214262,decoy,-5.639
ACT_CHEMBL2165601,activo,-5.635
DEC_CHEMBL1731606,decoy,-5.633
DEC_CHEMBL1524176,decoy,-5.629
ACT_CHEMBL1643541,activo,-5.618
DEC_CHEMBL1321608,decoy,-5.605
DEC_CHEMBL1431783,decoy,-5.601
DEC_CHEMBL1475748,decoy,-5.587
DEC_CHEMBL1452318,decoy,-5.58
DEC_Apigenin,decoy,-5.571
DEC_Baicalein,decoy,-5.567
DEC_CHEMBL1413381,decoy,-5.567
ACT_CHEMBL1643556,activo,-5.557
DEC_CHEMBL1708737,decoy,-5.546
DEC_CHEMBL1332994,decoy,-5.526
DEC_CHEMBL1389758,decoy,-5.521
DEC_CHEMBL2142154,decoy,-5.503
DEC_CHEMBL1091584,decoy,-5.498
DEC_CHEMBL1395067,decoy,-5.475
DEC_KAEMPFEROL,decoy,-5.471
DEC_CHEMBL1486005,decoy,-5.458
