name,smiles,target
LCS-1,CC1=CC(=CC=C1)N2C(=O)C(=C(C=N2)Cl)Cl,SOD1
PRG-A01,CC1(C(CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)OC(=O)C=CC4=CC(=C(C=C4)O)OC)C,SOD1
CHEMBL1939222,O=c1cc(COc2cc(Cl)cc(Cl)c2)[nH][nH]1,SOD1
CHEMBL1643557,O=c1cc(CSc2cc(Cl)cc(Cl)c2)[nH][nH]1,SOD1
CHEMBL2165611,O=c1cc(COc2cc(Br)cc(Br)c2)[nH][nH]1,SOD1
CHEMBL2165609,O=c1cc(COc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[nH][nH]1,SOD1
CHEMBL1643556,O=c1cc(CSc2c(Cl)cccc2Cl)[nH][nH]1,SOD1
CHEMBL2165607,CCc1cccc(OCc2cc(=O)[nH][nH]2)c1,SOD1
CHEMBL2165605,O=c1cc(COc2ccc(Cl)cc2)[nH][nH]1,SOD1
CHEMBL2165608,CC(C)(C)c1cccc(OCc2cc(=O)[nH][nH]2)c1,SOD1
CHEMBL2165612,O=c1cc(COc2cccc(Br)c2)[nH][nH]1,SOD1
CHEMBL2165610,O=c1cc(COc2cc(F)cc(F)c2)[nH][nH]1,SOD1
CHEMBL2165603,O=c1cc(CS(=O)(=O)c2cc(Cl)cc(Cl)c2)[nH][nH]1,SOD1
CHEMBL2165604,Cc1cc(S(=O)(=O)Cc2cc(=O)[nH][nH]2)c(C)cc1Cl,SOD1
CHEMBL2165606,CCc1ccc(OCc2cc(=O)[nH][nH]2)cc1,SOD1
CHEMBL1643541,O=c1cc(CSc2ccc(Cl)cc2)[nH][nH]1,SOD1
CHEMBL2165613,O=c1cc(COc2cccc(-c3ccccc3)c2)[nH][nH]1,SOD1
CHEMBL2165601,Cc1cc([S+]([O-])Cc2cc(=O)[nH][nH]2)c(C)cc1Cl,SOD1
CHEMBL2165614,O=c1cc(COc2cc(-c3ccccc3)cc(-c3ccccc3)c2)[nH][nH]1,SOD1
CHEMBL2165602,O=c1cc(CS(=O)(=O)c2ccc(Cl)cc2)[nH][nH]1,SOD1
