diana,ligando,boro_smiles,boro_pose,perdido,carbonos_de_mas,atomos_pose,smiles
SOD1,CHEMBL15632,1,0,True,1,43,C=CC[C@H](NC(=O)[C@@H]1CCc2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1
SOD1,CHEMBL157117,1,0,True,1,42,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)Nc2cccc(B(O)O)c2)C(=O)O)cc1
SOD1,CHEMBL4543460,1,0,True,1,39,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N3C(=O)OCCC3c3ccc(B(O)O)cc3)c(C3CC3)cc12
SOD1,CHEMBL4553125,2,0,True,2,40,Cc1cc(=O)oc2cc(Oc3nc(-c4ccc(B(O)O)cc4)cn4c(-c5ccc(B(O)O)cc5)cnc34)ccc12
SOD1,CHEMBL499581,1,0,True,1,42,CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CCCc2ccccc21)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1
SOD1,CHEMBL540902,0,0,False,0,23,N/C(=N\O)c1cc[n+](C/C=C/C[n+]2ccc(/C=N\O)cc2)cc1.[Br-].[Br-]
TDP43,CHEMBL15632,1,0,True,1,43,C=CC[C@H](NC(=O)[C@@H]1CCc2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1
TDP43,CHEMBL157117,1,0,True,1,42,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)Nc2cccc(B(O)O)c2)C(=O)O)cc1
TDP43,CHEMBL4543460,1,0,True,1,39,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N3C(=O)OCCC3c3ccc(B(O)O)cc3)c(C3CC3)cc12
TDP43,CHEMBL4553125,2,0,True,2,40,Cc1cc(=O)oc2cc(Oc3nc(-c4ccc(B(O)O)cc4)cn4c(-c5ccc(B(O)O)cc5)cnc34)ccc12
TDP43,CHEMBL499581,1,0,True,1,42,CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CCCc2ccccc21)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1
TDP43,CHEMBL540902,0,0,False,0,23,N/C(=N\O)c1cc[n+](C/C=C/C[n+]2ccc(/C=N\O)cc2)cc1.[Br-].[Br-]
TDP43_v2,CHEMBL15632,1,0,True,1,43,C=CC[C@H](NC(=O)[C@@H]1CCc2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1
TDP43_v2,CHEMBL157117,1,0,True,1,42,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)Nc2cccc(B(O)O)c2)C(=O)O)cc1
TDP43_v2,CHEMBL4543460,1,0,True,1,39,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N3C(=O)OCCC3c3ccc(B(O)O)cc3)c(C3CC3)cc12
TDP43_v2,CHEMBL4553125,2,0,True,2,40,Cc1cc(=O)oc2cc(Oc3nc(-c4ccc(B(O)O)cc4)cn4c(-c5ccc(B(O)O)cc5)cnc34)ccc12
TDP43_v2,CHEMBL499581,1,0,True,1,42,CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CCCc2ccccc21)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1
TDP43_v2,CHEMBL540902,0,0,False,0,23,N/C(=N\O)c1cc[n+](C/C=C/C[n+]2ccc(/C=N\O)cc2)cc1.[Br-].[Br-]
FUS,CHEMBL15632,1,0,True,1,43,C=CC[C@H](NC(=O)[C@@H]1CCc2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1
FUS,CHEMBL157117,1,0,True,1,42,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)Nc2cccc(B(O)O)c2)C(=O)O)cc1
FUS,CHEMBL4543460,1,0,True,1,39,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N3C(=O)OCCC3c3ccc(B(O)O)cc3)c(C3CC3)cc12
FUS,CHEMBL4553125,2,0,True,2,40,Cc1cc(=O)oc2cc(Oc3nc(-c4ccc(B(O)O)cc4)cn4c(-c5ccc(B(O)O)cc5)cnc34)ccc12
FUS,CHEMBL499581,1,0,True,1,42,CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CCCc2ccccc21)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1
FUS,CHEMBL540902,0,0,False,0,23,N/C(=N\O)c1cc[n+](C/C=C/C[n+]2ccc(/C=N\O)cc2)cc1.[Br-].[Br-]
