ligand,target,energy,smiles
CHEMBL4435962,FUS,-7.5,C[C@@H]1CN2c3c(cc4c(N5CCSC5=O)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
DELAFLOXACIN,FUS,-7.4,Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F
CHEMBL20834,FUS,-7.3,O=C1NC(=O)c2c1c1c(ccc3cccnc31)c1[nH]c3ccccc3c21
CHEMBL18765,FUS,-7.2,O=C([O-])Cc1ccccc1Cn1nnc(-c2cccc(/C=C/c3ccc4ccccc4n3)c2)n1.[Na+]
CHEMBL4543576,FUS,-7.2,Cc1c(C(=O)N2CCC(c3nc(-c4ccccc4)co3)CC2)cnn1-c1nc2c(c(=O)[nH]1)CCC2
CHEMBL22003,FUS,-7.2,CN1C(=O)[C@H](NC(=O)Nc2cccc(N(C)c3nn[nH]n3)c2)N=C(c2ccccc2)c2ccccc21
CHEMBL3311110,FUS,-7.2,c1cc2cc(-c3ccc(-c4cn5ccc(C6=NCCCN6)cc5n4)cc3)[nH]c2cc1C1=NCCCN1
CHEMBL4435102,FUS,-7.2,CC(C)c1nnc2n1CCN(C(=O)c1ccc(/C=C3\Oc4c(C(N)=O)cccc4C3=O)cc1)C2
CHEMBL8432,FUS,-7.148,O=C(C[C@@H](Cc1ccc(-c2ccc3c(c2)OCO3)cc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)NO
AVAPRITINIB,FUS,-7.1,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1
CHEMBL7136,FUS,-7.1,CC(=O)Nc1nc(O)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1
CHEMBL1163230,FUS,-7.1,Clc1ccc(/C=N/Nc2nc(Nc3cccc(Br)c3)nc(N3CCOCC3)n2)cc1
CHEMBL10055,FUS,-7.1,O=P(O)(O)C(Cc1cccc2c1OCO2)N[C@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1
CHEMBL13119,FUS,-7.1,CC1CC[C@@]2(OC1)OC1CC3C4CC=C5C[C@@H](O)CC[C@]5(C)C4CC[C@]3(C)[C@@]1(O)[C@@H]2C
CHEMBL4543556,FUS,-7.1,Cc1c(C(=O)N2C3CCC2CC(F)(c2ccc(Cl)cc2)C3)cnn1-c1nn2cccc2c(=O)[nH]1
CHEMBL24054,FUS,-7.1,CN1CCC([C@H](C(=O)NO)[C@@H](Cc2cccc(O)c2)C(=O)N[C@H]2c3ccccc3C[C@H]2O)CC1
CHEMBL3311108,FUS,-7.1,c1cc2cc(-c3ccc(-c4cn5cc(C6=NCCCN6)ccc5n4)cc3)[nH]c2cc1C1=NCCCN1
CHEMBL25351,FUS,-7.1,CC(=N)N1CCC(Oc2ccc3c(nc(C)n3Cc3ccc4ccc(C(=N)N)cc4c3)c2[N+](=O)[O-])CC1
CHEMBL27509,FUS,-7.1,CO[C@H]1[C@@H]2OC[C@H]1O[C@@H]1[C@H]2n2c3ccccc3c3c4c(c5c6ccccc6n1c5c32)C(=O)NC4=O
CHEMBL11533,FUS,-7.0,O=C(/C=C/c1cccc(OCc2ccc3ccccc3n2)c1)c1cc(-c2nn[nH]n2)ccc1O
