ligand,target,affinity,smiles
CHEMBL3311015,FUS,-7.4,c1cc2cc(-c3ccc(-c4nc5ccc(C6=NCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCN1
CHEMBL9532,FUS,-7.4,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc3ccccc23)c1
CHEMBL502237,FUS,-7.1,CC1=C(C)C(=O)O[C@@H]([C@]2(C)OC(=O)[C@]34CC[C@H]5[C@@H](C[C@H]6O[C@]67[C@@H](O)CCC(=O)[C@]57C)[C@@H]3CC[C@H]24)C1
CHEMBL7136,FUS,-7.1,CC(=O)Nc1nc(O)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1
CHEMBL8581,FUS,-7.1,Cc1c(S(=O)(=O)N[C@H]2CCN(Cc3cc4c[nH]ccc-4n3)C2=O)sc2ccc(Cl)cc12
CHEMBL3310921,FUS,-7.0,NC(=O)Nc1ccc2[nH]c(=O)c(Nc3cccc(NC(=O)N4CCCC4)c3)cc2c1
CHEMBL501858,FUS,-7.0,O=C(O)/C(O)=C/C(=O)c1cccc(NC(=O)c2ccc(O)cc2)c1
CHEMBL3309292,FUS,-6.9,CC1(C)CC(=O)Nc2cc(C(=O)NCc3cccc(/C=C/C(=O)NO)c3)ccc21
CHEMBL8432,FUS,-6.9,O=C(C[C@@H](Cc1ccc(-c2ccc3c(c2)OCO3)cc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)NO
CHEMBL9171,FUS,-6.9,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc(N(C)C)c2)c1
CHEMBL1210578,FUS,-6.8,O=C(Cn1nc(C2CCC(F)(F)CC2)c2cnccc2c1=O)NC1Cc2ccccc2C1
CHEMBL4116093,FUS,-6.8,O=C1c2cccc3c(-c4cc(=O)c5ccccc5o4)ccc(c23)C(=O)N1CCCCN1CCNCC1
CHEMBL9086,FUS,-6.8,COc1ccccc1-c1ccc(C[C@H](CC(=O)NO)C(=O)N[C@H]2c3ccccc3C[C@H]2O)cc1
CHEMBL6293,FUS,-6.7,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1
CHEMBL6967,FUS,-6.7,Nc1nc(O)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1
CHEMBL9034,FUS,-6.7,Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)[nH]c2n(C)c1=O
CHEMBL1088337,FUS,-6.6,O=C1CCC(=O)N1CCOc1ccc([C@@H]2Oc3cc(O)ccc3C3=C2c2ccc(O)cc2OCC3)cc1
CHEMBL1159639,FUS,-6.6,Cc1ccc2oc(=O)c3c(O)c4cccc(O[C@H]5O[C@H](C)[C@H](O)[C@H](O)[C@H]5O)c4c4oc(=O)c1c2c34
CHEMBL3310332,FUS,-6.6,Cc1cc(O)cc(-c2nn(C)cc2-c2cc(N3CCOCC3)nc(-c3cccnc3)n2)c1
CHEMBL4116107,FUS,-6.6,N=C(N)N1CCC[C@H]1Cc1nc(-c2ccc(Nc3nc(-c4cccc(F)c4)cs3)cc2)no1
CHEMBL8519,FUS,-6.6,Cc1cn(C2CC(O)C(CNC(=O)COc3ccc(OCc4ccccc4)cc3)O2)c(=O)[nH]c1=O
CHEMBL8702,FUS,-6.6,O=C(C[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)NO
CHEMBL8921,FUS,-6.6,CCOC(=O)c1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccnc2)c1
CHEMBL9354,FUS,-6.6,CCOC(=O)c1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc(OC)c2)c1
CHEMBL9406,FUS,-6.6,CCOC(=O)c1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc(N(C)C)c2)c1
CHEMBL1207158,FUS,-6.5,O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1cccc(O)c1
CHEMBL264055,FUS,-6.5,CC(C)(C)c1ccc(C(=O)NC(=O)Nc2cccc(C3CN4CCSC4=N3)c2)cc1
CHEMBL6332,FUS,-6.5,Cn1cc(C2=C(c3cn(CCCCC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21
CHEMBL7265,FUS,-6.5,Cc1c(N2C[C@@H](F)[C@@H](C3(N)CC3)C2)c(F)c(N)c2c(=O)c(C(=O)O)cn([C@@H]3C[C@@H]3F)c12
CHEMBL9010,FUS,-6.5,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2ccc(Cl)cc2)c1
CHEMBL9084,FUS,-6.5,COc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2C(=O)COc2ccc(F)cc2)cc1
CHEMBL9336,FUS,-6.5,CCOC(=O)c1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2ccccc2)c1
CHEMBL3309490,FUS,-6.4,O=C1OCC2=C1C(c1ccc(F)cc1)c1c(c3cccnc3c3ncccc13)N2
