ligand,target,energy,smiles
CHEMBL21562,SOD1,-7.8,N=C(c1ccc(NC(=O)c2nnnn2-c2ccc3cc(Cl)ccc3c2)c(F)c1)N1CCCCC1
CHEMBL6293,SOD1,-7.7,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1
CHEMBL3310337,SOD1,-7.6,Cc1cc(O)cc(-c2c(-c3cc(N4CC(O)C4)nc(-c4cccnc4)n3)cnn2C)c1
CHEMBL20496,SOD1,-7.6,N=C(c1ccc(NC(=O)c2nnnn2-c2ccc3cc(Cl)ccc3c2)c(F)c1)N1CCCC1
CHEMBL21250,SOD1,-7.6,CN(C)C(=N)c1ccc(NC(=O)c2nnnn2-c2ccc3cc(Cl)ccc3c2)c(F)c1
CHEMBL4553700,SOD1,-7.5,N=C1N/C(=N\Nc2nc(-c3ccc(Cl)cc3)cs2)c2ccccc21
CHEMBL584356,SOD1,-7.5,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2cccc(C)c2)C1
CHEMBL7189,SOD1,-7.5,Nc1nc(N)c2c(Cl)c(NC(=O)COc3ccc4ccccc4c3)ccc2n1
CHEMBL7347,SOD1,-7.5,Nc1nc(N)c2cc(CNC(=O)c3ccc4ccccc4c3)ccc2n1
CHEMBL8550,SOD1,-7.5,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C1CC1)OCO3
CHEMBL6979,SOD1,-7.5,Nc1nc(N)c2cc([S+]([O-])c3ccc4ccccc4c3)ccc2n1
CHEMBL3309384,SOD1,-7.5,C[C@H](O)CNc1nccc(-n2ccnc2Cc2cccc(NC(=O)c3ccc4ccccc4n3)c2)n1
CHEMBL3309391,SOD1,-7.4,CC(=O)N1CCC(C(=O)Nc2cccc(Cc3nccn3-c3ccnc(NC[C@H](C)O)n3)c2)CC1
CHEMBL3309512,SOD1,-7.4,C[C@H]1CC2=C([C@@H]3Oc4c(O)ccc5c4[C@@]34CCN(CC3CC3)[C@H](C5)[C@]4(O)C2)N(Cc2ccccc2)C1=O
CHEMBL584554,SOD1,-7.4,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2ccccc2)C1
CHEMBL6812,SOD1,-7.4,Cc1c(NC(=O)Cc2ccc(Cl)c(Cl)c2)ccc2nc(N)nc(N)c12
CHEMBL6925,SOD1,-7.4,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1ccc2oc(Cn3oc(=O)[nH]c3=O)cc2c1
CHEMBL7176,SOD1,-7.4,Nc1nc(N)c2c(Cl)c(NC(=O)Cc3ccc4ccccc4c3)ccc2n1
CHEMBL25351,SOD1,-7.4,CC(=N)N1CCC(Oc2ccc3c(nc(C)n3Cc3ccc4ccc(C(=N)N)cc4c3)c2[N+](=O)[O-])CC1
CHEMBL29684,SOD1,-7.4,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)C2C(O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3CC21
CHEMBL1088172,SOD1,-7.3,O=C(C[C@@H]1C/C=C/CCCC(=O)O[C@H](c2ccccc2)CNC1=O)NCc1ccc(Cl)cc1
CHEMBL3309515,SOD1,-7.3,O=C1CCC2=C([C@@H]3Oc4c(O)ccc5c4[C@@]34CCN(CC3CC3)[C@H](C5)[C@]4(O)C2)N1Cc1ccccc1
CHEMBL6323,SOD1,-7.3,COc1cc2nc(N3CCN(C(=O)c4ccc5ccccc5c4)CC3)nc(N)c2cc1OC
CHEMBL6839,SOD1,-7.3,C/N=c1\ccc(-c2ccc(N3CC(CNC(C)=O)OC3=O)cc2)ccc1O
CHEMBL7049,SOD1,-7.3,Cc1c(NC(=O)Cc2ccc3ccccc3c2)ccc2nc(N)nc(N)c12
CHEMBL7360,SOD1,-7.3,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2ccc3c(Cl)cccc3c2)c1
CHEMBL9291,SOD1,-7.3,CC(C)Oc1cccc(-n2c(NNC(=O)Nc3ccccc3)nc3ccccc3c2=O)c1
CHEMBL9405,SOD1,-7.3,CC(C)Oc1cccc(-n2c(NNC(=O)Nc3cccc(C#N)c3)nc3ccccc3c2=O)c1
CHEMBL7134,SOD1,-7.3,Nc1nc(N)c2c(CCc3ccc4ccccc4c3)cccc2n1
CHEMBL19902,SOD1,-7.3,CC(=N)N1CC[C@H](Oc2ccc([C@H](Cc3ccc4ccc(C(=N)N)cc4c3)C(=O)O)cc2)C1
