ligand,target,energy,smiles
CHEMBL19801,TDP43,-7.6,Cc1nnc2n1-c1ccc(C#CCN3C(=O)c4ccccc4C3=O)cc1C(c1ccccc1F)=NC2
CHEMBL17580,TDP43,-7.4,N=C(N)c1ccc(CNC(=O)C2CCC=C2C(=O)N2CCc3ccccc32)cc1
CHEMBL1362588,TDP43,-7.3,CC1=CC(C)(C)Nc2ccc(OC(=O)C(C)N3C(=O)c4ccccc4C3=O)cc21
CHEMBL11899,TDP43,-7.3,O=C(/C=C/c1ccc(OCc2ccc3ccccc3n2)cc1)c1cc(-c2nn[nH]n2)ccc1O
CHEMBL20196,TDP43,-7.3,Cc1nnc2nc(-c3ccccc3F)c3cc(C#CCN4C(=O)c5ccccc5C4=O)ccc3n12
CHEMBL27093,TDP43,-7.3,O=C1NCN(c2ccccc2)C12CCN(C1CCc3cc(Cl)ccc3C1)CC2
CHEMBL4543357,TDP43,-7.2,O=C(/C=C/c1ccc2c(c1)OCO2)N1CCN(CCN2C(=O)c3cccc4cccc(c34)C2=O)CC1
CHEMBL19347,TDP43,-7.2,O=c1n(CCN2CCC(Cc3c[nH]c4ccc(F)cc34)CC2)c2cccc3c2n1CCC3
CHEMBL3309472,TDP43,-7.2,Nc1nccc(Oc2ccc(-n3ccc(C(=O)NCc4ccc(F)cc4)cc3=O)cc2F)c1Cl
CHEMBL20496,TDP43,-7.2,N=C(c1ccc(NC(=O)c2nnnn2-c2ccc3cc(Cl)ccc3c2)c(F)c1)N1CCCC1
CHEMBL21562,TDP43,-7.2,N=C(c1ccc(NC(=O)c2nnnn2-c2ccc3cc(Cl)ccc3c2)c(F)c1)N1CCCCC1
CHEMBL21992,TDP43,-7.2,CC(=O)N1CCc2ccc(N(C(=O)/C=C/c3ccccc3)C3CCN(C(=O)c4ccccc4)CC3)cc21
CHEMBL22137,TDP43,-7.2,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1
CHEMBL22870,TDP43,-7.2,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1
CHEMBL23927,TDP43,-7.2,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1ccccc1Cl)c1ccccc1
CHEMBL4435185,TDP43,-7.2,Cc1ccc(C)c2c1CCC21CCN(CCc2cnn(-c3nccc4c(=O)[nH]cnc34)c2)CC1
CHEMBL30651,TDP43,-7.2,CN([C@@H]1CCN2CCc3ccccc3[C@@H]2C1)S(=O)(=O)c1cccc2ccccc12
CHEMBL4436056,TDP43,-7.2,CC(NC(=O)c1ccccc1)c1nn(-c2ccc(C(N)=O)cc2)c2c1C(=O)CC(C)(C)C2
CHEMBL4559950,TDP43,-7.1,O=C(Cn1cc(Cn2c3ccccc3c3ccccc32)nn1)c1ccc(I)cc1
CHEMBL9968,TDP43,-7.1,CN1CCC23c4c5ccc(O)c4OC2[C@H]2OC[C@@]2(CCCCc2ccccc2)CC3C1C5
CHEMBL19051,TDP43,-7.1,O=S1(=O)c2cccc3cccc(c23)N1CCN1CC=C(Cc2c[nH]c3ccc(F)cc23)CC1
CHEMBL21930,TDP43,-7.1,Nc1ncnc2c1ncn2C1CCCC(N2CCN(C(c3ccccc3)c3ccccc3)CC2)C1O
CHEMBL21997,TDP43,-7.1,CC(=O)N1CCc2ccc(N(C(=O)/C=C/c3ccccc3)C3CCN(Cc4ccccc4)C3)cc21
CHEMBL27388,TDP43,-7.1,O=C(c1cccc2ccccc12)c1cn2c3c(cccc13)OCC2CN1CCOCC1
CHEMBL8553,TDP43,-7.082,COc1cccc(-c2ccc(C[C@H](CC(=O)NO)C(=O)N[C@H]3c4ccccc4C[C@H]3O)cc2)c1
