ligand,target,affinity,smiles
CHEMBL3309775,TDP43,-7.2,O=C(O)c1cn(Cc2ccccc2)c2ccc(Cc3ccccc3)cc2c1=O
CHEMBL9347,TDP43,-7.2,O=C1c2ccccc2CCCN1CCN1CCC(n2nnc3cc(F)ccc32)CC1
CHEMBL601104,TDP43,-7.1,Cc1ccc(Nc2cc(C)nc(N3CCN(C(=O)Nc4cccc(Cl)c4)CC3)n2)cc1
CHEMBL3309292,TDP43,-6.9,CC1(C)CC(=O)Nc2cc(C(=O)NCc3cccc(/C=C/C(=O)NO)c3)ccc21
CHEMBL6819,TDP43,-6.9,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(C2CC2Cn2oc(=O)[nH]c2=O)c1
CHEMBL7198,TDP43,-6.9,CN(C(=O)[C@H](CC#Cc1ccc(N)nc1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1
CHEMBL8496,TDP43,-6.9,O=C(C[C@@H](Cc1ccc(-c2cccc(F)c2)cc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)NO
CHEMBL9532,TDP43,-6.9,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc3ccccc23)c1
CHEMBL3311015,TDP43,-6.8,c1cc2cc(-c3ccc(-c4nc5ccc(C6=NCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCN1
CHEMBL7084,TDP43,-6.8,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(COc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1
CHEMBL7403,TDP43,-6.8,Nc1nc(N)c2cc(NC(=O)Cc3ccc4ccccc4c3)ccc2n1
CHEMBL9171,TDP43,-6.8,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc(N(C)C)c2)c1
CHEMBL1076221,TDP43,-6.7,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2ccc(Cl)cc21
CHEMBL3309822,TDP43,-6.7,O=S(=O)(c1ccccc1)N1N=C(C(F)(F)F)CC1c1ccc2ccccc2c1
CHEMBL4116116,TDP43,-6.7,COc1ccc(C(=O)C[n+]2c(C)n(Cc3c4c(cc5c3OCC5)OCC4)c3ccccc32)cc1
CHEMBL6293,TDP43,-6.7,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1
CHEMBL6748,TDP43,-6.7,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2coc(-c3ccc(C(F)(F)F)cc3)n2)c1
CHEMBL1210578,TDP43,-6.6,O=C(Cn1nc(C2CCC(F)(F)CC2)c2cnccc2c1=O)NC1Cc2ccccc2C1
CHEMBL155451,TDP43,-6.6,CS(=O)(=O)c1ccc(-c2cc3c(cc2C(=O)c2ccc(F)cc2)OCO3)cc1
CHEMBL1761221,TDP43,-6.6,CCCCN1C(=O)c2cccc3c(-n4cc(-c5ccccc5)nn4)ccc(c23)C1=O
CHEMBL3310332,TDP43,-6.6,Cc1cc(O)cc(-c2nn(C)cc2-c2cc(N3CCOCC3)nc(-c3cccnc3)n2)c1
CHEMBL3311449,TDP43,-6.6,O=C(Nc1cccc(Nc2nc(-c3ccccc3)c3cc[nH]c3n2)c1)N1CCCC1
CHEMBL439267,TDP43,-6.6,Cc1ccc(C(N)=O)cc1Nc1ncnc2c1cnn2-c1ccccc1
