ligand,target,energy,smiles,aprobado,cns,cns_mpo,cns_mpo_ok,mw,tpsa,logp,hbd,hba,rotb
CHEMBL4553700,SOD1,-7.5,N=C1N/C(=N\Nc2nc(-c3ccc(Cl)cc3)cs2)c2ccccc21,no,True,4.38,True,353.8380000000001,73.16,4.165770000000002,3,5,3
CHEMBL584356,SOD1,-7.5,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2cccc(C)c2)C1,no,True,3.67,False,442.5630000000002,68.44,4.816720000000004,2,2,4
CHEMBL8550,SOD1,-7.5,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C1CC1)OCO3,no,True,4.87,True,363.4170000000002,77.15,2.9331000000000005,1,5,2
CHEMBL584554,SOD1,-7.4,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2ccccc2)C1,no,True,3.96,False,428.5360000000002,68.44,4.508300000000003,2,2,4
CHEMBL1362588,TDP43,-7.3,CC1=CC(C)(C)Nc2ccc(OC(=O)C(C)N3C(=O)c4ccccc4C3=O)cc21,no,True,4.6,True,390.43900000000014,75.71000000000001,3.8841000000000028,1,5,3
CHEMBL27093,TDP43,-7.3,O=C1NCN(c2ccccc2)C12CCN(C1CCc3cc(Cl)ccc3C1)CC2,no,True,4.43,True,395.93400000000014,35.580000000000005,3.6258000000000026,1,3,2
CHEMBL7360,SOD1,-7.3,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2ccc3c(Cl)cccc3c2)c1,no,True,3.96,False,422.8680000000001,77.23,4.618700000000004,1,4,6
CHEMBL7134,SOD1,-7.3,Nc1nc(N)c2c(CCc3ccc4ccccc4c3)cccc2n1,no,True,5.0,True,314.39200000000005,77.82,3.7326000000000024,2,4,3
CHEMBL27556,SOD1,-7.3,O=C(NO)c1ccc(CNC(=O)c2ccc3ccccc3c2)cc1,no,True,4.5,True,320.348,78.43,2.8888000000000016,3,3,4
CHEMBL20834,FUS,-7.3,O=C1NC(=O)c2c1c1c(ccc3cccnc31)c1[nH]c3ccccc3c21,no,True,5.0,True,337.3380000000001,74.85,3.9061000000000012,2,3,0
CHEMBL19347,TDP43,-7.2,O=c1n(CCN2CCC(Cc3c[nH]c4ccc(F)cc34)CC2)c2cccc3c2n1CCC3,no,True,4.01,True,432.54300000000035,45.96,4.324300000000003,1,2,5
CHEMBL23927,TDP43,-7.2,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1ccccc1Cl)c1ccccc1,no,True,3.72,False,432.9070000000001,71.19,4.905800000000004,2,3,7
CHEMBL30651,TDP43,-7.2,CN([C@@H]1CCN2CCc3ccccc3[C@@H]2C1)S(=O)(=O)c1cccc2ccccc12,no,True,4.32,True,406.55100000000016,40.620000000000005,4.222100000000004,0,3,3
CHEMBL3309451,SOD1,-7.2,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2ccc3c(c2)OCCO3)cc1,no,True,4.24,True,426.41600000000017,68.2,3.7310000000000025,0,6,3
CHEMBL538188,SOD1,-7.2,C[C@@H]1C/C=C/CC/C=C/[C@H](O)Cc2cc(O)cc(O)c2C(=O)O1,no,True,4.5,True,318.3690000000001,86.99,2.8428000000000018,3,5,0
CHEMBL26518,SOD1,-7.2,O=C(NCC1CCC(C(=O)NO)CC1)c1ccc2ccccc2c1,no,True,4.5,True,326.396,78.43,2.881400000000001,3,3,4
CHEMBL9968,TDP43,-7.1,CN1CCC23c4c5ccc(O)c4OC2[C@H]2OC[C@@]2(CCCCc2ccccc2)CC3C1C5,no,True,3.95,False,431.57600000000025,41.93000000000001,4.469300000000004,1,4,5
CHEMBL27388,TDP43,-7.1,O=C(c1cccc2ccccc12)c1cn2c3c(cccc13)OCC2CN1CCOCC1,no,True,4.23,True,412.4890000000003,43.7,4.291200000000004,0,4,4
CHEMBL4553151,SOD1,-7.1,CN(C)c1nc(-c2cnc(N)c(-c3ccc4c(c3)CCNC4=O)c2)cs1,no,True,4.85,True,365.46200000000005,84.14000000000001,2.8062000000000005,2,6,3
CHEMBL505285,SOD1,-7.1,CN(C)c1ccc(/C=N/NC(=O)Nc2nc3c(ccc4ccccc43)s2)cc1,no,True,4.27,True,389.48400000000004,69.62,4.671100000000003,2,5,4
CHEMBL6900,SOD1,-7.1,C=C(C)c1cc2c3c(ccc2o1)[C@@H]1COc2cc(O)ccc2[C@@H]1O3,no,True,4.61,True,320.344,51.83,4.781200000000004,1,4,1
CHEMBL9440,SOD1,-7.1,CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(cccc13)C(=N)N2,no,True,4.13,True,436.53700000000003,85.73000000000002,3.2479700000000005,2,5,5
CHEMBL6975,SOD1,-7.1,Nc1nc(N)c2c(CSc3ccc4ccccc4c3)cccc2n1,no,True,4.88,True,332.4320000000001,77.82,4.239700000000002,2,5,3
CHEMBL6991,SOD1,-7.1,Nc1nc(O)c2cc(Sc3ccc4ccccc4c3)ccc2n1,no,True,4.89,True,319.389,72.03,4.222000000000001,2,5,2
CHEMBL7050,SOD1,-7.1,Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1,no,True,4.95,True,318.40500000000003,77.82,4.098600000000002,2,5,2
CHEMBL6929,SOD1,-7.1,Nc1nc(S)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1,no,True,4.83,True,367.45500000000004,85.94,3.4867000000000017,2,6,2
CHEMBL6686,SOD1,-7.1,Nc1nc(S)c2cc(Sc3ccc4ccccc4c3)ccc2n1,no,True,4.6,True,335.45700000000005,51.8,4.805100000000003,2,5,2
CHEMBL10861,SOD1,-7.1,NC(=O)C12NC(Cc3ccccc31)c1ccccc12,no,True,4.81,True,250.30100000000002,55.120000000000005,1.6159000000000001,2,2,1
CHEMBL13119,FUS,-7.1,CC1CC[C@@]2(OC1)OC1CC3C4CC=C5C[C@@H](O)CC[C@]5(C)C4CC[C@]3(C)[C@@]1(O)[C@@H]2C,no,True,3.78,False,430.6290000000003,58.92,4.8288000000000055,2,4,0
CHEMBL4543352,TDP43,-7.0,Cc1nc2nc(-c3ccccc3)nn2c(N2CCCC2)c1Cc1ccccc1,no,True,4.66,True,369.4720000000001,46.32,4.290720000000003,0,4,4
CHEMBL13828,TDP43,-7.0,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,no,True,4.17,True,426.5640000000001,44.27,4.126900000000004,1,3,7
CHEMBL9952,TDP43,-7.0,O=C1c2ccccc2CCCN1CCN1CCC(n2ccc3ccccc32)CC1,no,True,4.15,True,387.5270000000001,28.480000000000004,4.366800000000004,0,2,4
CHEMBL19897,TDP43,-7.0,C(#Cc1nc(-c2ccccc2)nc2c1ncn2Cc1ccccc1)c1ccccc1,no,True,4.16,True,386.458,43.6,4.941400000000004,0,3,3
CHEMBL25764,TDP43,-7.0,O=C(c1ccccc1Cl)c1cc2oc(=O)n(CCc3ccncc3)c2cc1Cl,no,True,3.98,False,413.2600000000001,65.1,4.770000000000003,0,4,5
CHEMBL3309784,TDP43,-7.0,O=C(NCc1ccccc1)c1cn(Cc2ccccc2)c2ccc(F)cc2c1=O,no,True,4.58,True,386.4260000000001,51.1,4.118900000000004,1,2,5
CHEMBL4435183,TDP43,-7.0,CN1C(=O)C2(c3ccccc31)c1c(c3ccccc3oc1=O)Oc1c2c(=O)oc2ccccc12,no,True,3.85,False,449.41800000000023,89.96,4.315900000000004,0,6,0
CHEMBL27699,TDP43,-7.0,O=C1NCN(c2ccccc2)C12CCN(C1CCc3c(Cl)cccc3C1)CC2,no,True,4.43,True,395.93400000000014,35.580000000000005,3.6258000000000026,1,3,2
CHEMBL29571,TDP43,-7.0,O=C1N[C@@H]2CCCC[C@H]2N1C1CCN(Cc2ccc3ccccc3c2)CC1,no,True,4.68,True,363.5050000000001,35.580000000000005,4.140600000000004,1,2,3
CHEMBL4436028,TDP43,-7.0,O=C1Cc2cc(-c3c(-c4ccc(F)cc4)nn4c(N5CCC(O)CC5)nccc34)ccc2N1,no,True,4.07,True,443.4820000000002,82.76,3.658100000000002,2,5,3
CHEMBL4436041,TDP43,-7.0,c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCO5)c2)cc1,no,True,3.84,False,429.4760000000003,74.73,4.740200000000003,1,7,5
CHEMBL52604,TDP43,-7.0,CCn1c(=O)n([C@@H]2CCN3[C@H](CCC[C@H]3c3ccccc3)C2)c2ccccc21,no,True,4.12,True,375.5160000000001,30.17,4.753600000000005,0,2,3
CHEMBL503623,SOD1,-7.0,Cc1cc2c(c(=O)[nH]1)C(=O)O/C2=C\c1cc2ccccc2s1,no,True,5.0,True,309.346,59.16,3.5665200000000015,1,4,1
CHEMBL593201,SOD1,-7.0,Cc1c(CC(=O)N2CCc3cccc4c3C2CNC4=O)sc2ccccc12,no,True,4.74,True,376.4810000000001,49.410000000000004,3.6216200000000027,1,3,2
CHEMBL6493,SOD1,-7.0,O=C(c1cc2ccccc2[nH]1)N1CCN(c2ncccc2NCc2ccccc2)CC1,no,True,4.32,True,411.5090000000002,64.26,4.137400000000003,2,4,5
CHEMBL6880,SOD1,-7.0,CCNc1cccnc1N1CCN(C(=O)c2ccc3ccccc3n2)CC1,no,True,4.89,True,361.44900000000007,61.36000000000001,3.024000000000002,1,5,4
CHEMBL8397,SOD1,-7.0,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)Nc1ccccc1)OCO3,no,True,4.24,True,414.46500000000015,89.18,4.228600000000002,2,5,2
CHEMBL6905,SOD1,-7.0,Nc1nc(O)nc2ccc(Sc3ccc4ccccc4c3)cc12,no,True,4.89,True,319.38900000000007,72.03,4.222000000000002,2,5,2
CHEMBL18727,SOD1,-7.0,C[C@H](NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1)C(=O)NCCc1ccccc1,no,True,3.57,False,442.5630000000002,77.23,2.901200000000001,3,3,6
CHEMBL20420,SOD1,-7.0,C/N=C(\N)c1ccc(NC(=O)c2cc(C)nn2-c2cc3ccccc3cc2F)c(F)c1,no,True,4.21,True,419.43500000000006,85.29999999999998,4.199520000000002,2,3,4
CHEMBL11824,FUS,-7.0,O=C1CC2(CCCC2)CC(=O)N1CCCCNCC1COc2cc3ccccc3cc2O1,no,True,4.11,True,436.5520000000002,67.87,4.058800000000002,1,5,7
CHEMBL16958,FUS,-7.0,O=C1NCc2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,no,True,4.4,True,311.34400000000005,60.68,4.199000000000002,3,1,0
CHEMBL26996,FUS,-7.0,O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1CN(O)C3,no,True,4.68,True,382.37900000000013,79.5,3.405800000000002,2,4,0
CHEMBL27348,FUS,-7.0,NNC(=O)N(CCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,no,True,4.52,True,373.3780000000001,58.36,4.491000000000002,2,2,4
CHEMBL10588,TDP43,-6.9,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2Cc2ccccc2)cc1C,no,True,4.13,True,430.45600000000024,74.22,4.130720000000003,1,6,5
CHEMBL13770,TDP43,-6.9,CN1C[C@H](C(=O)Nc2ccc(Cl)nn2)C[C@@H]2c3cc(C(C)(C)C)cc4[nH]cc(c34)C[C@H]21,no,True,3.87,False,437.97500000000025,73.91,4.507500000000003,2,4,2
CHEMBL3310143,TDP43,-6.9,Cc1ccc(C)c(CC(=O)Nc2onc(-c3ccc(F)cc3)c2-c2ccncn2)c1,no,True,4.11,True,402.4290000000001,80.91000000000001,4.735740000000004,1,5,5
CHEMBL4434863,TDP43,-6.9,O/N=c1\cc(-c2ccccc2)oc2c1ccc1ccccc12,no,True,4.73,True,287.31800000000004,45.730000000000004,4.542900000000003,1,3,1
CHEMBL23928,TDP43,-6.9,COc1cccc(COC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccccc2)c1,no,True,4.08,True,428.4880000000001,80.42,4.261000000000003,2,4,8
CHEMBL24348,TDP43,-6.9,O=C(c1ccc2c(c1)oc(=O)n2CCc1ccccn1)c1ccccc1Cl,no,True,4.65,True,378.81500000000005,65.1,4.116600000000003,0,4,5
