atomos_fichero,atomos_smiles,control,intermol_reparado,intermol_roto,libre_reparado,libre_roto,limpio_reparado,limpio_roto(v4),motivo,pseudo_atomos,reparado,sucio_reparado,sucio_roto(v4)
18,,ACT_5-fluorouridina,,,,,,,,0,,,
20,,ACT_CHEMBL2165613,,,,,,,,0,,,
16,,ACT_LCS-1,,,,,,,,0,,,
33,,ACT_Lig9_6B3,,,,,,,,0,,,
31,,ACT_PRG-A01,,,,,,,,0,,,
13,,ACT_adrenalina,,,,,,,,0,,,
10,,ACT_anilina_ZZT,,,,,,,,0,,,
24,22,ACT_cf3quinazolina_ZO0,-6.193,-6.174,-0.57,8.825,-5.543,-10.167,,4,si,-5.581,-9.826
20,18,ACT_diazepanoquinazolina_4MQ,-5.068,-5.366,-0.36,8.935,-4.779,-9.967,,4,si,-5.188,-10.075
11,,ACT_dopamina,,,,,,,,0,,,
15,,ACT_isoproterenol,,,,,,,,0,,,
23,,ACT_naftalenoaminoalcohol_946,,,,,,,,0,,,
31,,ACT_paliperidona_K4I,,,,,,,,0,,,
17,,ACT_quinazolina_12I,,,,,,,,0,,,
