target,control,smiles,en_libreria,ligand_libreria,afinidad_vina
TDP43,PE859,COC1=C(C=CC(=C1)OCC2=CC=CC=N2)C=CC3=CC(=NN3)C=CC4=CC5=C(C=C4)C=CN5,no,,
TDP43,berberrubine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)O,no,,
TDP43,berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,si,BERBERINE,-5.700
TDP43,sanguinarine,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6,no,,
TDP43,cepharanthine,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,no,,
TDP43,epiberberine,COC1=C(C=C2C(=C1)CC[N+]3=C2C=C4C=CC5=C(C4=C3)OCO5)OC,no,,
TDP43,coptisine,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,no,,
TDP43,nitidine,C[N+]1=CC2=CC(=C(C=C2C3=C1C4=CC5=C(C=C4C=C3)OCO5)OC)OC,no,,
TDP43,ketoconazole,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,si,KETOCONAZOLE,-6.300
SOD1,LCS-1,CC1=CC(=CC=C1)N2C(=O)C(=C(C=N2)Cl)Cl,no,,
SOD1,PRG-A01,CC1(C(CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)OC(=O)C=CC4=CC(=C(C=C4)O)OC)C,no,,
SOD1,CHEMBL1939222,O=c1cc(COc2cc(Cl)cc(Cl)c2)[nH][nH]1,si,CHEMBL1939222,-4.700
SOD1,CHEMBL1643557,O=c1cc(CSc2cc(Cl)cc(Cl)c2)[nH][nH]1,si,CHEMBL1643557,-4.700
SOD1,CHEMBL2165611,O=c1cc(COc2cc(Br)cc(Br)c2)[nH][nH]1,si,CHEMBL2165611,-5.000
SOD1,CHEMBL2165609,O=c1cc(COc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[nH][nH]1,si,CHEMBL2165609,-5.600
SOD1,CHEMBL1643556,O=c1cc(CSc2c(Cl)cccc2Cl)[nH][nH]1,si,CHEMBL1643556,-5.200
SOD1,CHEMBL2165607,CCc1cccc(OCc2cc(=O)[nH][nH]2)c1,si,CHEMBL2165607,-5.100
SOD1,CHEMBL2165605,O=c1cc(COc2ccc(Cl)cc2)[nH][nH]1,si,CHEMBL2165605,-5.300
SOD1,CHEMBL2165608,CC(C)(C)c1cccc(OCc2cc(=O)[nH][nH]2)c1,si,CHEMBL2165608,-5.400
SOD1,CHEMBL2165612,O=c1cc(COc2cccc(Br)c2)[nH][nH]1,si,CHEMBL2165612,-5.000
SOD1,CHEMBL2165610,O=c1cc(COc2cc(F)cc(F)c2)[nH][nH]1,si,CHEMBL2165610,-5.100
SOD1,CHEMBL2165603,O=c1cc(CS(=O)(=O)c2cc(Cl)cc(Cl)c2)[nH][nH]1,si,CHEMBL2165603,-5.000
SOD1,CHEMBL2165604,Cc1cc(S(=O)(=O)Cc2cc(=O)[nH][nH]2)c(C)cc1Cl,si,CHEMBL2165604,-5.300
SOD1,CHEMBL2165606,CCc1ccc(OCc2cc(=O)[nH][nH]2)cc1,si,CHEMBL2165606,-5.500
SOD1,CHEMBL1643541,O=c1cc(CSc2ccc(Cl)cc2)[nH][nH]1,si,CHEMBL1643541,-5.400
SOD1,CHEMBL2165613,O=c1cc(COc2cccc(-c3ccccc3)c2)[nH][nH]1,si,CHEMBL2165613,-5.800
SOD1,CHEMBL2165601,Cc1cc([S+]([O-])Cc2cc(=O)[nH][nH]2)c(C)cc1Cl,si,CHEMBL2165601,-5.800
SOD1,CHEMBL2165614,O=c1cc(COc2cc(-c3ccccc3)cc(-c3ccccc3)c2)[nH][nH]1,si,CHEMBL2165614,-6.000
SOD1,CHEMBL2165602,O=c1cc(CS(=O)(=O)c2ccc(Cl)cc2)[nH][nH]1,si,CHEMBL2165602,-5.400
FUS,Dehydroxymethylflazine,C1=CC=C2C(=C1)C3=CC(=NC(=C3N2)C4=CC=CO4)C(=O)O,no,,
FUS,CleroindicinC,C1CC2(CCOC2CC1=O)O,no,,
