ligand,smiles,quimia,origen,estructura_pdb,ligando_pdb,dist_min_trp32_A,cita,tipo_ensayo
isoproterenol,CC(C)NC[C@@H](c1ccc(c(c1)O)O)O,catecolamina,co-cristalizado Trp32,4A7T,5FW,3.13,Wright et al. 2013 Nat Commun 4:1758,co-cristalizacion (union directa)
adrenalina,CNC[C@@H](c1ccc(c(c1)O)O)O,catecolamina,co-cristalizado Trp32,4A7U,ALE,3.69,Wright et al. 2013 Nat Commun 4:1758,co-cristalizacion (union directa)
dopamina,c1cc(c(cc1CCN)O)O,catecolamina,co-cristalizado Trp32,4A7V,LDP,5.92,Wright et al. 2013 Nat Commun 4:1758,co-cristalizacion (union directa)
5-fluorouridina,C1=C(C(=O)NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)F,nucleosido,co-cristalizado Trp32,4A7S,5UD,2.58,Wright et al. 2013 Nat Commun 4:1758,co-cristalizacion (union directa)
quinazolina_12I,CN1CCN(CC1)c2c3ccccc3ncn2,quinazolina,co-cristalizado Trp32,4A7G,12I,3.29,Wright et al. 2013 Nat Commun 4:1758,co-cristalizacion (union directa)
diazepanoquinazolina_4MQ,CN1CCCN(CC1)c2c3ccccc3ncn2,quinazolina,co-cristalizado Trp32,4A7Q,4MQ,3.41,Wright et al. 2013 Nat Commun 4:1758,co-cristalizacion (union directa)
cf3quinazolina_ZO0,CN1CCCN(CC1)c2c3ccccc3nc(n2)C(F)(F)F,quinazolina-CF3,co-cristalizado Trp32,2WZ6,ZO0,3.18,Wright et al. 2013 (PDB 2WZ6),co-cristalizacion (union directa)
anilina_ZZT,Cc1ccc(c(c1)N)OC,anilina,co-cristalizado Trp32,2WZ0,ZZT,3.33,Wright et al. 2013 (PDB 2WZ0),co-cristalizacion (union directa)
paliperidona_K4I,CC1=C(C(=O)N2CCC[C@H](C2=N1)O)CCN3CCC(CC3)c4c5ccc(cc5on4)F,benzisoxazol-piperidina,co-cristalizado Trp32,8GSQ,K4I,3.33,Aouti et al. 2023 Acta Cryst D79:531 (MST),co-cristalizacion + MST (union directa)
Lig9_6B3,c1ccc2c(c1)-c3ccc(cc3NC2=O)NC(=O)c4ccccc4c5ccccc5C(=O)O,fenantridinona,co-cristalizado Trp32,6A9O,6B3,3.39,Manjula et al. 2019 (Lig9; PDB 6A9O),co-cristalizacion + inhibicion de oxidacion de Trp32
naftalenoaminoalcohol_946,c1ccc2cc(ccc2c1)CNC[C@@H](c3ccc(c(c3)O)O)O,aminoalcohol naftalenico,co-cristalizado Trp32,5YTO,946,3.45,"Manjula et al. 2018, FEBS Lett 592:1725 (SPR, Kd 33,1 uM; 5YTO es la estructura de ese trabajo)",co-cristalizacion + SPR (Kd 33,1 uM)
LCS-1,CC1=CC(=CC=C1)N2C(=O)C(=C(C=N2)Cl)Cl,piridazinona,independiente (sin estructura),,,,actividad celular; cribado previo del proyecto,Wright et al. 2013 / cribado previo (actividad celular)
PRG-A01,CC1(C(CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)OC(=O)C=CC4=CC(=C(C=C4)O)OC)C,cumarina,independiente (sin estructura),,,,Woo et al. 2021 (PRG-A01),actividad celular
CHEMBL2165613,O=c1cc(COc2cccc(-c3ccccc3)c2)[nH][nH]1,pirazolona (serie),serie congenica colapsada,,,,serie ChEMBL2165601-2165614 / 1643541-57,actividad celular (serie)
