receptor,ligando,quimia,origen,vina,n_contactos,toca_trp32,residuos,jaccard_consenso,co_cristalizado
limpio,LCS-1,piridazinona,conjunto anterior (independiente),-5.002,7,True,21 30 31 32 98 99 100,0.36363636363636365,
limpio,PRG-A01,cumarina,conjunto anterior (independiente),-7.46,6,True,19 20 21 30 32 98,0.2727272727272727,
limpio,CHEMBL2165613,pirazolona (serie),"serie congenerica, colapsada a un representante (17 mas no se cuentan)",-6.527,9,True,30 31 32 33 96 97 98 99 100,0.21428571428571427,
limpio,5-fluorouridine,nucleosido,ligando co-cristalizado en Trp32,-4.703,6,True,30 31 32 98 99 100,0.2727272727272727,5UD
limpio,isoproterenol,catecolamina,ligando co-cristalizado en Trp32,-4.437,6,True,30 31 32 98 99 100,0.2727272727272727,5FW
limpio,dopamine,catecolamina,ligando co-cristalizado en Trp32,-4.57,4,True,19 20 21 32,0.2,LDP
limpio,epinephrine,catecolamina,ligando co-cristalizado en Trp32,-4.506,4,True,19 20 21 32,0.2,ALE
historico,LCS-1,piridazinona,conjunto anterior (independiente),-4.933,5,True,21 30 32 97 98,0.3,
historico,PRG-A01,cumarina,conjunto anterior (independiente),-5.56,5,True,19 21 30 32 98,0.3,
historico,CHEMBL2165613,pirazolona (serie),"serie congenerica, colapsada a un representante (17 mas no se cuentan)",-6.706,7,True,21 30 32 33 96 97 98,0.25,
historico,5-fluorouridine,nucleosido,ligando co-cristalizado en Trp32,-5.017,3,False,99 100 135,0.1,5UD
historico,isoproterenol,catecolamina,ligando co-cristalizado en Trp32,-4.915,3,False,100 101 135,0.1,5FW
historico,dopamine,catecolamina,ligando co-cristalizado en Trp32,-4.728,7,True,21 23 30 32 97 98 99,0.36363636363636365,LDP
historico,epinephrine,catecolamina,ligando co-cristalizado en Trp32,-4.57,7,True,21 30 31 32 97 98 99,0.25,ALE
