ligando,atomos_glue,tipos,pose_TDP43_v2,pose_TDP43,pose_SOD1,pose_FUS
ALCAFTADINE,4,CG0+G0,0,0,0,0
AMDINOCILLIN PIVOXIL,4,CG0+G0,0,0,0,0
AMDINOCILLIN,4,CG0+G0,0,0,0,0
AMINEPTINE,4,CG0+G0,0,0,0,0
AMITRIPTYLINE,4,CG0+G0,0,0,0,0
ANIDULAFUNGIN,4,CG0+G0,0,0,0,0
ARTENIMOL,4,CG0+G0,0,0,0,0
ARTESUNATE,4,CG0+G0,0,0,0,0
AZATADINE,4,CG0+G0,0,0,0,0
AZELASTINE,4,CG0+G0,0,0,0,0
AZITHROMYCIN,4,CG0+G0,0,0,0,0
BAZEDOXIFENE,4,CG0+G0,0,0,0,0
BENAZEPRIL,4,CG0+G0,0,0,0,0
BENZGALANTAMINE,4,CG0+G0,0,0,0,0
BESIFLOXACIN,4,CG0+G0,0,0,0,0
BLONANSERIN,4,CG0+G0,0,0,0,0
BROMAZEPAM,4,CG0+G0,0,0,0,0
BUTRIPTYLINE,4,CG0+G0,0,0,0,0
CABAZITAXEL,4,CG0+G0,0,0,0,0
CASPOFUNGIN,4,CG0+G0,0,0,0,0
CHEMBL1076399,4,CG0+G0,0,0,0,0
CHEMBL1076737,4,CG0+G0,0,0,0,0
CHEMBL1205635,4,CG0+G0,0,0,0,0
CHEMBL1206253,4,CG0+G0,0,0,0,0
CHEMBL1206329,4,CG0+G0,0,0,0,0
CHEMBL1206340,4,CG0+G0,0,0,0,0
CHEMBL1206355,4,CG0+G0,0,0,0,0
CHEMBL1206482,4,CG0+G0,0,0,0,0
CHEMBL1206570,4,CG0+G0,0,0,0,0
CHEMBL1206619,4,CG0+G0,0,0,0,0
CHEMBL1206625,4,CG0+G0,0,0,0,0
CHEMBL1206641,4,CG0+G0,0,0,0,0
CHEMBL1206645,4,CG0+G0,0,0,0,0
CHEMBL1206687,4,CG0+G0,0,0,0,0
CHEMBL1206688,4,CG0+G0,0,0,0,0
CHEMBL1206694,4,CG0+G0,0,0,0,0
CHEMBL1206700,4,CG0+G0,0,0,0,0
CHEMBL1206702,4,CG0+G0,0,0,0,0
CHEMBL1206726,4,CG0+G0,0,0,0,0
CHEMBL1206729,4,CG0+G0,0,0,0,0
CHEMBL1206782,4,CG0+G0,0,0,0,0
CHEMBL1206793,4,CG0+G0,0,0,0,0
CHEMBL1206871,4,CG0+G0,0,0,0,0
CHEMBL1206940,4,CG0+G0,0,0,0,0
CHEMBL1206946,4,CG0+G0,0,0,0,0
CHEMBL1206947,4,CG0+G0,0,0,0,0
CHEMBL1207007,4,CG0+G0,0,0,0,0
CHEMBL1207215,4,CG0+G0,0,0,0,0
