ligand,smiles,metal,motivo,smiles_corregido
ACAMPROSATE CALCIUM,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],Ca,metal_Ca,CC(=O)NCCCS(=O)(=O)[O-]
ACETARSONE,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,As,metal_As,CC(=O)Nc1cc([As](=O)(O)O)ccc1O
ACETAZOLAMIDE SODIUM,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+],Na,metal_Na,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1
ACETRIZOATE SODIUM,CC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I.O.[Na+],Na,metal_Na,CC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I
ACYCLOVIR SODIUM,Nc1nc([O-])c2ncn(COCCO)c2n1.[Na+],Na,metal_Na,Nc1nc([O-])c2ncn(COCCO)c2n1
ALENDRONATE SODIUM,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],Na,metal_Na,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O
ALLOPURINOL SODIUM,O=c1[n-]cnc2[nH]ncc12.[Na+],Na,metal_Na,O=c1[n-]cnc2[nH]ncc12
ALUMINUM ACETATE,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Al+3],Al,metal_Al,[Al+3]
ALUMINUM CHLORIDE,O.O.O.O.O.O.[Al+3].[Cl-].[Cl-].[Cl-],Al,metal_Al,[Al+3]
ALUMINUM CHLORIDE ANHYDROUS,Cl[Al](Cl)Cl,Al,metal_Al,[Cl][Al]([Cl])[Cl]
ALUMINUM HYDROXIDE,O[Al](O)O,Al,metal_Al,[OH][Al]([OH])[OH]
AMINOHIPPURATE SODIUM,Nc1ccc(C(=O)NCC(=O)[O-])cc1.[Na+],Na,metal_Na,Nc1ccc(C(=O)NCC(=O)[O-])cc1
AMINOSALICYLATE POTASSIUM,Nc1ccc(C(=O)[O-])c(O)c1.[K+],K,metal_K,Nc1ccc(C(=O)[O-])c(O)c1
AMINOSALICYLATE SODIUM,Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+],Na,metal_Na,Nc1ccc(C(=O)[O-])c(O)c1
AMOBARBITAL SODIUM,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+],Na,metal_Na,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O
AMPICILLIN SODIUM,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],Na,metal_Na,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
ARSENIC TRIOXIDE,O=[As][As+](=O)[O-],As,metal_As,O=[As][As+](=O)[O-]
ATORVASTATIN CALCIUM,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],Ca,metal_Ca,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-]
AVIBACTAM SODIUM,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],Na,metal_Na,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-]
AZATHIOPRINE SODIUM,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12.[Na+],Na,metal_Na,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12
