ligando,reparado,atomos_smiles,atomos_preparado,motivo
ALCAFTADINE,1,23,23,ya estaba
AMDINOCILLIN PIVOXIL,1,30,30,ya estaba
AMDINOCILLIN,1,22,22,ya estaba
AMINEPTINE,1,25,25,ya estaba
AMITRIPTYLINE,1,21,21,ya estaba
ANIDULAFUNGIN,1,82,82,ya estaba
ARTENIMOL,1,20,20,ya estaba
ARTESUNATE,1,27,27,ya estaba
AZATADINE,1,22,22,ya estaba
AZELASTINE,1,27,27,ya estaba
AZITHROMYCIN,1,52,52,ya estaba
BAZEDOXIFENE,1,35,35,ya estaba
BENAZEPRIL,1,31,31,ya estaba
BENZGALANTAMINE,1,29,29,ya estaba
BESIFLOXACIN,1,27,27,ya estaba
BLONANSERIN,1,27,27,ya estaba
BROMAZEPAM,1,19,19,ya estaba
BUTRIPTYLINE,1,22,22,ya estaba
CABAZITAXEL,1,60,60,ya estaba
CASPOFUNGIN,1,77,77,ya estaba
CHEMBL1076399,1,92,92,ya estaba
CHEMBL1076737,1,64,64,ya estaba
CHEMBL1205635,1,29,29,ya estaba
CHEMBL1206253,1,68,68,ya estaba
CHEMBL1206329,1,32,32,ya estaba
CHEMBL1206340,1,66,66,ya estaba
CHEMBL1206355,1,81,81,ya estaba
CHEMBL1206482,1,31,31,ya estaba
CHEMBL1206570,1,23,23,ya estaba
CHEMBL1206619,1,21,21,ya estaba
CHEMBL1206625,1,23,23,ya estaba
CHEMBL1206641,1,23,23,ya estaba
CHEMBL1206645,1,55,55,ya estaba
CHEMBL1206687,1,32,32,ya estaba
CHEMBL1206688,1,32,32,ya estaba
CHEMBL1206694,1,31,31,ya estaba
CHEMBL1206700,1,33,33,ya estaba
CHEMBL1206702,1,32,32,ya estaba
CHEMBL1206726,1,50,50,ya estaba
CHEMBL1206729,1,30,30,ya estaba
CHEMBL1206782,1,23,23,ya estaba
CHEMBL1206793,1,50,50,ya estaba
CHEMBL1206871,1,37,37,ya estaba
CHEMBL1206940,1,15,15,ya estaba
