ligand,accion,categoria,metal,smiles_libreria,smiles_corregido,razon,detalle
ABACAVIR_SULFATE,CORREGIR_SMILES,etiqueta_desconocida,,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,PDBQT con etiqueta desconocida (sal); regenerar desde SMILES limpio: Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,"Parse error on line 67 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ABACAVIR_SULFATE.pdbqt"": Unknown or inappropriate tag"
ACALABRUTINIB_MALEATE,CORREGIR_SMILES,etiqueta_desconocida,,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,PDBQT con etiqueta desconocida (sal); regenerar desde SMILES limpio: CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,"Parse error on line 78 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACALABRUTINIB_MALEATE.pdbqt"": Unknown or inappropriate tag"
ACAMPROSATE_CALCIUM,CORREGIR_SMILES,etiqueta_desconocida,,CC(=O)NCCCS(=O)(=O)O,CC(=O)NCCCS(=O)(=O)O,PDBQT con etiqueta desconocida (sal); regenerar desde SMILES limpio: CC(=O)NCCCS(=O)(=O)O,"Parse error on line 54 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACAMPROSATE_CALCIUM.pdbqt"": Unknown or inappropriate tag"
ACEBUTOLOL_HYDROCHLORIDE,CORREGIR_SMILES,etiqueta_desconocida,,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,PDBQT con etiqueta desconocida (sal); regenerar desde SMILES limpio: CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,"Parse error on line 93 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACEBUTOLOL_HYDROCHLORIDE.pdbqt"": Unknown or inappropriate tag"
ACEFYLLINE_PIPERAZINE,REVISAR,etiqueta_desconocida,,,,etiqueta desconocida en PDBQT y sin SMILES resoluble: revisar origen del archivo,"Parse error on line 42 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACEFYLLINE_PIPERAZINE.pdbqt"": Unknown or inappropriate tag"
ACETARSONE,EXCLUIR_METAL,metal_tipo_AD:As,As,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,atomos As no tipables por AutoDock (organometalico/sal metalica),"Parse error on line 28 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETARSONE.pdbqt"": ATOM syntax incorrect: ""As"" is not a valid AutoDock type. Note th"
ACETAZOLAMIDE_SODIUM,CORREGIR_SMILES,etiqueta_desconocida,,CC(=O)Nc1nnc(S(N)(=O)=O)s1,CC(=O)Nc1nnc(S(N)(=O)=O)s1,PDBQT con etiqueta desconocida (sal); regenerar desde SMILES limpio: CC(=O)Nc1nnc(S(N)(=O)=O)s1,"Parse error on line 39 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETAZOLAMIDE_SODIUM.pdbqt"": Unknown or inappropriate tag"
ACETOPHENAZINE_MALEATE,CORREGIR_SMILES,etiqueta_desconocida,,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,PDBQT con etiqueta desconocida (sal); regenerar desde SMILES limpio: CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,"Parse error on line 94 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETOPHENAZINE_MALEATE.pdbqt"": Unknown or inappropriate tag"
ACETRIZOATE_SODIUM,REVISAR,etiqueta_desconocida,,,,etiqueta desconocida en PDBQT y sin SMILES resoluble: revisar origen del archivo,"Parse error on line 41 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETRIZOATE_SODIUM.pdbqt"": Unknown or inappropriate tag"
ACETYLCHOLINE_CHLORIDE,CORREGIR_SMILES,etiqueta_desconocida,,CC(=O)OCC[N+](C)(C)C,CC(=O)OCC[N+](C)(C)C,PDBQT con etiqueta desconocida (sal); regenerar desde SMILES limpio: CC(=O)OCC[N+](C)(C)C,"Parse error on line 48 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETYLCHOLINE_CHLORIDE.pdbqt"": Unknown or inappropriate tag"
