ligand,veces_error,categoria,smiles_libreria,smiles_ok,metal,motivo,detalle
ABACAVIR_SULFATE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 67 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ABACAVIR_SULFATE.pdbqt"": Unknown or inappropriate tag"
ACALABRUTINIB_MALEATE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 78 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACALABRUTINIB_MALEATE.pdbqt"": Unknown or inappropriate tag"
ACAMPROSATE_CALCIUM,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 54 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACAMPROSATE_CALCIUM.pdbqt"": Unknown or inappropriate tag"
ACEBUTOLOL_HYDROCHLORIDE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 93 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACEBUTOLOL_HYDROCHLORIDE.pdbqt"": Unknown or inappropriate tag"
ACEFYLLINE_PIPERAZINE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 42 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACEFYLLINE_PIPERAZINE.pdbqt"": Unknown or inappropriate tag"
ACETARSONE,1,metal_tipo_AD:As,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,As,metal_As,"Parse error on line 28 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETARSONE.pdbqt"": ATOM syntax incorrect: ""As"" is not a valid AutoDock type. Note th"
ACETAZOLAMIDE_SODIUM,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 39 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETAZOLAMIDE_SODIUM.pdbqt"": Unknown or inappropriate tag"
ACETOPHENAZINE_MALEATE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 94 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETOPHENAZINE_MALEATE.pdbqt"": Unknown or inappropriate tag"
ACETRIZOATE_SODIUM,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 41 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETRIZOATE_SODIUM.pdbqt"": Unknown or inappropriate tag"
ACETYLCHOLINE_CHLORIDE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 48 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETYLCHOLINE_CHLORIDE.pdbqt"": Unknown or inappropriate tag"
ACETYLCYSTEINE_LYSINE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 65 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACETYLCYSTEINE_LYSINE.pdbqt"": Unknown or inappropriate tag"
ACLIDINIUM_BROMIDE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 92 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACLIDINIUM_BROMIDE.pdbqt"": Unknown or inappropriate tag"
ACORAMIDIS_HYDROCHLORIDE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 69 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACORAMIDIS_HYDROCHLORIDE.pdbqt"": Unknown or inappropriate tag"
ACRISORCIN,1,etiqueta_desconocida,CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12,Nc1c2ccccc2nc2ccccc12,,sal_strippable,"Parse error on line 62 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACRISORCIN.pdbqt"": Unknown or inappropriate tag"
ACYCLOVIR_SODIUM,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 53 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ACYCLOVIR_SODIUM.pdbqt"": Unknown or inappropriate tag"
AFATINIB_DIMALEATE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 98 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/AFATINIB_DIMALEATE.pdbqt"": Unknown or inappropriate tag"
ALBUTEROL_SULFATE,1,etiqueta_desconocida,,,,sin_smiles,"Parse error on line 99 in file ""/kaggle/working/masive_als_tdp43v4/ligandos/ALBUTEROL_SULFATE.pdbqt"": Unknown or inappropriate tag"
