target,ligand,afinidad,smiles,mw,tpsa,logp,hbd,hba,rotb,cns_mpo
FUS,CHEMBL4582280,-8.1,CN1CCN(c2cc(F)c3c(c2)N(C)C(=O)C32CCN(c3nc4c(c(=O)[nH]3)CCCN4C)CC2)CC1,495.6,79.0,1.56,1,7,2,4.0
FUS,CHEMBL4634995,-7.7,O=c1[nH]cc(C#Cc2ccc3c4cccc5cccc(c6cccc2c63)c54)c(=O)[nH]1,386.4,65.7,4.51,2,2,0,5.0
FUS,CHEMBL4636707,-7.6,CN1CCN(c2cc(-c3cc4c5c(n[nH]c5c3)Nc3ccccc3O4)nc(N)n2)CC1,414.5,108.2,3.2,3,8,2,4.0
FUS,CHEMBL4584906,-7.5,N=C1N/C(=N/NC(=O)c2ccc(CN3C(=O)c4cccc5cccc3c45)cc2)c2ccccc21,445.5,97.7,4.02,3,4,4,4.0
FUS,CHEMBL20834,-7.3,O=C1NC(=O)c2c1c1c(ccc3cccnc31)c1[nH]c3ccccc3c21,337.3,74.8,3.91,2,3,0,5.0
FUS,CHEMBL4581567,-7.3,CN1CCCc2c1nc(N1CCC3(CC1)C(=O)N(CC1COC1)c1cc(F)cc(F)c13)[nH]c2=O,471.5,81.8,1.96,1,6,3,4.0
FUS,CHEMBL4530658,-7.2,Nc1ncnc2c3c(n(-c4ccc(NC(=O)[C@@H](N)Cc5ccccc5)cc4)c12)CCC3,412.5,111.8,3.0,3,5,5,4.0
FUS,CHEMBL4543357,-7.2,O=C(/C=C/c1ccc2c(c1)OCO2)N1CCN(CCN2C(=O)c3cccc4cccc(c34)C2=O)CC1,483.5,79.4,3.02,0,6,5,4.0
FUS,CHEMBL4574605,-7.2,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O[C@@H]2CCCC(F)(F)[C@@H]21,443.4,113.4,3.71,2,6,3,4.0
FUS,CHEMBL4581253,-7.2,CC1(C)C(=O)N2c3ccccc3[C@@]3(C[C@H](n4cnc5ccccc5c4=O)C(=O)O3)[C@@H]2N1O,432.4,105.0,1.94,1,7,1,4.0
FUS,CHEMBL4581905,-7.2,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc4c(c3)OC(F)(F)O4)c2c1,394.3,110.0,2.37,1,6,1,4.0
FUS,CHEMBL4637973,-7.2,N#Cc1ccc(-n2ccc3cc(C(=O)N4CC(N5CCN(C(=O)c6ccccc6)CC5)C4)ccc32)cc1,489.6,72.6,3.78,0,4,4,4.0
