ligand,target,affinity,smiles,pose_pdbqt,papel,quimia
ACT_isoproterenol,SOD1,-4.636,CC(C)NC[C@@H](c1ccc(c(c1)O)O)O,/home/ubuntu/mmgbsa/estratos/poses/ACT_isoproterenol_out.pdbqt,positivo,catecolamina
ACT_adrenalina,SOD1,-4.555,CNC[C@@H](c1ccc(c(c1)O)O)O,/home/ubuntu/mmgbsa/estratos/poses/ACT_adrenalina_out.pdbqt,positivo,catecolamina
ACT_dopamina,SOD1,-4.553,c1cc(c(cc1CCN)O)O,/home/ubuntu/mmgbsa/estratos/poses/ACT_dopamina_out.pdbqt,positivo,catecolamina
ACT_5-fluorouridina,SOD1,-4.850,C1=C(C(=O)NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)F,/home/ubuntu/mmgbsa/estratos/poses/ACT_5-fluorouridina_out.pdbqt,positivo,nucleosido
ACT_quinazolina_12I,SOD1,-4.961,CN1CCN(CC1)c2c3ccccc3ncn2,/home/ubuntu/mmgbsa/estratos/poses/ACT_quinazolina_12I_out.pdbqt,positivo,quinazolina
ACT_diazepanoquinazolina_4MQ,SOD1,-4.812,CN1CCCN(CC1)c2c3ccccc3ncn2,/home/ubuntu/mmgbsa/estratos/poses/ACT_diazepanoquinazolina_4MQ_out.pdbqt,positivo,quinazolina
ACT_cf3quinazolina_ZO0,SOD1,-5.533,CN1CCCN(CC1)c2c3ccccc3nc(n2)C(F)(F)F,/home/ubuntu/mmgbsa/estratos/poses/ACT_cf3quinazolina_ZO0_out.pdbqt,positivo,quinazolina-CF3
ACT_anilina_ZZT,SOD1,-4.279,Cc1ccc(c(c1)N)OC,/home/ubuntu/mmgbsa/estratos/poses/ACT_anilina_ZZT_out.pdbqt,positivo,anilina
ACT_paliperidona_K4I,SOD1,-6.727,CC1=C(C(=O)N2CCC[C@H](C2=N1)O)CCN3CCC(CC3)c4c5ccc(cc5on4)F,/home/ubuntu/mmgbsa/estratos/poses/ACT_paliperidona_K4I_out.pdbqt,positivo,benzisoxazol-piperidina
ACT_Lig9_6B3,SOD1,-6.334,c1ccc2c(c1)-c3ccc(cc3NC2=O)NC(=O)c4ccccc4c5ccccc5C(=O)O,/home/ubuntu/mmgbsa/estratos/poses/ACT_Lig9_6B3_out.pdbqt,positivo,fenantridinona
ACT_naftalenoaminoalcohol_946,SOD1,-6.846,c1ccc2cc(ccc2c1)CNC[C@@H](c3ccc(c(c3)O)O)O,/home/ubuntu/mmgbsa/estratos/poses/ACT_naftalenoaminoalcohol_946_out.pdbqt,positivo,aminoalcohol naftenico
DECH_CHEMBL1201317,SOD1,-3.791,O=P(O)(O)OCC(Cl)(Cl)Cl,/home/ubuntu/mmgbsa/estratos/poses/DECH_CHEMBL1201317_out.pdbqt,fondo,emparejado con anilina_ZZT (10 atomos)
