ligand,target,affinity,mmgbsa_dG,e_complex,e_receptor,e_ligand,error,papel,quimia
ACT_isoproterenol,SOD1,-4.636,-4.95,-718.34,-707.87,-5.53,,positivo,catecolamina
ACT_adrenalina,SOD1,-4.555,-10.65,-831.74,-827.12,6.04,,positivo,catecolamina
ACT_dopamina,SOD1,-4.553,-11.38,-911.66,-885.33,-14.95,,positivo,catecolamina
ACT_5-fluorouridina,SOD1,-4.850,-12.68,-774.05,-678.0,-83.38,,positivo,nucleosido
ACT_quinazolina_12I,SOD1,-4.961,-16.3,-812.44,-726.08,-70.06,,positivo,quinazolina
ACT_diazepanoquinazolina_4MQ,SOD1,-4.812,-9.88,-827.05,-720.31,-96.85,,positivo,quinazolina
ACT_cf3quinazolina_ZO0,SOD1,-5.533,-25.29,-305.34,-270.31,-9.74,,positivo,quinazolina-CF3
ACT_anilina_ZZT,SOD1,-4.279,-17.56,-837.75,-806.89,-13.3,,positivo,anilina
ACT_paliperidona_K4I,SOD1,-6.727,-28.44,-810.58,-758.7,-23.44,,positivo,benzisoxazol-piperidina
ACT_Lig9_6B3,SOD1,-6.334,-15.52,-889.72,-772.16,-102.04,,positivo,fenantridinona
ACT_naftalenoaminoalcohol_946,SOD1,-6.846,-23.63,-1102.09,-1081.68,3.21,,positivo,aminoalcohol naftenico
DECH_CHEMBL1201317,SOD1,-3.791,-9.58,-895.31,-687.43,-198.29,,fondo,emparejado con anilina_ZZT (10 atomos)
DECM_CHEMBL978,SOD1,-3.516,-14.3,-747.1,-742.0,9.19,,fondo,emparejado con dopamina (11 atomos)
DECM_CHEMBL108545,SOD1,-4.551,-10.6,-908.43,-862.83,-34.99,,fondo,emparejado con dopamina (11 atomos)
DECM_CHEMBL877,SOD1,-4.241,-6.22,-748.19,-721.18,-20.79,,fondo,emparejado con dopamina (11 atomos)
DECH_CHEMBL871,SOD1,-3.884,-12.21,-1015.37,-685.99,-317.17,,fondo,emparejado con dopamina (11 atomos)
DECM_CHEMBL39736,SOD1,-4.370,-17.95,-889.02,-494.41,-376.66,,fondo,emparejado con dopamina (11 atomos)
DECM_CHEMBL1546,SOD1,-4.491,-12.23,-754.03,-713.18,-28.61,,fondo,emparejado con dopamina (11 atomos)
DECM_CHEMBL61006,SOD1,-4.560,-8.09,-609.82,-616.97,15.23,,fondo,emparejado con anilina_ZZT (10 atomos)
DECM_CHEMBL704,SOD1,-4.600,11.73,208146.36,208186.77,-52.14,,fondo,emparejado con anilina_ZZT (10 atomos)
DECM_CHEMBL1201293,SOD1,-4.061,-7.95,-997.79,-856.35,-133.5,,fondo,emparejado con anilina_ZZT (10 atomos)
DECM_CHEMBL112,SOD1,-4.403,-13.97,-843.29,-764.25,-65.08,,fondo,emparejado con anilina_ZZT (10 atomos)
DECM_CHEMBL1100,SOD1,-4.048,-8.01,-721.07,-689.93,-23.13,,fondo,emparejado con anilina_ZZT (10 atomos)
DECM_CHEMBL92401,SOD1,-4.648,2.82,20819.97,20798.35,18.8,,fondo,emparejado con adrenalina (13 atomos)
DECM_CHEMBL25,SOD1,-4.619,-15.41,-898.46,-811.11,-71.94,,fondo,emparejado con adrenalina (13 atomos)
