ligand,target,vina_affinity,mmgbsa_dG,source,smiles
CHEMBL1795884,TDP43,-8.4,-47.55,rescoring_tdp43_mmgbsa.csv,Cc1cc(-n2c(=O)ccc3cnc4ccc(-c5cnc6ccccc6c5)cc4c32)ccc1-c1ccc(C(=O)NC2CCN(C)CC2)cc1
CHEMBL4564119,TDP43,-8.2,-44.63,rescoring_tdp43_mmgbsa.csv,COc1cc(/C=C/C2=NN(c3nc(/N=C4\CC[C@H]5[C@@H]6CC[C@H]7C[C@@H](OC(C)=O)CC[C@]7(C)[C@H]6CC[C@]45C)cc(=O)[nH]3)C(/C=C/c3ccc(O)c(OC)c3)C2)ccc1O
CHEMBL4584797,TDP43,-8.2,-40.55,rescoring_tdp43_mmgbsa.csv,Cc1c(C(c2ccc(-c3nnc(-c4cn(C)c5ccccc45)o3)cc2)c2c(C)n(C)c3ccccc23)c2ccccc2n1C
CHEMBL1795724,TDP43,-9.2,-39.21,rescoring_tdp43_mmgbsa.csv,O=C1Nc2ccccc2C1(c1cn(C/C=C/c2ccccc2)c2ccccc12)c1cn(C/C=C/c2ccccc2)c2ccccc12
CHEMBL4565181,TDP43,-8.3,-38.18,rescoring_tdp43_mmgbsa.csv,Cc1ccc(C(=O)Nc2cc(CN3CCN(C4CCCC4)CC3)cc(C(F)(F)F)c2)cc1-c1ccc2cn[nH]c2c1
CHEMBL4559959,TDP43,-8.5,-37.91,rescoring_tdp43_mmgbsa.csv,CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1-c1cccc(-c2cnc3ccnn3c2)c1
CHEMBL1206364,TDP43,-8.8,-36.99,rescoring_tdp43_mmgbsa.csv,O=C(Nc1cccc2cc(S(=O)(=O)O)ccc12)c1cc(C(=O)Nc2cccc3cc(S(=O)(=O)O)ccc23)cc(C(=O)Nc2cccc3cc(S(=O)(=O)O)ccc23)c1
CHEMBL4574530,TDP43,-8.4,-36.18,rescoring_tdp43_mmgbsa.csv,Cn1cc(C(c2ccc(-c3nnc(-c4c[nH]c5ccccc45)o3)cc2)c2cn(C)c3ccccc23)c2ccccc21
CHEMBL4564310,TDP43,-8.4,-35.19,rescoring_tdp43_mmgbsa.csv,O=C1Nc2ccccc2C1(c1cn(Cc2cccc(F)c2)c2ccccc12)c1cn(Cc2cccc(F)c2)c2ccccc12
CHEMBL1208438,TDP43,-8.4,-35.02,rescoring_tdp43_mmgbsa.csv,Nc1c(S(=O)(=O)O)cc(Nc2cc3ccccc3c3ccccc23)c2c1C(=O)c1ccccc1C2=O
CHEMBL14666,TDP43,-8.8,-34.83,rescoring_tdp43_mmgbsa.csv,CC(=O)N[C@H](C)C#Cc1ccc2c(c1)C(=O)CC1(CCN(C(=O)c3cc(-c4ccccc4)nc(-c4ccccc4)c3)CC1)O2
CHEMBL1795877,TDP43,-8.4,-34.64,rescoring_tdp43_mmgbsa.csv,O=c1ccc2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccc(-c2ccc(COC3CCCCO3)cc2)c(C(F)(F)F)c1
CHEMBL501933,TDP43,-9.3,-34.37,rescoring_tdp43_mmgbsa.csv,C/C=C1/CN2CC[C@]34c5ccccc5N5C(=O)C([C@H]6C[C@]78c9ccccc9N9C(=O)C=C[C@@H]([C@H]97)[C@H]7C[C@@H]8N6C/C7=C/C)=C[C@H]([C@H]53)[C@H]1C[C@H]24
CHEMBL530000,TDP43,-8.7,-34.11,rescoring_tdp43_mmgbsa.csv,CC(=O)Nc1cccc(C(=O)Nc2cccc(-c3cccc(-c4nc5cc(F)ccc5[nH]4)c3)c2)c1
CHEMBL1796873,TDP43,-8.3,-34.0,rescoring_tdp43_mmgbsa.csv,CC1(C)CC[C@]2(C(=O)OCc3ccccc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)c6ccc(N)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
CHEMBL4573464,TDP43,-8.3,-33.74,rescoring_tdp43_mmgbsa.csv,CN1C(=O)CCC(N2Cc3c(CCCCCNC(=O)[C@@H]4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C1=O
CHEMBL3311449,SOD1,-8.1,-33.42,rescoring_mmgbsa_v5.csv,O=C(Nc1cccc(Nc2nc(-c3ccccc3)c3cc[nH]c3n2)c1)N1CCCC1
CHEMBL20178,TDP43,-8.3,-33.4,rescoring_tdp43_mmgbsa.csv,Cc1nnc2n1-c1sc(C#CCn3c(=O)c4ccccc4c4ccccc43)cc1C(c1ccccc1Cl)=NC2C
CHEMBL4531986,TDP43,-8.2,-33.15,rescoring_tdp43_mmgbsa.csv,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)/C=C/c5ccc(Cl)cc5)CC4)CC[C@]3(C)CC[C@]12C
CHEMBL3311449,TDP43,-6.6,-32.23,rescoring_mmgbsa_v5.csv,O=C(Nc1cccc(Nc2nc(-c3ccccc3)c3cc[nH]c3n2)c1)N1CCCC1
CHEMBL9532,FUS,-7.4,-32.22,rescoring_mmgbsa.csv,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc3ccccc23)c1
CHEMBL8905,TDP43,-6.4,-31.91,rescoring_mmgbsa_v5.csv,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2ccccc2)c1
CHEMBL1210592,TDP43,-8.4,-31.74,rescoring_tdp43_mmgbsa.csv,Cc1nc2ccccc2c2ccc(NC(=O)NCCNC(=O)Nc3ccc4c(c3)c(C)nc3ccccc34)cc12
CHEMBL525510,TDP43,-8.5,-31.58,rescoring_tdp43_mmgbsa.csv,c1ccc2c(Nc3ccc(Cc4ccc(Nc5c6ccccc6nc6ccccc56)cc4)cc3)c3ccccc3nc2c1
CHEMBL563712,TDP43,-8.5,-31.55,rescoring_tdp43_mmgbsa.csv,O=C(Nc1cccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)c1)Nc1ccccc1Oc1ccccc1
CHEMBL9010,TDP43,-6.5,-30.62,rescoring_mmgbsa_v5.csv,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2ccc(Cl)cc2)c1
CHEMBL4529557,TDP43,-8.6,-30.47,rescoring_tdp43_mmgbsa.csv,Cc1nnc2n1Cc1sc(C#Cc3cnn(-c4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)c3)c(Cc3ccccc3)c1OC2
CHEMBL503683,TDP43,-8.7,-30.04,rescoring_tdp43_mmgbsa.csv,Cc1ccc(NC(=S)N2N=C(c3ccccc3)CC2c2ccc(C3CC(c4ccccc4)=NN3C(=S)Nc3ccc(C)cc3)cc2)cc1
CHEMBL1207821,TDP43,-8.6,-29.87,rescoring_tdp43_mmgbsa.csv,O=C(Nc1ccc2ccc(C(=O)Nc3cccc(S(=O)(=O)O)c3)cc2c1)Nc1ccc2ccc(C(=O)Nc3cccc(S(=O)(=O)O)c3)cc2c1
CHEMBL4533894,TDP43,-8.2,-29.75,rescoring_tdp43_mmgbsa.csv,Oc1cccc(-c2cc(-c3cccc(C(F)(F)F)c3)nc3c2Cc2c(O)cccc2-3)c1
CHEMBL514090,TDP43,-8.4,-29.62,rescoring_tdp43_mmgbsa.csv,Cc1cc(C)c2nc(-c3ccccn3)cc(C(=O)Nc3ccc4ccccc4c3)c2c1
CHEMBL4569396,TDP43,-8.3,-29.39,rescoring_tdp43_mmgbsa.csv,O=C(Nc1ccc(F)c(-c2nc3ncc(-c4ccc(F)c(F)c4)cc3[nH]2)c1)N1CCCC1
CHEMBL4634995,TDP43,-8.2,-29.37,rescoring_tdp43_mmgbsa.csv,O=c1[nH]cc(C#Cc2ccc3c4cccc5cccc(c6cccc2c63)c54)c(=O)[nH]1
CHEMBL499622,TDP43,-8.3,-28.66,rescoring_tdp43_mmgbsa.csv,CN(C)c1ccc(-c2cc(-c3ccc4c(c3)Cc3ccccc3-4)ccc2C=O)cc1
CHEMBL511047,TDP43,-8.4,-28.25,rescoring_tdp43_mmgbsa.csv,C=C(c1ccc(Oc2cccc(C(=C)C3COC4(OO3)C3CC5CC(C3)CC4C5)c2)cc1)C1COC2(OO1)C1CC3CC(C1)CC2C3
CHEMBL4568446,TDP43,-8.2,-28.22,rescoring_tdp43_mmgbsa.csv,CC1(C)CC[C@@]23CC[C@]4(C)[C@](OC2=O)([C@H](F)C[C@@H]2[C@@]5(C)C/C(=C\c6ccc(Br)cc6F)C(=O)C(C)(C)[C@@H]5CC[C@]24C)[C@@H]3C1
CHEMBL13317,TDP43,-8.2,-27.98,rescoring_tdp43_mmgbsa.csv,O=C(NCc1cccc2ccccc12)Nc1cccc(NC(=O)NCc2cccc3ccccc23)c1
CHEMBL4581197,TDP43,-8.5,-27.93,rescoring_tdp43_mmgbsa.csv,ClC1=C(Cn2cc(-c3cc4ccccc4c4ccccc34)nn2)CCc2nc(-c3cccs3)ccc21
CHEMBL4584678,TDP43,-8.2,-27.73,rescoring_tdp43_mmgbsa.csv,COc1ccc(/C=C2\C[C@]3(C)[C@H]4C[C@@H](F)[C@]56OC(=O)[C@@]7(CCC(C)(C)C[C@H]75)CC[C@@]6(C)[C@]4(C)CC[C@H]3C(C)(C)C2=O)c(OC)c1
CHEMBL1210578,FUS,-6.8,-27.54,rescoring_mmgbsa.csv,O=C(Cn1nc(C2CCC(F)(F)CC2)c2cnccc2c1=O)NC1Cc2ccccc2C1
CHEMBL4635375,TDP43,-9.7,-27.51,rescoring_tdp43_mmgbsa.csv,O=C1/C(=C/c2ccc(F)cc2)CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)C/C1=C\c1ccc(F)cc1
CHEMBL1209725,TDP43,-9.4,-27.28,rescoring_tdp43_mmgbsa.csv,CC1=C(C(c2cccc(Cl)c2)c2oc3c(c2C)C(=O)C(=O)c2c-3ccc3c2CCCC3(C)C)OC2c3ccc4c(c3C(=O)C(=O)C12)CCCC4(C)C
CHEMBL510906,TDP43,-8.7,-27.18,rescoring_tdp43_mmgbsa.csv,CN1C/C(=C\c2cccc3ccccc23)C(=O)[C@]2(C1)[C@@H](c1cccc3ccccc13)[C@H](c1ccccc1)N[C@@]21C(=O)Nc2ccccc21
CHEMBL7360,SOD1,-7.3,-27.04,rescoring_mmgbsa_v5.csv,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2ccc3c(Cl)cccc3c2)c1
CHEMBL4637015,TDP43,-8.9,-26.99,rescoring_tdp43_mmgbsa.csv,O=C1/C(=C/c2cccc(F)c2)CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)C/C1=C\c1cccc(F)c1
CHEMBL601104,TDP43,-7.1,-26.68,rescoring_mmgbsa_v5.csv,Cc1ccc(Nc2cc(C)nc(N3CCN(C(=O)Nc4cccc(Cl)c4)CC3)n2)cc1
CHEMBL562383,TDP43,-9.2,-26.65,rescoring_tdp43_mmgbsa.csv,O=C(O)CCN1CCc2c(c3ccccc3n2Cc2cccc(C#Cc3ccc4ccc(Cl)cc4n3)c2)C1
CHEMBL564972,TDP43,-8.5,-26.62,rescoring_tdp43_mmgbsa.csv,O=C1COc2ccc(-c3cc(-c4ccccc4)cc(-c4ccc5oc(=O)[nH]c5c4)n3)cc2N1
CHEMBL555948,TDP43,-8.7,-26.45,rescoring_tdp43_mmgbsa.csv,CN1CCN(C(=O)c2cccc(-c3cnc4[nH]cc(-c5cccc(NC(=O)Nc6ccc(C(F)(F)F)cc6F)c5)c4c3)c2)CC1
CHEMBL554351,TDP43,-8.6,-26.3,rescoring_tdp43_mmgbsa.csv,CN(C)C(=O)c1cccc(-c2cnc3[nH]cc(-c4cccc(NC(=O)Nc5ccccc5-c5ccccc5)c4)c3c2)c1
CHEMBL4636065,TDP43,-8.3,-26.13,rescoring_tdp43_mmgbsa.csv,O=C(Nc1ccc(C(F)(F)F)cc1)c1cc(-c2cc3ccccc3o2)nc2ccccc12
CHEMBL560522,TDP43,-8.8,-25.96,rescoring_tdp43_mmgbsa.csv,Clc1ccc2ccc(/C=C/c3cccc(Cn4c5c(c6ccccc64)CCN(CCc4nnn[nH]4)C5)c3)nc2c1
CHEMBL8905,SOD1,-7.2,-25.81,rescoring_mmgbsa_v5.csv,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2ccccc2)c1
CHEMBL515665,TDP43,-8.3,-25.05,rescoring_tdp43_mmgbsa.csv,Clc1ccc(-c2[nH]c3ccccc3c2-c2coc(/N=C/c3c(-c4ccccc4)[nH]c4ccccc34)n2)cc1
CHEMBL15983,TDP43,-8.2,-24.48,rescoring_tdp43_mmgbsa.csv,CC(NC(=O)C(=O)N/N=C1\C[C@@H](c2ccccc2F)Nc2cc3c(cc21)OCO3)c1ccccc1
CHEMBL1209719,TDP43,-9.3,-24.44,rescoring_tdp43_mmgbsa.csv,Cc1c(C(c2ccc(Cl)cc2)c2oc3c(c2C)C(=O)C(=O)c2c-3ccc3c2CCCC3(C)C)oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C
CHEMBL520274,TDP43,-8.6,-24.3,rescoring_tdp43_mmgbsa.csv,CN1C[C@@H](c2ccc(Br)cc2)[C@@]2(CCc3c([nH]c4ccccc34)C2=O)[C@]12C(=O)c1cccc3cccc2c13
CHEMBL556991,TDP43,-8.8,-23.86,rescoring_tdp43_mmgbsa.csv,c1cc(-c2nc3ccccc3c3nc4ccccc4n23)cc(-c2nc3ccccc3c3nc4ccccc4n23)c1
CHEMBL4638443,TDP43,-8.4,-23.76,rescoring_tdp43_mmgbsa.csv,CCN(c1cc(/C=C/c2ccc(CN3C[C@@H](C)O[C@@H](C)C3)c(F)c2)cc(C(=O)NCc2c(C)c3c([nH]c2=O)CCCC3)c1C)C1CCOCC1
CHEMBL3310304,SOD1,-7.3,-23.75,rescoring_mmgbsa_v5.csv,Cc1nc2ccccn2c1C(=O)NNC(=O)c1ccc(Oc2ccccc2)cc1
CHEMBL7305,TDP43,-6.5,-23.61,rescoring_mmgbsa_v5.csv,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)(C)[C@H](C)C3=O
CHEMBL4531482,TDP43,-9.1,-23.54,rescoring_tdp43_mmgbsa.csv,Cc1cc2ncn([C@@H]3CC[C@@]4(C)C(=CC[C@H]5[C@@H]6C[C@@H]7O[C@]8(CC[C@@H](C)CO8)[C@@H](C)[C@@H]7[C@@]6(C)CC[C@@H]54)C3)c2cc1C
CHEMBL4532391,TDP43,-8.2,-23.48,rescoring_tdp43_mmgbsa.csv,O=C(Nc1sc2c(c1-c1nc3ccccc3[nH]1)CCCC2)c1nc(-c2ccccc2)n(-c2ccccc2)n1
CHEMBL524656,TDP43,-9.2,-23.33,rescoring_tdp43_mmgbsa.csv,C/C=C1/CN2[C@@H](C3=C[C@@H]4[C@@H]5N(C3=O)c3ccccc3[C@@]53CCN5C/C(=C/C)[C@@H]4C[C@H]53)C[C@@]34c5ccccc5N5C(=O)CC=C([C@H]1C[C@H]23)[C@H]54
CHEMBL521617,TDP43,-8.4,-23.27,rescoring_tdp43_mmgbsa.csv,O=C(NC1=C(c2ccc3oc4ccccc4c3c2)C(=O)c2ccccc2C1=O)c1ccccc1
CHEMBL4573564,TDP43,-8.4,-23.25,rescoring_tdp43_mmgbsa.csv,Cc1cc(O)c(=O)c(O)cc1-c1cccc(-c2ccc3ccccc3c2)c1
CHEMBL7270,TDP43,-6.4,-23.14,rescoring_mmgbsa_v5.csv,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)C(C)(C)C3=O
CHEMBL516696,TDP43,-8.3,-22.82,rescoring_tdp43_mmgbsa.csv,Cc1cc(C)c2nc(-c3cccnc3)cc(C(=O)Nc3ccc4ccccc4c3)c2c1
CHEMBL503615,TDP43,-8.4,-22.72,rescoring_tdp43_mmgbsa.csv,O=C1N[C@@H]2c3ccccc3C[C@@H]2OC(=O)c2cccc(n2)C(=O)O[C@H]2Cc3ccccc3[C@H]2NC(=O)c2cccc1n2
CHEMBL4530588,TDP43,-8.2,-22.56,rescoring_tdp43_mmgbsa.csv,O=C(Cn1nc2c3cc(-c4ccc(F)cc4)nn3ccn2c1=O)N1CCN(c2ccccc2F)CC1
CHEMBL500915,TDP43,-8.6,-22.54,rescoring_tdp43_mmgbsa.csv,CC1(c2ccc3c(c2)Cc2ccccc2-3)CC(c2ccc3c(c2)Cc2ccccc2-3)=CC=C1C=O
CHEMBL7256,TDP43,-6.4,-22.52,rescoring_mmgbsa_v5.csv,COc1c(C)cc(C(=O)N2CCN(c3ncccc3NC(C)C)CC2)cc1C
CHEMBL1761221,TDP43,-6.6,-22.39,rescoring_mmgbsa_v5.csv,CCCCN1C(=O)c2cccc3c(-n4cc(-c5ccccc5)nn4)ccc(c23)C1=O
CHEMBL503260,TDP43,-8.4,-22.34,rescoring_tdp43_mmgbsa.csv,O=C1O[C@H]2Cc3ccccc3[C@H]2NC(=O)c2cccc(n2)C(=O)N[C@@H]2c3ccccc3C[C@@H]2OC(=O)c2cccc1c2
CHEMBL7563,FUS,-6.4,-22.28,rescoring_mmgbsa_v5.csv,COc1ccc(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)ccc1=O
CHEMBL1795870,TDP43,-8.7,-22.08,rescoring_tdp43_mmgbsa.csv,C=CC(=O)N1C/C(=C\c2ccc3ccccc3c2)C(=O)/C(=C/c2ccc3ccccc3c2)C1
CHEMBL3309822,TDP43,-6.7,-21.46,rescoring_mmgbsa_v5.csv,O=S(=O)(c1ccccc1)N1N=C(C(F)(F)F)CC1c1ccc2ccccc2c1
CHEMBL501498,TDP43,-8.4,-21.38,rescoring_tdp43_mmgbsa.csv,CC1(C)OC2=C(C(=O)C(=O)C3=C2OC(C)(C)[C@H]2COc4ccc5ccccc5c4[C@@H]32)[C@@H]2c3c(ccc4ccccc34)OC[C@@H]21
