prioridad,diana,sitio,compuesto,identificador,smiles,de_donde_sale,que_medir,por_que,que_cambia,bloque_que_alimenta
1,TDP-43,CR del C-terminal (320-340),XL23,LAS51502065,Nc1ncnc2c1ncn2[C@H]1CCC[C@H](NC(=O)Cn2c(C(F)(F)F)nc3ccccc32)[C@@H]1O,"Gao et al. 2026, Nature Aging 6:1667 (Fig. suplementaria 1a)","SPR de union aparente con el mismo protocolo que dio micromolar para XL20, mas CETSA en celulas (engagement de diana). Si el laboratorio tiene el constructo del CR, repetir la dependencia de sitio: sin CR no une, y con Trp334 mutado deberia bajar.","Es el hermano de quimiotipo de XL20 (19 atomos pesados comunes, adenina + aminociclohexanol) y el unico compuesto de esa tabla con actividad funcional (inhibe la agregacion del LCD a 100 uM) sin union medida. Sin este dato la pareja es una cabeza comun con dos colas.",Pasa de 1 a 2 uniones medidas en el CR y convierte la pareja en una relacion estructura-actividad de dos puntos: ahi si se puede montar un control de verdad (¿reproduce el acoplamiento la dependencia del Trp334?).,CR (linea cerrada hoy por falta de un segundo dato)
1,SOD1,"por determinar (Trp32, Cys111 u otro)",LCS-1,CAS 41931-13-9,CC1=CC(=CC=C1)N2C(=O)C(=C(C=N2)Cl)Cl,Wright et al. 2013 / cribado previo del proyecto,"Kd por SPR o ITC contra SOD1 humana, y determinacion del sitio (soaking en cristal o RMN). Las dos cosas: la afinidad sola no dice a que bolsillo, y el sitio es lo que decide si entra en la validacion.","Entra hoy en la verdad de referencia como piridazinona pero SIN union a proteina medida: su evidencia es actividad celular (o, en la pirazolona, ser el representante de una serie congenica colapsada). Es materia prima que ya esta en el congelador de la literatura y no exige sintetizar nada.","Cada uno que se confirme suma un positivo quimicamente independiente al fondo duro de SOD1, que es el bloque que decide (hoy 11 positivos, 0,643, y hacen falta del orden de 22 para cerrar el intervalo).","SOD1, fondo duro (143 quelantes y redox)"
1,SOD1,"por determinar (Trp32, Cys111 u otro)",PRG-A01,,CC1(C(CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)OC(=O)C=CC4=CC(=C(C=C4)O)OC)C,Woo et al. 2021 (PRG-A01),"Kd por SPR o ITC contra SOD1 humana, y determinacion del sitio (soaking en cristal o RMN). Las dos cosas: la afinidad sola no dice a que bolsillo, y el sitio es lo que decide si entra en la validacion.","Entra hoy en la verdad de referencia como cumarina pero SIN union a proteina medida: su evidencia es actividad celular (o, en la pirazolona, ser el representante de una serie congenica colapsada). Es materia prima que ya esta en el congelador de la literatura y no exige sintetizar nada.","Cada uno que se confirme suma un positivo quimicamente independiente al fondo duro de SOD1, que es el bloque que decide (hoy 11 positivos, 0,643, y hacen falta del orden de 22 para cerrar el intervalo).","SOD1, fondo duro (143 quelantes y redox)"
1,SOD1,"por determinar (Trp32, Cys111 u otro)",CHEMBL2165613,,O=c1cc(COc2cccc(-c3ccccc3)c2)[nH][nH]1,serie ChEMBL2165601-2165614 / 1643541-57,"Kd por SPR o ITC contra SOD1 humana, y determinacion del sitio (soaking en cristal o RMN). Las dos cosas: la afinidad sola no dice a que bolsillo, y el sitio es lo que decide si entra en la validacion.","Entra hoy en la verdad de referencia como pirazolona (representante de la serie de 18) pero SIN union a proteina medida: su evidencia es actividad celular (o, en la pirazolona, ser el representante de una serie congenica colapsada). Es materia prima que ya esta en el congelador de la literatura y no exige sintetizar nada.","Cada uno que se confirme suma un positivo quimicamente independiente al fondo duro de SOD1, que es el bloque que decide (hoy 11 positivos, 0,643, y hacen falta del orden de 22 para cerrar el intervalo).","SOD1, fondo duro (143 quelantes y redox)"
1,SOD1,Trp32 (caja del proyecto),clozapina,CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,"candidatos_total_cns.csv (-7.5 kcal/mol, aprobado, CNS-MPO 4.77)","SPR contra SOD1 humana en la caja de Trp32 (una concentracion de cribado y, si hay señal, Kd completa).","Es un farmaco aprobado, quimicamente independiente de todo lo que hay en la verdad de referencia (dibenzodiazepina frente a catecolaminas, quinazolinas y nucleosidos) y el propio cribado lo puso a -7,5 kcal/mol con CNS-MPO 4,77.","Si une, es a la vez un positivo nuevo para el bloque y un candidato de reposicionamiento con dato medido; si no une, el cribado pierde ese candidato y queda dicho.","SOD1, fondo duro / candidatos"
2,SOD1,Trp32 (caja del proyecto),CHEMBL3311449,CHEMBL3311449,O=C(Nc1cccc(Nc2nc(-c3ccccc3)c3cc[nH]c3n2)c1)N1CCCC1,candidatos_filtrados.csv / _candidatos_v4.csv (mejor MM-GBSA),SPR de cribado (una concentracion) y Kd si hay señal.,Es de los mejor puntuados por el embudo (-8.1 kcal/mol por Vina) y no se parece a ningun control.,"Cada uno que una es un positivo nuevo; cada uno que no una es un error del ranking que se apunta. En los dos casos el numero mejora, porque hoy solo hay 11 positivos y son casi todos del mismo par de campanas cristalograficas.","SOD1, fondo duro / candidatos"
2,SOD1,Trp32 (caja del proyecto),CHEMBL4553700,CHEMBL4553700,N=C1N/C(=N\Nc2nc(-c3ccc(Cl)cc3)cs2)c2ccccc21,candidatos_filtrados.csv / _candidatos_v4.csv,SPR de cribado (una concentracion) y Kd si hay señal.,Es de los mejor puntuados por el embudo (-7.5 kcal/mol por Vina) y no se parece a ningun control.,"Cada uno que una es un positivo nuevo; cada uno que no una es un error del ranking que se apunta. En los dos casos el numero mejora, porque hoy solo hay 11 positivos y son casi todos del mismo par de campanas cristalograficas.","SOD1, fondo duro / candidatos"
2,SOD1,Trp32 (caja del proyecto),CHEMBL584356,CHEMBL584356,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2cccc(C)c2)C1,candidatos_filtrados.csv / _candidatos_v4.csv,SPR de cribado (una concentracion) y Kd si hay señal.,Es de los mejor puntuados por el embudo (-7.5 kcal/mol por Vina) y no se parece a ningun control.,"Cada uno que una es un positivo nuevo; cada uno que no una es un error del ranking que se apunta. En los dos casos el numero mejora, porque hoy solo hay 11 positivos y son casi todos del mismo par de campanas cristalograficas.","SOD1, fondo duro / candidatos"
2,SOD1,Trp32 (caja del proyecto),CHEMBL8550,CHEMBL8550,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C1CC1)OCO3,candidatos_filtrados.csv / _candidatos_v4.csv,SPR de cribado (una concentracion) y Kd si hay señal.,Es de los mejor puntuados por el embudo (-7.5 kcal/mol por Vina) y no se parece a ningun control.,"Cada uno que una es un positivo nuevo; cada uno que no una es un error del ranking que se apunta. En los dos casos el numero mejora, porque hoy solo hay 11 positivos y son casi todos del mismo par de campanas cristalograficas.","SOD1, fondo duro / candidatos"
2,TDP-43,RRM1 (caja del proyecto),CHEMBL1362588,CHEMBL1362588,CC1=CC(C)(C)Nc2ccc(OC(=O)C(C)N3C(=O)c4ccccc4C3=O)cc21,candidatos_filtrados.csv (-7.3 kcal/mol),"SPR o RMN de 15N-HSQC con RRM1-RRM2, que ademas localiza el sitio por el desplazamiento quimico (CSP).","Los 7 positivos que sostienen el bloque de TDP-43 no son del mismo sitio: rTRD01 es RRM1, nTRD22 es del NTD, tres fragmentos son RRM2 y PE859 y berberrubina son de la interfaz RRM1-RRM2. Un positivo de RRM1 mas vale aqui mas que tres de otros sitios.","Es el bloque que ya PASA (AUC/atomo 0,73 contra el fondo duro): con 3-6 positivos mas y del mismo sitio se cierra tambien el intervalo contra los señuelos emparejados, que es lo unico que le falta.","TDP-43, señuelos emparejados (10-13 en total)"
2,TDP-43,RRM1 (caja del proyecto),CHEMBL27093,CHEMBL27093,O=C1NCN(c2ccccc2)C12CCN(C1CCc3cc(Cl)ccc3C1)CC2,candidatos_filtrados.csv (-7.3 kcal/mol),"SPR o RMN de 15N-HSQC con RRM1-RRM2, que ademas localiza el sitio por el desplazamiento quimico (CSP).","Los 7 positivos que sostienen el bloque de TDP-43 no son del mismo sitio: rTRD01 es RRM1, nTRD22 es del NTD, tres fragmentos son RRM2 y PE859 y berberrubina son de la interfaz RRM1-RRM2. Un positivo de RRM1 mas vale aqui mas que tres de otros sitios.","Es el bloque que ya PASA (AUC/atomo 0,73 contra el fondo duro): con 3-6 positivos mas y del mismo sitio se cierra tambien el intervalo contra los señuelos emparejados, que es lo unico que le falta.","TDP-43, señuelos emparejados (10-13 en total)"
2,TDP-43,RRM1 (caja del proyecto),CHEMBL19347,CHEMBL19347,O=c1n(CCN2CCC(Cc3c[nH]c4ccc(F)cc34)CC2)c2cccc3c2n1CCC3,candidatos_filtrados.csv (-7.2 kcal/mol),"SPR o RMN de 15N-HSQC con RRM1-RRM2, que ademas localiza el sitio por el desplazamiento quimico (CSP).","Los 7 positivos que sostienen el bloque de TDP-43 no son del mismo sitio: rTRD01 es RRM1, nTRD22 es del NTD, tres fragmentos son RRM2 y PE859 y berberrubina son de la interfaz RRM1-RRM2. Un positivo de RRM1 mas vale aqui mas que tres de otros sitios.","Es el bloque que ya PASA (AUC/atomo 0,73 contra el fondo duro): con 3-6 positivos mas y del mismo sitio se cierra tambien el intervalo contra los señuelos emparejados, que es lo unico que le falta.","TDP-43, señuelos emparejados (10-13 en total)"
2,TDP-43,RRM1 (caja del proyecto),CHEMBL23927,CHEMBL23927,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1ccccc1Cl)c1ccccc1,candidatos_filtrados.csv (-7.2 kcal/mol),"SPR o RMN de 15N-HSQC con RRM1-RRM2, que ademas localiza el sitio por el desplazamiento quimico (CSP).","Los 7 positivos que sostienen el bloque de TDP-43 no son del mismo sitio: rTRD01 es RRM1, nTRD22 es del NTD, tres fragmentos son RRM2 y PE859 y berberrubina son de la interfaz RRM1-RRM2. Un positivo de RRM1 mas vale aqui mas que tres de otros sitios.","Es el bloque que ya PASA (AUC/atomo 0,73 contra el fondo duro): con 3-6 positivos mas y del mismo sitio se cierra tambien el intervalo contra los señuelos emparejados, que es lo unico que le falta.","TDP-43, señuelos emparejados (10-13 en total)"
3,TDP-43,CTD / LLPS (320-340),bis-ANS,,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)C4=C5C=CC=C(C5=C(C=C4)NC6=CC=CC=C6)S(=O)(=O)O)C=CC=C3S(=O)(=O)O,"Babinchak 2020, Nat Commun 11:5574 (funcional, LLPS)",Kd contra el CTD o el CR (fluorescencia o ITC).,"Tienen evidencia funcional de separacion de fases y agregacion y ninguna union medida, pero son sondas promiscuas: bis-ANS se une a casi todo lo que tenga una cara hidrofoba expuesta.","Darian positivos del CTD, no del RRM. Solo valen si algun dia se ataca el CR como diana, y aun asi habria que distinguir union especifica de pegado inespecifico.","CR / CTD (informativo, no cierra ningun bloque)"
