diana,ligando,tipo,smiles,composicion_smiles,composicion_pose
FUS,CHEMBL1200609,pose fragmentada (le falta medio ligando),CS(=O)(=O)O.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,C19 F1 N1 O3,C1 O3 S1
FUS,CHEMBL1201190,pose degenerada (casi vacia),Cl.Cl.O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,C21 Cl1 N2 O3,Cl1
FUS,CHEMBL15632,MOLECULA DISTINTA,C=CC[C@H](NC(=O)[C@@H]1CCc2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1,B1 C30 Cl1 F3 N4 O4,C31 Cl1 F3 N4 O4
FUS,CHEMBL157117,MOLECULA DISTINTA,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)Nc2cccc(B(O)O)c2)C(=O)O)cc1,B1 C26 N9 O6,C27 N9 O6
FUS,CHEMBL4553125,MOLECULA DISTINTA,Cc1cc(=O)oc2cc(Oc3nc(-c4ccc(B(O)O)cc4)cn4c(-c5ccc(B(O)O)cc5)cnc34)ccc12,B2 C28 N3 O7,C30 N3 O7
FUS,CHEMBL559362,pose degenerada (casi vacia),Br.O=C(CC1NCCCC1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,Br1 C16 Cl1 N3 O3,Br1
FUS,CHEMBL6373,pose degenerada (casi vacia),Br.Oc1noc2c1CNCC2,C6 N2 O2,Br1
FUS,CHEMBL6587,pose degenerada (casi vacia),Cl.c1ccc(COc2noc3c2CNCC3)cc1,C13 N2 O2,Cl1
FUS,CHEMBL6774,pose degenerada (casi vacia),Br.CCN(CC)CCCOc1c2occc2cc2ccc(=O)oc12,C18 N1 O4,Br1
SOD1,CHEMBL1200609,pose fragmentada (le falta medio ligando),CS(=O)(=O)O.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,C19 F1 N1 O3,C1 O3 S1
SOD1,CHEMBL1201190,pose degenerada (casi vacia),Cl.Cl.O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,C21 Cl1 N2 O3,Cl1
SOD1,CHEMBL15632,MOLECULA DISTINTA,C=CC[C@H](NC(=O)[C@@H]1CCc2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1,B1 C30 Cl1 F3 N4 O4,C31 Cl1 F3 N4 O4
SOD1,CHEMBL157117,MOLECULA DISTINTA,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)Nc2cccc(B(O)O)c2)C(=O)O)cc1,B1 C26 N9 O6,C27 N9 O6
SOD1,CHEMBL4553125,MOLECULA DISTINTA,Cc1cc(=O)oc2cc(Oc3nc(-c4ccc(B(O)O)cc4)cn4c(-c5ccc(B(O)O)cc5)cnc34)ccc12,B2 C28 N3 O7,C30 N3 O7
SOD1,CHEMBL559362,pose degenerada (casi vacia),Br.O=C(CC1NCCCC1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,Br1 C16 Cl1 N3 O3,Br1
SOD1,CHEMBL6373,pose degenerada (casi vacia),Br.Oc1noc2c1CNCC2,C6 N2 O2,Br1
SOD1,CHEMBL6587,pose degenerada (casi vacia),Cl.c1ccc(COc2noc3c2CNCC3)cc1,C13 N2 O2,Cl1
SOD1,CHEMBL6774,pose degenerada (casi vacia),Br.CCN(CC)CCCOc1c2occc2cc2ccc(=O)oc12,C18 N1 O4,Br1
TDP43,CHEMBL1200609,pose fragmentada (le falta medio ligando),CS(=O)(=O)O.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,C19 F1 N1 O3,C1 O3 S1
TDP43,CHEMBL1201190,pose degenerada (casi vacia),Cl.Cl.O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,C21 Cl1 N2 O3,Cl1
TDP43,CHEMBL15632,MOLECULA DISTINTA,C=CC[C@H](NC(=O)[C@@H]1CCc2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1,B1 C30 Cl1 F3 N4 O4,C31 Cl1 F3 N4 O4
TDP43,CHEMBL157117,MOLECULA DISTINTA,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)Nc2cccc(B(O)O)c2)C(=O)O)cc1,B1 C26 N9 O6,C27 N9 O6
TDP43,CHEMBL4553125,MOLECULA DISTINTA,Cc1cc(=O)oc2cc(Oc3nc(-c4ccc(B(O)O)cc4)cn4c(-c5ccc(B(O)O)cc5)cnc34)ccc12,B2 C28 N3 O7,C30 N3 O7
TDP43,CHEMBL559362,pose degenerada (casi vacia),Br.O=C(CC1NCCCC1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,Br1 C16 Cl1 N3 O3,Br1
TDP43,CHEMBL6373,pose degenerada (casi vacia),Br.Oc1noc2c1CNCC2,C6 N2 O2,Br1
TDP43,CHEMBL6587,pose degenerada (casi vacia),Cl.c1ccc(COc2noc3c2CNCC3)cc1,C13 N2 O2,Cl1
TDP43,CHEMBL6774,pose degenerada (casi vacia),Br.CCN(CC)CCCOc1c2occc2cc2ccc(=O)oc12,C18 N1 O4,Br1
TDP43_v2,CHEMBL1200609,pose fragmentada (le falta medio ligando),CS(=O)(=O)O.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,C19 F1 N1 O3,C1 O3 S1
TDP43_v2,CHEMBL1201190,pose degenerada (casi vacia),Cl.Cl.O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,C21 Cl1 N2 O3,Cl1
TDP43_v2,CHEMBL15632,MOLECULA DISTINTA,C=CC[C@H](NC(=O)[C@@H]1CCc2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1,B1 C30 Cl1 F3 N4 O4,C31 Cl1 F3 N4 O4
TDP43_v2,CHEMBL157117,MOLECULA DISTINTA,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)Nc2cccc(B(O)O)c2)C(=O)O)cc1,B1 C26 N9 O6,C27 N9 O6
TDP43_v2,CHEMBL4553125,MOLECULA DISTINTA,Cc1cc(=O)oc2cc(Oc3nc(-c4ccc(B(O)O)cc4)cn4c(-c5ccc(B(O)O)cc5)cnc34)ccc12,B2 C28 N3 O7,C30 N3 O7
TDP43_v2,CHEMBL559362,pose degenerada (casi vacia),Br.O=C(CC1NCCCC1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,Br1 C16 Cl1 N3 O3,Br1
TDP43_v2,CHEMBL6373,pose degenerada (casi vacia),Br.Oc1noc2c1CNCC2,C6 N2 O2,Br1
TDP43_v2,CHEMBL6587,pose degenerada (casi vacia),Cl.c1ccc(COc2noc3c2CNCC3)cc1,C13 N2 O2,Cl1
TDP43_v2,CHEMBL6774,pose degenerada (casi vacia),Br.CCN(CC)CCCOc1c2occc2cc2ccc(=O)oc12,C18 N1 O4,Br1
TDP43_v2,cepharanthine_limpio,MOLECULA DISTINTA,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,C37 N2 O6,C39 N2 O6
TDP43_v2,cepharanthine,MOLECULA DISTINTA,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,C37 N2 O6,C39 N2 O6
