molecula,nombre,tipo,valor,unidades,pchembl,ensayo,documento,ano,descripcion_ensayo
CHEMBL273030,,IC50,365800.0,nM,,CHEMBL1676902,CHEMBL1671779,2011,Inhibition of human Cu-Zn superoxide dismutase assessed as inhibition of NADPH reduction
CHEMBL272808,,IC50,786900.0,nM,,CHEMBL1676902,CHEMBL1671779,2011,Inhibition of human Cu-Zn superoxide dismutase assessed as inhibition of NADPH reduction
CHEMBL272641,,IC50,67900.0,nM,4.17,CHEMBL1676902,CHEMBL1671779,2011,Inhibition of human Cu-Zn superoxide dismutase assessed as inhibition of NADPH reduction
CHEMBL405899,,IC50,129300.0,nM,,CHEMBL1676902,CHEMBL1671779,2011,Inhibition of human Cu-Zn superoxide dismutase assessed as inhibition of NADPH reduction
CHEMBL1672028,"1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",IC50,96600.0,nM,4.01,CHEMBL1676902,CHEMBL1671779,2011,Inhibition of human Cu-Zn superoxide dismutase assessed as inhibition of NADPH reduction
CHEMBL1672029,,IC50,103300.0,nM,,CHEMBL1676902,CHEMBL1671779,2011,Inhibition of human Cu-Zn superoxide dismutase assessed as inhibition of NADPH reduction
CHEMBL2165614,,EC50,3700.0,nM,5.43,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165613,,EC50,2840.0,nM,5.55,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165612,,EC50,1020.0,nM,5.99,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165611,,EC50,510.0,nM,6.29,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165610,,EC50,1070.0,nM,5.97,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165609,,EC50,580.0,nM,6.24,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL1939222,,EC50,67.0,nM,7.17,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165608,,EC50,870.0,nM,6.06,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165607,,EC50,720.0,nM,6.14,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165606,,EC50,1960.0,nM,5.71,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165605,,EC50,790.0,nM,6.10,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165604,,EC50,1470.0,nM,5.83,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165603,,EC50,1410.0,nM,5.85,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165602,,EC50,4700.0,nM,5.33,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165601,,EC50,2880.0,nM,5.54,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2165600,,EC50,32000.0,nM,,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL1643557,,EC50,170.0,nM,6.77,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL1643556,,EC50,710.0,nM,6.15,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL1643541,,EC50,1930.0,nM,5.71,CHEMBL2166924,CHEMBL2163259,2012,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat PC12 cells incubated for 24 hrs and measured 72 hrs post compound dose by cytotoxicity pr
CHEMBL2179266,,IC50,83120.0,nM,4.08,CHEMBL2183508,CHEMBL2176896,2012,Inhibition of SOD1 in human erythrocytes by spectrophotometry
CHEMBL2179265,,IC50,65980.0,nM,4.18,CHEMBL2183508,CHEMBL2176896,2012,Inhibition of SOD1 in human erythrocytes by spectrophotometry
CHEMBL2179268,,IC50,71460.0,nM,4.15,CHEMBL2183508,CHEMBL2176896,2012,Inhibition of SOD1 in human erythrocytes by spectrophotometry
CHEMBL2179267,,IC50,125320.0,nM,,CHEMBL2183508,CHEMBL2176896,2012,Inhibition of SOD1 in human erythrocytes by spectrophotometry
CHEMBL2335502,,IC50,641000.0,nM,,CHEMBL2344098,CHEMBL2331406,2013,Inhibition of human Cu-Zn SOD by NBT reduction assay
CHEMBL2335501,,IC50,178500.0,nM,,CHEMBL2344098,CHEMBL2331406,2013,Inhibition of human Cu-Zn SOD by NBT reduction assay
CHEMBL2335500,,IC50,408000.0,nM,,CHEMBL2344098,CHEMBL2331406,2013,Inhibition of human Cu-Zn SOD by NBT reduction assay
CHEMBL2335499,,IC50,381100.0,nM,,CHEMBL2344098,CHEMBL2331406,2013,Inhibition of human Cu-Zn SOD by NBT reduction assay
CHEMBL2335502,,IC50,641000.0,nM,,CHEMBL3089951,CHEMBL3085706,2013,Inhibition of human erythrocyte CuZn-SOD assessed as reduction of nitrobluetetrazolium measured for 10 mins by spectrophotometric analysis
CHEMBL2335501,,IC50,178500.0,nM,,CHEMBL3089951,CHEMBL3085706,2013,Inhibition of human erythrocyte CuZn-SOD assessed as reduction of nitrobluetetrazolium measured for 10 mins by spectrophotometric analysis
