target,ligand,afinidad
FUS,CHEMBL4553125,-6.7
FUS,CHEMBL157117,-6.2
FUS,CHEMBL4543460,-6.2
FUS,CHEMBL4543237,-5.8
FUS,CHEMBL4553678,-5.8
FUS,CHEMBL499581,-5.8
FUS,CHEMBL1093296,-5.7
FUS,CHEMBL15632,-5.7
FUS,CHEMBL4434802,-5.7
FUS,CHEMBL11113,-5.6
FUS,CHEMBL4434935,-5.5
FUS,CHEMBL11854,-5.2
FUS,CHEMBL12742,-5.2
FUS,CHEMBL13434,-5.0
FUS,CHEMBL12209,-4.9
FUS,CHEMBL13861,-4.9
FUS,CHEMBL4543432,-4.9
FUS,CHEMBL12490,-4.7
FUS,CHEMBL18302,-4.7
FUS,CHEMBL12292,-4.6
FUS,CHEMBL4116142,-4.6
FUS,CHEMBL19737,-4.5
FUS,CHEMBL11867,-4.4
FUS,CHEMBL16004,-4.4
FUS,CHEMBL18878,-4.4
FUS,CHEMBL18921,-4.4
FUS,CHEMBL18718,-4.3
FUS,CHEMBL19606,-4.3
FUS,CHEMBL12625,-4.2
FUS,CHEMBL19822,-4.0
FUS,CHEMBL15929,-3.8
FUS,CHEMBL18252,-3.5
FUS,CHEMBL18431,-3.4
FUS,CHEMBL18634,-3.4
FUS,CHEMBL18654,-3.4
FUS,CHEMBL18294,-3.3
FUS,CHEMBL18945,-3.3
FUS,CHEMBL18056,-3.2
SOD1,CHEMBL4553125,-7.1
SOD1,CHEMBL15929,-6.3
SOD1,CHEMBL4553678,-6.2
SOD1,CHEMBL15632,-6.1
SOD1,CHEMBL4543460,-6.0
SOD1,CHEMBL9684,-6.0
SOD1,CHEMBL499581,-5.9
SOD1,CHEMBL157117,-5.8
SOD1,CHEMBL4434935,-5.6
SOD1,CHEMBL4543237,-5.6
SOD1,CHEMBL1093296,-5.5
SOD1,CHEMBL4434802,-5.5
SOD1,CHEMBL4543432,-5.5
SOD1,CHEMBL12490,-5.2
SOD1,CHEMBL12625,-5.2
SOD1,CHEMBL9805,-5.2
SOD1,CHEMBL13861,-5.1
SOD1,CHEMBL16004,-5.1
SOD1,CHEMBL19737,-5.1
SOD1,CHEMBL13434,-4.9
SOD1,CHEMBL12209,-4.8
SOD1,CHEMBL18302,-4.7
SOD1,CHEMBL19606,-4.6
SOD1,CHEMBL4116142,-4.6
SOD1,CHEMBL550693,-4.6
SOD1,CHEMBL11113,-4.5
SOD1,CHEMBL11867,-4.5
SOD1,CHEMBL12292,-4.5
SOD1,CHEMBL11854,-4.4
SOD1,CHEMBL12742,-4.4
SOD1,CHEMBL18921,-4.4
SOD1,CHEMBL18718,-4.1
SOD1,CHEMBL18878,-4.0
SOD1,CHEMBL19822,-4.0
SOD1,CHEMBL18252,-3.8
SOD1,CHEMBL18654,-3.6
SOD1,CHEMBL18634,-3.5
SOD1,CHEMBL18945,-3.5
SOD1,CHEMBL18294,-3.3
SOD1,CHEMBL18431,-3.3
SOD1,CHEMBL18056,-3.2
TDP43_v2,CHEMBL15632,-8.8
TDP43_v2,CHEMBL157117,-8.4
TDP43_v2,CHEMBL9684,-8.4
TDP43_v2,CHEMBL4543237,-8.3
TDP43_v2,CHEMBL4553125,-7.8
TDP43_v2,CHEMBL499581,-7.6
TDP43_v2,CHEMBL4553678,-7.5
TDP43_v2,CHEMBL16004,-7.3
TDP43_v2,CHEMBL1093296,-7.2
TDP43_v2,CHEMBL13434,-7.2
TDP43_v2,CHEMBL13861,-7.2
TDP43_v2,CHEMBL15929,-7.2
TDP43_v2,CHEMBL4543460,-7.1
TDP43_v2,CHEMBL12625,-6.8
TDP43_v2,CHEMBL12742,-6.8
TDP43_v2,CHEMBL4116142,-6.8
TDP43_v2,CHEMBL9805,-6.8
TDP43_v2,CHEMBL18302,-6.6
TDP43_v2,CHEMBL550693,-6.6
TDP43_v2,CHEMBL12490,-6.5
TDP43_v2,CHEMBL12292,-6.1
TDP43_v2,CHEMBL11113,-6.0
TDP43_v2,CHEMBL12209,-6.0
TDP43_v2,CHEMBL4434935,-5.9
TDP43_v2,CHEMBL11854,-5.8
TDP43_v2,CHEMBL4543432,-5.8
TDP43_v2,CHEMBL11867,-5.6
TDP43_v2,CHEMBL4434802,-5.6
TDP43_v2,CHEMBL18921,-5.5
TDP43_v2,CHEMBL18634,-5.3
TDP43_v2,CHEMBL18654,-5.3
TDP43_v2,CHEMBL18718,-5.3
TDP43_v2,CHEMBL18945,-5.2
TDP43_v2,CHEMBL18294,-5.1
TDP43_v2,CHEMBL18431,-4.9
TDP43_v2,CHEMBL18878,-4.9
TDP43_v2,CHEMBL19606,-4.9
TDP43_v2,CHEMBL18056,-4.8
TDP43_v2,CHEMBL19737,-4.5
TDP43_v2,CHEMBL18252,-4.2
TDP43_v2,CHEMBL19822,-4.1
