ligand,target,vina_affinity,mmgbsa_dG,status
CHEMBL7563,FUS,-6.4,-22.28,ok
CHEMBL9532,FUS,-7.4,-21.87,ok
CHEMBL1210578,FUS,-6.8,-19.05,ok
CHEMBL3310332,FUS,-6.6,-13.88,ok
CHEMBL8905,FUS,-6.4,-11.21,ok
CHEMBL9010,FUS,-6.5,-10.65,ok
CHEMBL3309490,FUS,-6.4,-10.19,ok
CHEMBL7652,FUS,-6.4,-8.43,ok
CHEMBL264055,FUS,-6.5,0.21,ok
CHEMBL3311449,SOD1,-8.1,-33.42,ok
CHEMBL8905,SOD1,-7.2,-25.81,ok
CHEMBL3310304,SOD1,-7.3,-23.75,ok
CHEMBL9532,SOD1,-7.4,-20.55,ok
CHEMBL9010,SOD1,-7.4,-20.02,ok
CHEMBL1163245,SOD1,-7.2,-17.45,ok
CHEMBL3309990,SOD1,-7.1,-16.09,ok
CHEMBL6900,SOD1,-7.1,-1.87,ok
CHEMBL7360,SOD1,-7.3,0.00,error
CHEMBL9440,SOD1,-7.1,0.00,error
CHEMBL3311449,TDP43,-6.6,-32.23,ok
CHEMBL8905,TDP43,-6.4,-31.91,ok
CHEMBL9010,TDP43,-6.5,-30.62,ok
CHEMBL7305,TDP43,-6.5,-23.61,ok
CHEMBL7270,TDP43,-6.4,-23.14,ok
CHEMBL1761221,TDP43,-6.6,-22.39,ok
CHEMBL3310332,TDP43,-6.6,-20.83,ok
CHEMBL438329,TDP43,-6.4,-18.40,ok
CHEMBL6897,TDP43,-6.4,-18.33,ok
CHEMBL1086063,TDP43,-6.4,-18.31,ok
CHEMBL155451,TDP43,-6.6,-17.91,ok
CHEMBL4553134,TDP43,-6.5,-17.85,ok
CHEMBL9347,TDP43,-7.2,-17.13,ok
CHEMBL7550,TDP43,-6.6,-15.14,ok
CHEMBL3309775,TDP43,-7.2,-14.09,ok
CHEMBL9387,TDP43,-6.5,-13.79,ok
CHEMBL1210578,TDP43,-6.6,-13.62,ok
CHEMBL9532,TDP43,-6.9,-13.41,ok
CHEMBL8891,TDP43,-6.6,-9.71,ok
CHEMBL7360,TDP43,-6.5,0.00,error
CHEMBL7256,TDP43,-6.4,0.00,error
CHEMBL601104,TDP43,-7.1,-0.00,error
CHEMBL3309822,TDP43,-6.7,0.00,error
