target,ligand,afinidad,smiles,mw,tpsa,logp,hbd,hba,rotb,cns_mpo,cns_mpo_ok,bbb_ok
FUS,CHEMBL1209725,-9.1,CC1=C(C(c2cccc(Cl)c2)c2oc3c(c2C)C(=O)C(=O)c2c-3ccc3c2CCCC3(C)C)OC2c3ccc4c(c3C(=O)C(=O)C12)CCCC4(C)C,713.3,90.7,10.07,0,6,3,2.0,False,False
FUS,CHEMBL505168,-8.7,C[C@]12CC[C@H]3[C@@](C)(CCC[C@@]3(C)C(=O)O)[C@@H]1CC[C@@]1(C)Oc3c(O)ccc(Oc4ccc5c(c4)C[C@H]4[C@]6(C)CC[C@@H]7[C@](C)(CCC[C@]7(C)C(=O)O)[C@H]6CC[C@]4(C)O5)c3C[C@H]21,823.1,122.5,12.02,3,6,4,2.0,False,False
FUS,CHEMBL1209719,-8.6,Cc1c(C(c2ccc(Cl)cc2)c2oc3c(c2C)C(=O)C(=O)c2c-3ccc3c2CCCC3(C)C)oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,711.3,94.6,10.64,0,6,3,2.0,False,False
FUS,CHEMBL4534534,-8.5,CCc1c2c(nc3ccc(OC(=O)N4CCC(NC(=O)CNc5cc(-n6nc(C(F)(F)F)c7c6CC(C)(C)CC7=O)ccc5C(N)=O)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,924.9,230.1,5.29,4,12,9,1.0,False,False
FUS,CHEMBL1207821,-8.4,O=C(Nc1ccc2ccc(C(=O)Nc3cccc(S(=O)(=O)O)c3)cc2c1)Nc1ccc2ccc(C(=O)Nc3cccc(S(=O)(=O)O)c3)cc2c1,710.7,208.1,6.64,6,7,8,1.0,False,False
FUS,CHEMBL4531986,-8.4,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)/C=C/c5ccc(Cl)cc5)CC4)CC[C@]3(C)CC[C@]12C,683.3,77.9,8.65,1,4,3,3.0,False,False
FUS,CHEMBL1210592,-8.3,Cc1nc2ccccc2c2ccc(NC(=O)NCCNC(=O)Nc3ccc4c(c3)c(C)nc3ccccc34)cc12,528.6,108.0,6.65,4,4,5,1.0,False,False
FUS,CHEMBL26360,-8.1,COc1c2c(c(O)c3c1C(=O)c1c(cc(O)c(C)c1O)C3=O)-c1c(cc(/C=N/NC(=O)Nc3ccccc3)c(C(=O)O)c1O)CC2,623.6,215.1,4.22,7,10,5,2.0,False,False
FUS,CHEMBL30550,-8.1,O=C(Cn1cc(C(F)(F)F)ccc1=O)NCc1cc2ccc(C(=O)N3CCC(N4C(=O)OCc5ccccc54)CC3)cc2o1,608.6,114.1,4.69,1,6,6,3.0,False,False
FUS,CHEMBL4582280,-8.1,CN1CCN(c2cc(F)c3c(c2)N(C)C(=O)C32CCN(c3nc4c(c(=O)[nH]3)CCCN4C)CC2)CC1,495.6,79.0,1.56,1,7,2,4.0,True,True
