target,corrida,bloque,n_pos,n_fondo,auc_crudo,auc_atomo,atomo_ic_fondo_lo,atomo_ic_fondo_hi,atomo_ic_todo_lo,atomo_ic_todo_hi,auc_residual,residual_ic_fondo_lo,residual_ic_todo_lo,positivos_que_harian_falta,veredicto
TDP-43,exh 8 (CPU),blando,7,122,0.3009,0.6827,0.6417,0.7225,0.452,0.897,0.3068,0.2717,0.0714,11,SIN EVIDENCIA
TDP-43,exh 8 (CPU),duro,7,152,0.3712,0.7312,0.6861,0.7735,0.5404,0.8891,0.407,0.3609,0.1607,,PASA
TDP-43,exh 8 (CPU),juntos,7,274,0.3399,0.7096,0.6783,0.7393,0.513,0.8936,0.3608,0.3326,0.1329,,PASA
TDP-43,exh 16 (CPU),blando,7,122,0.3009,0.6862,0.6475,0.7284,0.4648,0.8981,0.3056,0.274,0.0843,10,SIN EVIDENCIA
TDP-43,exh 16 (CPU),duro,7,152,0.3571,0.734,0.6889,0.7754,0.5451,0.8929,0.391,0.3487,0.1532,,PASA
TDP-43,exh 16 (CPU),juntos,7,274,0.3321,0.7127,0.6814,0.7435,0.5161,0.8921,0.3556,0.3253,0.1288,,PASA
TDP-43,exh 32 (CPU),blando,7,122,0.2881,0.6663,0.6206,0.7096,0.4473,0.8841,0.2881,0.2482,0.0878,13,SIN EVIDENCIA
TDP-43,exh 32 (CPU),duro,7,152,0.39,0.7331,0.687,0.7754,0.562,0.8892,0.4229,0.3778,0.1503,,PASA
TDP-43,exh 32 (CPU),juntos,7,274,0.3446,0.7033,0.6715,0.7336,0.5104,0.8806,0.3618,0.3316,0.1293,,PASA
TDP-43,GPU (search_depth 20),blando,7,122,0.2459,0.6669,0.6212,0.7096,0.4344,0.8794,0.2641,0.2143,0.0737,13,SIN EVIDENCIA
TDP-43,GPU (search_depth 20),duro,7,152,0.4013,0.7383,0.6941,0.7796,0.5432,0.9018,0.414,0.3698,0.1485,,PASA
TDP-43,GPU (search_depth 20),juntos,7,274,0.3321,0.7065,0.6757,0.7372,0.4979,0.8801,0.3452,0.3102,0.1282,7,SIN EVIDENCIA
SOD1,"exh 8 (CPU), fondo mezclado",blando,11,482,0.4395,0.5635,0.5405,0.5855,0.3693,0.7494,0.4776,0.4461,0.3593,99,SIN EVIDENCIA
SOD1,"exh 8 (CPU), fondo separado",blando,11,339,0.4419,0.5298,0.5012,0.5578,0.342,0.72,0.4537,0.4157,0.3239,444,SIN EVIDENCIA
SOD1,"exh 8 (CPU), fondo separado",duro,11,143,0.4336,0.6434,0.6084,0.6764,0.4348,0.8366,0.5671,0.5105,0.4107,22,SIN EVIDENCIA
SOD1,"exh 8 (CPU), fondo separado",juntos,11,482,0.4395,0.5635,0.5405,0.5855,0.3693,0.7494,0.4776,0.4461,0.3593,99,SIN EVIDENCIA
