ligand,papel,afinidad,pesados,puesto_fondo1,puesto_fondo2,residual
DECM_CHEMBL21594,fondo,-7.464,30,1,,
DECM_CHEMBL9250,fondo,-7.229,31,2,,
DECM_CHEMBL14043,fondo,-7.187,31,3,,
DECM_CHEMBL20651,fondo,-7.138,30,4,,
DECH_CHEMBL27556,fondo2,-6.988,24,5,,
DECM_CHEMBL4553656,fondo,-6.976,30,6,,
DECM_CHEMBL4436558,fondo,-6.862,32,7,,
DEC_CHEMBL1491654,fondo,-6.861,26,8,,
DECM_CHEMBL124937,fondo,-6.858,19,9,,
naftalenoaminoalcohol_946,positivo,-6.846,23,,,
DECH_CHEMBL26518,fondo2,-6.794,24,10,,
DECM_CHEMBL584766,fondo,-6.769,30,11,,
paliperidona_K4I,positivo,-6.727,31,,,
DECH_CHEMBL28280,fondo2,-6.71,24,12,,
DECM_CHEMBL17224,fondo,-6.699,30,13,,
DEC_CHEMBL1327582,fondo,-6.683,32,14,,
DEC_CHEMBL1472702,fondo,-6.677,31,15,,
DECM_CHEMBL4435214,fondo,-6.652,31,16,,
DEC_CHEMBL1395067,fondo,-6.624,26,17,,
DECH_CHEMBL1872278,fondo2,-6.623,25,18,,
DECM_CHEMBL4435035,fondo,-6.6,32,19,,
DEC_CHEMBL124937,fondo,-6.577,19,20,,
DEC_CHEMBL1437517,fondo,-6.57,23,21,,
DECH_CHEMBL1540525,fondo2,-6.544,23,22,,
DEC_CHEMBL1528023,fondo,-6.535,20,23,,
DEC_CHEMBL1491587,fondo,-6.525,18,24,,
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",fondo,-6.516,26,25,,
DECH_CHEMBL1343730,fondo2,-6.438,23,26,,
DEC_CHEMBL1475748,fondo,-6.41,24,27,,
DECH_CHEMBL1877893,fondo2,-6.395,24,28,,
DEC_CHEMBL1731606,fondo,-6.377,18,29,,
DEC_CHEMBL1398411,fondo,-6.376,23,30,,
DECH_CHEMBL25014,fondo2,-6.372,25,31,,
DECH_CHEMBL398707,fondo2,-6.371,21,32,,
DEC_CHEMBL1554159,fondo,-6.358,24,33,,
DECM_CHEMBL1896432,fondo,-6.341,30,34,,
DECM_CHEMBL4435669,fondo,-6.339,31,35,,
Lig9_6B3,positivo,-6.334,33,,,
DECH_CHEMBL19130,fondo2,-6.334,21,36,,
DECH_CHEMBL20287,fondo2,-6.316,20,37,,
DECM_CHEMBL15139,fondo,-6.289,31,38,,
DEC_CHEMBL1575024,fondo,-6.285,23,39,,
DECH_CHEMBL3310377,fondo2,-6.283,23,40,,
DECH_CHEMBL1406300,fondo2,-6.27,23,41,,
DEC_CHEMBL1732240,fondo,-6.267,21,42,,
DEC_CHEMBL3214262,fondo,-6.262,26,43,,
DEC_CHEMBL1587018,fondo,-6.258,22,44,,
DEC_CHEMBL1708737,fondo,-6.256,26,45,,
DEC_CHEMBL267400,fondo,-6.256,20,46,,
DECH_CHEMBL20160,fondo2,-6.251,23,47,,
DECH_CHEMBL1162123,fondo2,-6.248,24,48,,
DECH_CHEMBL7790,fondo2,-6.245,22,49,,
DECH_CHEMBL70,fondo2,-6.244,21,50,,
DECH_CHEMBL19179,fondo2,-6.227,24,51,,
DECM_CHEMBL7969,fondo,-6.22,19,52,,
DEC_CHEMBL1330118,fondo,-6.218,26,53,,
DECH_CHEMBL490,fondo2,-6.213,24,54,,
DEC_CHEMBL1383019,fondo,-6.205,26,55,,
DEC_CHEMBL1470903,fondo,-6.203,29,56,,
DECH_CHEMBL3309988,fondo2,-6.202,25,57,,
DECM_CHEMBL267400,fondo,-6.202,20,58,,
DEC_CHEMBL1896432,fondo,-6.199,30,59,,
DECM_CHEMBL1304181,fondo,-6.177,29,60,,
DEC_CHEMBL1602967,fondo,-6.175,26,61,,
DECH_CHEMBL1324,fondo2,-6.167,20,62,,
DEC_CHEMBL1315185,fondo,-6.137,26,63,,
DEC_CHEMBL1732294,fondo,-6.115,23,64,,
DECM_CHEMBL4435744,fondo,-6.11,29,65,,
DECH_CHEMBL3309993,fondo2,-6.106,25,66,,
DECH_CHEMBL1311703,fondo2,-6.101,23,67,,
DECH_CHEMBL926,fondo2,-6.1,22,68,,
DECH_CHEMBL1304194,fondo2,-6.097,22,69,,
DEC_CHEMBL1390550,fondo,-6.085,21,70,,
DEC_CHEMBL1591882,fondo,-6.083,30,71,,
DECH_CHEMBL963,fondo2,-6.08,22,72,,
DECM_CHEMBL1591882,fondo,-6.068,30,73,,
DECH_CHEMBL7334,fondo2,-6.066,22,74,,
DEC_CHEMBL1547432,fondo,-6.058,18,75,,
DECH_CHEMBL1201251,fondo2,-6.048,23,76,,
DECH_CHEMBL1201273,fondo2,-6.044,24,77,,
DEC_CHEMBL272808,fondo,-6.011,23,78,,
DEC_IPRIFLAVONE,fondo,-6.01,21,79,,
DEC_CHEMBL1601845,fondo,-5.994,17,80,,
DECM_CHEMBL595793,fondo,-5.992,20,81,,
DEC_CHEMBL1321608,fondo,-5.992,22,82,,
DEC_CHEMBL1431783,fondo,-5.986,31,83,,
DECH_CHEMBL1597289,fondo2,-5.985,25,84,,
DECM_CHEMBL7946,fondo,-5.984,19,85,,
DEC_CHEMBL1896241,fondo,-5.977,22,86,,
DEC_CHEMBL1900310,fondo,-5.977,23,87,,
DEC_5-HYDROXYFLAVONE,fondo,-5.964,18,88,,
DECH_CHEMBL408513,fondo2,-5.96,22,89,,
DECM_CHEMBL473417,fondo,-5.952,27,90,,
DECH_CHEMBL1601733,fondo2,-5.95,22,91,,
DECH_CHEMBL3309985,fondo2,-5.95,24,92,,
DECM_CHEMBL1431783,fondo,-5.94,31,93,,
DECH_CHEMBL23647,fondo2,-5.936,24,94,,
DECH_CHEMBL3310302,fondo2,-5.934,23,95,,
DECH_CHEMBL588,fondo2,-5.934,21,96,,
DECM_CHEMBL170988,fondo,-5.927,15,97,,
DECH_CHEMBL313972,fondo2,-5.925,22,98,,
DEC_CHEMBL1476483,fondo,-5.923,24,99,,
DEC_CHEMBL1402356,fondo,-5.918,23,100,,
DEC_CHEMBL1304181,fondo,-5.911,29,101,,
DEC_CHEMBL1896176,fondo,-5.91,22,102,,
DECM_CHEMBL469,fondo,-5.905,19,103,,
DEC_Baicalein,fondo,-5.899,19,104,,
DEC_CHEMBL1452318,fondo,-5.893,21,105,,
DEC_CHEMBL2360645,fondo,-5.886,26,106,,
DECM_CHEMBL2165606,fondo,-5.885,16,107,,
DECH_CHEMBL53,fondo2,-5.883,20,108,,
DECM_CHEMBL465026,fondo,-5.876,19,109,,
DECH_CHEMBL1077248,fondo2,-5.872,25,110,,
DEC_CHEMBL1309718,fondo,-5.848,26,111,,
DEC_CHEMBL1461506,fondo,-5.847,18,112,,
DECH_CHEMBL1303069,fondo2,-5.834,20,113,,
DECM_CHEMBL27275,fondo,-5.834,32,114,,
DEC_CHEMBL1429038,fondo,-5.831,30,115,,
DECH_CHEMBL4543361,fondo2,-5.824,25,116,,
DEC_CHEMBL1579999,fondo,-5.822,25,117,,
DECH_CHEMBL10012,fondo2,-5.82,22,118,,
DEC_CHEMBL1502132,fondo,-5.808,20,119,,
DEC_Luteolin,fondo,-5.808,21,120,,
DECH_CHEMBL1256841,fondo2,-5.806,22,121,,
DEC_CHEMBL3208261,fondo,-5.805,22,122,,
DEC_Teriflunomide,fondo,-5.805,19,123,,
DECM_CHEMBL266960,fondo,-5.802,30,124,,
DECM_CHEMBL28286,fondo,-5.793,31,125,,
DEC_Apigenin,fondo,-5.791,20,126,,
DECM_CHEMBL1474963,fondo,-5.788,20,127,,
DECH_CHEMBL80,fondo2,-5.78,24,128,,
DECM_CHEMBL898,fondo,-5.777,18,129,,
DEC_CHEMBL1602108,fondo,-5.762,22,130,,
DEC_KAEMPFEROL,fondo,-5.759,21,131,,
DEC_CHEMBL1510247,fondo,-5.754,21,132,,
DECH_CHEMBL1310629,fondo2,-5.743,22,133,,
DEC_Quercetin,fondo,-5.74,22,134,,
DEC_CHEMBL2143380,fondo,-5.739,24,135,,
DECM_CHEMBL1461506,fondo,-5.734,18,136,,
DEC_CHEMBL1530615,fondo,-5.731,24,137,,
DECH_CHEMBL1362943,fondo2,-5.717,22,138,,
DEC_CHEMBL1373390,fondo,-5.715,26,139,,
DECM_CHEMBL648,fondo,-5.702,20,140,,
DEC_CHEMBL2165608,fondo,-5.701,18,141,,
DECH_CHEMBL1578770,fondo2,-5.699,21,142,,
DECM_CHEMBL21042,fondo,-5.696,32,143,,
DEC_Genistein,fondo,-5.691,20,144,,
DEC_CHEMBL3194612,fondo,-5.677,18,145,,
DEC_CHEMBL1374893,fondo,-5.657,20,146,,
