ligand,vina,vinardo
ACT_5-fluorouridina,-4.8240,-3.0040
ACT_CHEMBL1643541,-5.0410,-4.9190
ACT_CHEMBL1643556,-4.9790,-3.5880
ACT_CHEMBL1643557,-5.3440,-4.6180
ACT_CHEMBL1939222,-5.3550,-4.4700
ACT_CHEMBL2165601,-5.4190,-3.8930
ACT_CHEMBL2165602,-4.8740,-3.8610
ACT_CHEMBL2165603,-4.9250,-3.4510
ACT_CHEMBL2165604,-5.4300,-4.4570
ACT_CHEMBL2165605,-5.5230,-4.7000
ACT_CHEMBL2165606,-5.8090,-5.0220
ACT_CHEMBL2165607,-5.4160,-4.9290
ACT_CHEMBL2165608,-5.5090,-4.7110
ACT_CHEMBL2165609,-5.9190,-5.1940
ACT_CHEMBL2165610,-5.1840,-4.5650
ACT_CHEMBL2165611,-5.2130,-4.4810
ACT_CHEMBL2165612,-5.2710,-4.3620
ACT_CHEMBL2165613,-6.4240,-5.8590
ACT_CHEMBL2165614,-7.1250,-6.8950
ACT_LCS-1,-4.9350,-4.6230
ACT_Lig9_6B3,-6.1960,-4.9020
ACT_PRG-A01,-7.6120,-6.1730
ACT_adrenalina,-4.5890,-3.9560
ACT_anilina_ZZT,-4.2790,-3.4770
ACT_cf3quinazolina_ZO0,-5.5320,-4.6650
ACT_diazepanoquinazolina_4MQ,-4.7620,-3.6350
ACT_dopamina,-4.5360,-3.9440
ACT_isoproterenol,-4.7340,-3.4930
ACT_naftalenoaminoalcohol_946,-6.9600,-5.7500
ACT_paliperidona_K4I,-7.5470,-5.4780
ACT_quinazolina_12I,-4.9620,-4.5760
DECH_CHEMBL10012,-5.7320,-4.9140
DECH_CHEMBL1006,-3.6510,-2.6660
DECH_CHEMBL1009,-5.2290,-3.8370
DECH_CHEMBL101,-5.0090,-4.2660
DECH_CHEMBL105,-5.2270,-3.4510
DECH_CHEMBL1077248,-6.0640,-5.1410
DECH_CHEMBL1161220,-5.5370,-4.8880
DECH_CHEMBL1162123,-6.1510,-4.9840
DECH_CHEMBL117785,-4.7600,-3.8960
DECH_CHEMBL1201117,-5.5490,-4.7650
DECH_CHEMBL1201168,-5.5100,-4.5870
DECH_CHEMBL1201213,-4.4430,-4.0520
DECH_CHEMBL1201233,-4.6620,-3.4680
DECH_CHEMBL1201236,-4.8400,-3.6170
DECH_CHEMBL1201251,-6.1510,-5.1910
DECH_CHEMBL1201273,-6.1220,-4.8170
DECH_CHEMBL1201317,-3.7910,-2.9750
DECH_CHEMBL1201345,-3.8900,-2.9370
DECH_CHEMBL1201348,-5.2590,-3.9120
DECH_CHEMBL1201766,-4.8920,-3.5960
DECH_CHEMBL1208,-5.0250,-3.3850
DECH_CHEMBL1228,-5.1200,-4.2370
DECH_CHEMBL1256841,-6.0150,-4.6530
DECH_CHEMBL1303069,-5.6590,-5.1290
DECH_CHEMBL1304194,-6.1160,-4.8030
DECH_CHEMBL1310629,-5.7570,-4.9060
DECH_CHEMBL1311703,-6.0220,-4.6890
DECH_CHEMBL1324,-6.1260,-6.1240
DECH_CHEMBL1343730,-6.5070,-5.9280
DECH_CHEMBL1350,-4.4440,-3.2000
DECH_CHEMBL1362943,-5.6500,-5.0840
DECH_CHEMBL1383511,-4.8950,-3.4380
DECH_CHEMBL1391531,-5.3260,-4.8540
DECH_CHEMBL1401346,-5.5560,-5.4040
DECH_CHEMBL1406300,-6.2900,-5.1760
DECH_CHEMBL1409776,-4.8210,-3.7460
DECH_CHEMBL1418679,-5.4830,-4.7200
DECH_CHEMBL14370,-5.2770,-4.6920
DECH_CHEMBL1437579,-5.5490,-4.3970
DECH_CHEMBL1452696,-5.3170,-4.6040
DECH_CHEMBL1457,-5.2910,-4.1580
DECH_CHEMBL1457583,-5.1440,-4.2800
DECH_CHEMBL1462043,-5.6070,-4.7800
DECH_CHEMBL1470097,-5.3370,-4.3560
DECH_CHEMBL1485521,-5.1400,-4.0900
DECH_CHEMBL1486005,-5.5380,-4.5820
DECH_CHEMBL1501518,-4.3390,-3.9510
DECH_CHEMBL1507664,-5.4350,-4.0260
DECH_CHEMBL152,-4.5410,-3.3160
DECH_CHEMBL1524140,-5.0120,-4.2900
DECH_CHEMBL1530615,-5.3500,-5.1210
DECH_CHEMBL1536068,-4.5640,-3.3580
DECH_CHEMBL1540430,-5.3560,-3.6120
DECH_CHEMBL1540525,-6.5000,-6.0470
DECH_CHEMBL1547534,-4.2730,-3.2290
DECH_CHEMBL1551968,-5.1640,-4.2930
DECH_CHEMBL1563897,-4.7590,-3.8000
DECH_CHEMBL1570373,-5.0690,-4.5340
DECH_CHEMBL1578770,-5.6730,-4.3010
DECH_CHEMBL1595,-5.4940,-3.5000
DECH_CHEMBL1597201,-5.3840,-4.7830
DECH_CHEMBL1597289,-5.9910,-4.9400
DECH_CHEMBL1601733,-5.9150,-4.4770
DECH_CHEMBL1602108,-5.9550,-5.3230
DECH_CHEMBL1689063,-4.7960,-3.2630
DECH_CHEMBL1728200,-5.0950,-4.4900
DECH_CHEMBL1865134,-5.0660,-3.9370
DECH_CHEMBL1872278,-6.6250,-6.3100
DECH_CHEMBL1877893,-6.4250,-4.9070
DECH_CHEMBL19130,-6.3340,-4.8580
DECH_CHEMBL19179,-6.2320,-4.7430
DECH_CHEMBL1978331,-4.6530,-3.8780
DECH_CHEMBL1983350,-5.1510,-4.4720
DECH_CHEMBL20160,-6.1680,-5.3680
DECH_CHEMBL20287,-6.3940,-5.1070
DECH_CHEMBL203266,-4.1780,-3.2190
DECH_CHEMBL2103827,-5.1180,-4.2000
DECH_CHEMBL2105345,-4.4470,-3.3930
DECH_CHEMBL2110978,-2.8790,-2.3260
DECH_CHEMBL22,-4.8460,-3.9710
DECH_CHEMBL23647,-5.8510,-5.4990
DECH_CHEMBL25014,-6.3360,-4.7870
DECH_CHEMBL252556,-5.0450,-3.9670
DECH_CHEMBL26518,-6.7220,-5.6950
DECH_CHEMBL27556,-6.9640,-5.8240
DECH_CHEMBL28280,-6.7050,-5.4300
DECH_CHEMBL294199,-5.7260,-4.6150
DECH_CHEMBL295124,-5.1910,-3.5390
DECH_CHEMBL306700,-5.2840,-4.7510
DECH_CHEMBL311498,-5.4970,-4.9730
DECH_CHEMBL3137326,-5.1230,-4.0180
DECH_CHEMBL313972,-5.8400,-5.4090
DECH_CHEMBL319144,-4.9090,-3.3970
DECH_CHEMBL329522,-5.6060,-4.1180
DECH_CHEMBL3309763,-5.5580,-4.7420
DECH_CHEMBL3309985,-6.0830,-5.2580
DECH_CHEMBL3309988,-6.2050,-5.0570
DECH_CHEMBL3309993,-6.2500,-5.7270
DECH_CHEMBL3310302,-5.9490,-5.1410
DECH_CHEMBL3310377,-6.2090,-4.6250
DECH_CHEMBL3311423,-5.3810,-4.0710
DECH_CHEMBL3774966,-4.0640,-3.6830
DECH_CHEMBL398707,-6.3700,-4.5810
DECH_CHEMBL408513,-5.8760,-5.0580
DECH_CHEMBL427216,-5.5710,-3.7660
DECH_CHEMBL4298137,-4.7390,-3.1720
DECH_CHEMBL434,-4.7590,-3.4870
DECH_CHEMBL4543361,-5.9350,-5.1340
DECH_CHEMBL4594379,-5.1950,-4.0670
DECH_CHEMBL461522,-4.6420,-3.7470
DECH_CHEMBL4802240,-5.2310,-4.7990
DECH_CHEMBL485,-5.5600,-3.4810
DECH_CHEMBL490,-5.8830,-5.1790
DECH_CHEMBL503634,-5.5250,-4.9500
DECH_CHEMBL53,-5.8830,-4.2560
DECH_CHEMBL546,-4.7570,-4.0700
DECH_CHEMBL588,-5.8640,-5.4990
DECH_CHEMBL656,-5.2630,-4.2500
DECH_CHEMBL659,-5.1320,-3.1980
DECH_CHEMBL677,-4.7020,-4.5100
DECH_CHEMBL679,-4.5790,-3.2570
DECH_CHEMBL70,-6.2470,-4.6360
DECH_CHEMBL7334,-6.0340,-5.4570
DECH_CHEMBL7790,-6.2470,-4.9200
DECH_CHEMBL7855,-5.5530,-4.3110
DECH_CHEMBL80,-5.7020,-4.0790
DECH_CHEMBL817,-5.7760,-4.8500
DECH_CHEMBL834,-4.3420,-3.0650
DECH_CHEMBL8488,-5.1610,-4.3280
DECH_CHEMBL849,-5.3180,-4.6680
DECH_CHEMBL870,-3.8500,-2.8180
DECH_CHEMBL871,-3.9170,-3.1950
DECH_CHEMBL8960,-5.5030,-4.2520
DECH_CHEMBL923,-4.5600,-3.6290
DECH_CHEMBL924,-4.4710,-3.2630
DECH_CHEMBL926,-6.0630,-4.9660
DECH_CHEMBL93,-4.8680,-4.3240
DECH_CHEMBL94394,-4.8720,-4.0450
DECH_CHEMBL953,-4.9690,-4.9040
DECH_CHEMBL963,-6.0790,-4.2830
DECH_CHEMBL98,-4.8690,-4.0100
DECH_CHEMBL980,-5.0800,-4.4410
DECH_CHEMBL997,-4.3420,-3.2960
DECM_CHEMBL1037,-4.8880,-3.0420
DECM_CHEMBL1068,-6.0240,-4.5000
DECM_CHEMBL108545,-4.5340,-3.4820
DECM_CHEMBL1100,-4.0440,-2.9970
DECM_CHEMBL1102,-5.5290,-4.2150
DECM_CHEMBL1115,-4.1700,-3.2380
DECM_CHEMBL1118,-5.6240,-4.9720
DECM_CHEMBL112,-4.3960,-3.6730
DECM_CHEMBL1169,-4.4650,-3.9380
DECM_CHEMBL1177,-5.0250,-3.5880
DECM_CHEMBL119423,-3.7030,-2.6330
DECM_CHEMBL1200790,-4.3440,-2.8980
DECM_CHEMBL1201073,-3.3190,-2.1350
DECM_CHEMBL1201260,-4.6900,-3.7770
DECM_CHEMBL1201293,-3.7430,-2.6980
DECM_CHEMBL1232131,-4.7450,-3.5170
DECM_CHEMBL1232461,-5.3690,-4.4040
DECM_CHEMBL1237044,-4.8100,-3.2840
DECM_CHEMBL124937,-6.7680,-5.6870
DECM_CHEMBL12856,-5.1740,-4.7270
DECM_CHEMBL1304181,-5.8020,-4.5930
DECM_CHEMBL1305,-5.0170,-3.6980
DECM_CHEMBL1372889,-5.1550,-3.6840
DECM_CHEMBL1374893,-5.6140,-5.4110
DECM_CHEMBL1377,-5.0540,-4.1500
DECM_CHEMBL14043,-7.2660,-6.1230
DECM_CHEMBL1414576,-4.4790,-3.3790
DECM_CHEMBL1425,-3.6430,-2.9620
DECM_CHEMBL1430,-3.2940,-2.1880
DECM_CHEMBL1431783,-6.0170,-4.9170
DECM_CHEMBL1440455,-5.1810,-4.5460
DECM_CHEMBL1441905,-5.2020,-3.5110
DECM_CHEMBL1446677,-4.9990,-4.2590
DECM_CHEMBL1461506,-5.7470,-4.8290
DECM_CHEMBL1468265,-4.6910,-3.6990
DECM_CHEMBL1474963,-5.5240,-5.2540
DECM_CHEMBL1482,-3.5710,-2.6680
DECM_CHEMBL1483,-4.5400,-4.0540
DECM_CHEMBL1509423,-5.1210,-4.3410
DECM_CHEMBL15139,-6.6350,-5.2700
DECM_CHEMBL1546,-4.3640,-3.6780
DECM_CHEMBL1560,-4.3160,-3.3560
DECM_CHEMBL1571416,-4.9240,-3.5970
DECM_CHEMBL1574931,-5.1840,-4.5640
DECM_CHEMBL1591882,-6.1030,-4.1900
DECM_CHEMBL1593719,-4.3850,-3.4840
DECM_CHEMBL170988,-5.9690,-5.3200
DECM_CHEMBL1712280,-5.2680,-4.4230
DECM_CHEMBL17224,-6.4400,-5.6500
DECM_CHEMBL1728134,-5.1850,-4.7140
DECM_CHEMBL1730073,-5.3930,-5.0300
DECM_CHEMBL1738,-4.8260,-3.9310
DECM_CHEMBL1752,-5.0720,-3.0260
DECM_CHEMBL17860,-4.4830,-3.1990
DECM_CHEMBL18116,-5.1330,-3.6020
DECM_CHEMBL1879748,-4.7920,-4.2430
DECM_CHEMBL188952,-4.9790,-4.6380
DECM_CHEMBL1896432,-6.3100,-5.3530
DECM_CHEMBL1909282,-5.4440,-4.6440
DECM_CHEMBL1939222,-5.3560,-4.6550
DECM_CHEMBL1969867,-4.9020,-4.7180
DECM_CHEMBL20651,-7.2380,-5.4150
DECM_CHEMBL21042,-5.4180,-4.1370
DECM_CHEMBL2105420,-4.6820,-3.5460
DECM_CHEMBL2106939,-4.5070,-4.1370
DECM_CHEMBL21594,-7.3040,-5.2070
DECM_CHEMBL2165606,-5.8440,-5.0420
DECM_CHEMBL2165607,-5.4620,-4.7040
DECM_CHEMBL218291,-4.9550,-3.9620
DECM_CHEMBL229128,-5.2190,-4.6210
DECM_CHEMBL25,-4.7620,-3.6890
DECM_CHEMBL266960,-5.8030,-4.1890
DECM_CHEMBL267400,-5.7410,-5.3190
DECM_CHEMBL27275,-6.2360,-4.9090
DECM_CHEMBL276832,-4.7310,-4.1190
DECM_CHEMBL282052,-5.5480,-4.7130
DECM_CHEMBL28286,-5.8550,-4.2850
DECM_CHEMBL289480,-4.3410,-3.6710
DECM_CHEMBL301265,-4.6120,-3.6540
DECM_CHEMBL315985,-5.9400,-4.3470
DECM_CHEMBL3213756,-4.8180,-4.3730
DECM_CHEMBL3400972,-5.3200,-3.9220
DECM_CHEMBL345714,-4.2810,-3.3450
DECM_CHEMBL3547132,-5.3000,-3.9030
DECM_CHEMBL39736,-4.3210,-3.6240
DECM_CHEMBL419,-4.3360,-3.2690
DECM_CHEMBL427,-2.7630,-1.9770
DECM_CHEMBL4435035,-6.6560,-5.2410
DECM_CHEMBL4435214,-6.6840,-5.2130
DECM_CHEMBL4435669,-6.2660,-5.2060
DECM_CHEMBL4435744,-5.8970,-4.8980
DECM_CHEMBL4436558,-6.9080,-5.8960
DECM_CHEMBL444,-4.6430,-3.6150
DECM_CHEMBL445,-5.6120,-4.4350
DECM_CHEMBL449,-4.6710,-3.1060
DECM_CHEMBL4553656,-7.0630,-6.1830
DECM_CHEMBL459,-4.5480,-3.5170
DECM_CHEMBL465026,-5.9510,-5.2570
DECM_CHEMBL469,-5.8570,-5.5130
DECM_CHEMBL473417,-5.9520,-5.4970
DECM_CHEMBL476,-4.1760,-3.3380
DECM_CHEMBL498847,-4.0490,-2.7160
DECM_CHEMBL513,-3.6180,-2.6710
DECM_CHEMBL524,-4.7690,-3.4260
DECM_CHEMBL550,-4.4000,-3.0160
DECM_CHEMBL584766,-6.8190,-5.8050
DECM_CHEMBL591,-3.7320,-2.8760
DECM_CHEMBL592,-5.5100,-3.8390
DECM_CHEMBL595793,-5.9940,-5.1720
DECM_CHEMBL607400,-4.5690,-3.5200
DECM_CHEMBL61006,-4.5690,-3.3900
DECM_CHEMBL648,-5.2510,-4.9220
DECM_CHEMBL667,-3.1490,-2.2240
DECM_CHEMBL671,-3.2780,-2.0230
DECM_CHEMBL701,-5.0990,-4.5940
DECM_CHEMBL704,-4.5990,-3.3940
DECM_CHEMBL712,-5.4100,-3.5790
DECM_CHEMBL72,-5.2620,-4.0170
DECM_CHEMBL741,-5.2540,-4.6880
DECM_CHEMBL750,-5.1090,-3.4290
DECM_CHEMBL760,-4.9280,-3.4400
DECM_CHEMBL762,-5.0930,-4.3190
DECM_CHEMBL770,-4.9100,-4.0470
DECM_CHEMBL7863,-4.8090,-3.7790
DECM_CHEMBL7946,-5.9840,-5.4370
DECM_CHEMBL7969,-6.2150,-5.5620
DECM_CHEMBL797,-5.0850,-3.8100
DECM_CHEMBL830,-3.7550,-2.8870
DECM_CHEMBL8328,-5.4390,-5.0820
DECM_CHEMBL856,-5.3810,-3.7260
DECM_CHEMBL861,-5.5490,-4.4490
DECM_CHEMBL877,-4.2440,-3.4550
DECM_CHEMBL898,-5.7830,-5.5890
DECM_CHEMBL918,-5.0930,-3.9970
DECM_CHEMBL92401,-4.6770,-3.6610
DECM_CHEMBL925,-5.1640,-3.9530
DECM_CHEMBL9250,-7.2520,-4.9860
DECM_CHEMBL965,-3.5560,-2.6890
DECM_CHEMBL978,-3.4900,-2.5700
DECM_CHEMBL979,-4.5020,-3.9230
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",-6.5980,-5.8440
DEC_5-HYDROXYFLAVONE,-5.9890,-5.7230
DEC_Alpha-Lipoic_Acid,-4.2130,-3.6300
DEC_Apigenin,-5.7950,-5.3280
DEC_Arimoclomol,-5.1840,-4.6700
DEC_Baclofen,-5.1070,-4.5200
DEC_Baicalein,-5.9120,-5.5560
DEC_CAPTOPRIL,-4.3520,-3.2780
DEC_CHEMBL1091583,-5.0630,-3.6450
DEC_CHEMBL1091584,-5.0700,-3.8620
DEC_CHEMBL1092384,-5.1960,-4.4910
