target,ligand,afinidad,smiles,tipo
TDP43_v2,PE859,,COC1=C(C=CC(=C1)OCC2=CC=CC=N2)C=CC3=CC(=NN3)C=CC4=CC5=C(C=C4)C=CN5,control
TDP43_v2,berberrubine,,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)O,control
TDP43_v2,BERBERINE,,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,control
TDP43_v2,sanguinarine,,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6,control
TDP43_v2,epiberberine,,COC1=C(C=C2C(=C1)CC[N+]3=C2C=C4C=CC5=C(C4=C3)OCO5)OC,control
TDP43_v2,coptisine,,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,control
TDP43_v2,nitidine,,C[N+]1=CC2=CC(=C(C=C2C3=C1C4=CC5=C(C=C4C=C3)OCO5)OC)OC,control
TDP43_v2,KETOCONAZOLE,,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,control
TDP43_v2,cepharanthine,,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,control
TDP43_v2,cepharanthine_limpio,,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,control
