target,ligand,smiles,vina_affinity,tipo
TDP43_v2,CHEMBL417799,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,-8.4,focalizada_caja_arn
TDP43_v2,CHEMBL362071,c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,-8.2,focalizada_caja_arn
TDP43_v2,BERBERINE,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,-7.6,focalizada_caja_arn
TDP43_v2,CHEMBL176008,COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5,-7.5,focalizada_caja_arn
TDP43_v2,CHEMBL12089,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,-7.6,focalizada_caja_arn
TDP43_v2,CHEMBL8443,COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5,-7.9,focalizada_caja_arn
TDP43_v2,CHEMBL490129,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,-8.4,focalizada_caja_arn
TDP43_v2,CHEMBL492613,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,-7.5,focalizada_caja_arn
TDP43_v2,CHEMBL274189,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2,-6.4,focalizada_caja_arn
TDP43_v2,CHEMBL13045,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,-7.8,focalizada_caja_arn
TDP43_v2,CHEMBL305942,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1O,-7.8,focalizada_caja_arn
TDP43_v2,CHEMBL1187398,COc1ccc2cc3[n+](cc2c1OCCCCCC[n+]1ccccc1)CCc1cc2c(cc1-3)OCO2,-8.9,focalizada_caja_arn
TDP43_v2,CHEMBL121087,COc1cc2c(ccc3c4cc(OC)c(OC)cc4c[n+](C)c23)cc1O,-7.7,focalizada_caja_arn
TDP43_v2,CHEMBL47043,COc1cc2c(cc1OC)-c1cc3cc(OC)c(OC)cc3c[n+]1CC2,-6.1,focalizada_caja_arn
TDP43_v2,CHEMBL5314422,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-8.8,focalizada_caja_arn
TDP43_v2,CHEMBL11531,COc1ccc2cc3n(c(=O)c2c1OC)CCc1cc2c(cc1-3)OCO2,-7.7,focalizada_caja_arn
TDP43_v2,CHEMBL11848,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1=C2)OCO4,-7.6,focalizada_caja_arn
TDP43_v2,CHEMBL149056,COc1cc2cc3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)CO3,-7.6,focalizada_caja_arn
TDP43_v2,CHEMBL2314732,COc1ccc2c(c1O)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,-8.0,focalizada_caja_arn
TDP43_v2,CHEMBL4116134,COc1ccc2c(Cc3ccc(C)cc3)c3[n+](cc2c1NCCCc1ccccc1)CCc1cc2c(cc1-3)OCO2,-9.0,focalizada_caja_arn
TDP43_v2,CHEMBL440125,COc1ccc(-c2c3c(cc4cc5c(cc24)OCO5)C(=O)OC3)cc1OC,-7.6,focalizada_caja_arn
TDP43_v2,CHEMBL490533,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,-8.0,focalizada_caja_arn
TDP43_v2,CHEMBL292540,COc1cc2cc3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)COC3=O,-7.6,focalizada_caja_arn
TDP43_v2,CHEMBL139545,C=Cc1cc2c(cc1-c1cc3ccc(OC)c(OC)c3c(=O)n1C)OCO2,-7.7,focalizada_caja_arn
TDP43_v2,CHEMBL11943,COc1ccc2c(c1OC)C[N+]1(C)CCc3cc4c(cc3C1C2)OCO4,-6.8,focalizada_caja_arn
TDP43_v2,CHEMBL3897805,COc1ccc(OC)c2c1C[C@H]1c3cc4c(cc3CCN1C2)OCO4,-6.7,focalizada_caja_arn
TDP43_v2,CHEMBL467094,COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2)OCO4,-7.2,focalizada_caja_arn
TDP43_v2,CHEMBL323946,COc1cc2c(cc1OC)-c1c3c(cc4c1[C@H](C2)N(OC)CC4)OCO3,-6.7,focalizada_caja_arn
TDP43_v2,CHEMBL152275,COc1cc2c(c(OC)c1OC)-c1cc3c(cc1CC1COC(=O)C1C2)OCO3,-6.3,focalizada_caja_arn
TDP43_v2,CHEMBL157912,COc1ccc2c(c1O)-c1c3c(cc4c1[C@H](C2)N(C)CC4)OCO3,-7.4,focalizada_caja_arn
TDP43_v2,CHEMBL300850,COc1cc2c(c3oc(=O)ccc13)OCO2,-6.2,focalizada_caja_arn
TDP43_v2,CHEMBL2334893,COc1cc2c(cc1O)[C@@H]1Cc3cc4c(cc3CN1CC2)OCO4,-8.0,focalizada_caja_arn
TDP43_v2,CHEMBL3921127,COc1cc2c(c(OC)c1OC)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,-7.5,focalizada_caja_arn
TDP43_v2,CHEMBL191958,CNCCn1c(=O)c2cc(OC)c(OC)cc2c2cnc3cc4c(cc3c21)OCO4,-7.2,focalizada_caja_arn
TDP43_v2,CHEMBL436025,COc1cc2c(c(OC)c1OC)-c1cc3c(cc1C(=O)[C@H]1COC(=O)[C@@H]1C2)OCO3,-6.2,focalizada_caja_arn
TDP43_v2,CHEMBL157013,COc1cc(CC2COCC2Cc2ccc3c(c2)OCO3)cc(OC)c1OC,-7.6,focalizada_caja_arn
TDP43_v2,CHEMBL358914,COc1ccc(C(O)C2c3c(cc4c(c3OC)OCO4)CCN2C)c(CO)c1OC,-6.6,focalizada_caja_arn
TDP43_v2,CHEMBL508159,COc1ccc2c(c1OC)[C@H](CC1=C[C@@H]3[C@@H](CC1)[C@](C)(OC)CC[C@H]3C(C)C)N(C)c1c-2ccc2cc3c(cc12)OCO3,-7.3,focalizada_caja_arn
TDP43_v2,CHEMBL82303,COc1cc([C@@H]2c3cc4c(cc3C(=O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC,-7.2,focalizada_caja_arn
TDP43_v2,CHEMBL63970,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC,-6.9,focalizada_caja_arn
TDP43_v2,NOSCAPINE,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,-7.1,focalizada_caja_arn
TDP43_v2,CHEMBL126506,COc1cc(CC(C)N)cc2c1OCO2,-6.0,focalizada_caja_arn
TDP43_v2,CHEMBL154281,COc1cc2c(c(OC)c1OC)-c1cc3c(cc1[C@@H](O)[C@H]1COC(=O)[C@@H]1C2)OCO3,-6.0,focalizada_caja_arn
TDP43_v2,CHEMBL2334880,COc1c(O)ccc2c1CN1CCc3cc4c(cc3[C@H]1C2)OCO4,-7.4,focalizada_caja_arn
