ligand,similitud_activos,afinidad_tdp43v2,atomos_pesados,peso_molecular,esqueleto,nombre_chembl,fase,smiles
BERBERINE,1.0,-7.4,25,336.4,YBHILYKTIRIUTE,,,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
CHEMBL295124,1.0,,25,336.4,YBHILYKTIRIUTE,BERBERINE,4.0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
CHEMBL176008,1.0,,26,348.4,KKMPSGJPCCJYRV,NITIDINE,,COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5
CHEMBL362071,1.0,,24,320.3,XYHOBCMEDLZUMP,COPTISINE,,c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4
CHEMBL417799,1.0,,25,332.3,INVGWHRKADIJHF,SANGUINARIUM,2.0,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
CHEMBL12089,0.979,-7.0,26,371.8,VKJGBAJNNALVAV,BERBERINE CHLORIDE,1.0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-]
CHEMBL8443,0.976,-7.4,27,383.8,QLDAACVSUMUMOR,NITIDINE CHLORIDE,,COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5.[Cl-]
CHEMBL490129,0.974,,26,367.8,GIZKAXHWLRYMLE,SANGUINARIUM CHLORIDE,2.0,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3.[Cl-]
CHEMBL492613,0.868,,30,433.4,JISRTQBQFQMSLG,BERBERINE SULFATE,-1.0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.O=S(=O)([O-])O
CHEMBL274189,0.74,,27,387.9,RLQYRXCUPVKSAW,PALMATINE CHLORIDE,,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-]
CHEMBL13045,0.708,-7.7,26,348.4,LLEJIEBFSOEYIV,CHELERYTHRINE,,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
CHEMBL305942,0.694,,25,334.4,RSCIYYHIBVZXDI,FAGARIDINE,,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1O
CHEMBL1187398,0.688,-6.3,36,484.6,PARVUKRPMAIMOY,,,COc1ccc2cc3[n+](cc2c1OCCCCCC[n+]1ccccc1)CCc1cc2c(cc1-3)OCO2
CHEMBL121087,0.652,,26,350.4,OOKZVPUCASIEBL,,,COc1cc2c(ccc3c4cc(OC)c(OC)cc4c[n+](C)c23)cc1O
CHEMBL47043,0.569,,27,387.9,LNFUSMKUTAMOQF,,,COc1cc2c(cc1OC)-c1cc3cc(OC)c(OC)cc3c[n+]1CC2.[Cl-]
CHEMBL5314422,0.511,,53,727.9,FHZVFXJRSFLYDY,BERBERINE URSODEOXYCHOLATE,2.0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL11531,0.469,-7.7,26,351.4,ZHYQCBCBTQWPLC,OXYBERBERINE,,COc1ccc2cc3n(c(=O)c2c1OC)CCc1cc2c(cc1-3)OCO2
CHEMBL11848,0.431,-7.3,25,337.4,FZAGOOYMTPGPGF,DIHYDROBERBERINE,,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1=C2)OCO4
CHEMBL149056,0.431,,27,364.4,VKHANCMHYATJMZ,JUSTICIDIN B,,COc1cc2cc3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)CO3
CHEMBL2314732,0.403,,24,325.4,PQECCKIOFCWGRJ,,,COc1ccc2c(c1O)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4
CHEMBL4116134,0.402,-8.0,41,543.7,HROJXEDPNGBRJQ,,,COc1ccc2c(Cc3ccc(C)cc3)c3[n+](cc2c1NCCCc1ccccc1)CCc1cc2c(cc1-3)OCO2
