target,ligand,smiles,vina_affinity,tipo
FUS,CHEMBL1163230,Clc1ccc(/C=N/Nc2nc(Nc3cccc(Br)c3)nc(N3CCOCC3)n2)cc1,-6.6,candidato_ambos
FUS,CHEMBL1163540,C[C@@]12CC[C@H](O)[C@@H]3COC(=C31)C(=O)c1cc3cccc(O)c3cc12,-6.7,candidato_ambos
FUS,CHEMBL1204619,O=C1N[C@H]2[C@@H]3OP(=O)(O)O[C@@H]3[C@@H](O)C[C@@H]2c2cc3c(cc21)OCO3,-6.5,candidato_ambos
FUS,CHEMBL1207157,O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1cccc([N+](=O)[O-])c1F,-6.5,candidato_ambos
FUS,CHEMBL1207227,O=C1C(c2c(O)[nH]c3ccc(S(=O)(=O)O)cc23)=Nc2ccccc21,-6.6,candidato_ambos
FUS,CHEMBL1208600,O=C1Nc2ccc(S(=O)(=O)O)cc2/C1=C1/Nc2ccccc2C1=O,-6.6,candidato_ambos
FUS,CHEMBL1210981,O=C(CSc1nnc2c(n1)[nH]c1ccccc12)Nc1cccc([N+](=O)[O-])c1,-6.5,candidato_ambos
FUS,CHEMBL1242896,Cc1nn(-c2ccccc2)c(Cl)c1/C=N/NC(=O)Cc1ccc(Cl)cc1,-6.4,candidato_ambos
FUS,CHEMBL13184,CC(C)=CCc1c(O)n(Cc2ccccc2)c2nc3c(c(=O)n(C)c(=O)n3C)n2c1=O,-6.4,candidato_ambos
FUS,CHEMBL16243,O=C(O)[C@@H]1C[C@H]2C[C@@H](c3ccc(Cc4nnn[nH]4)cc3)CC[C@H]2CN1,-6.4,candidato_ambos
FUS,CHEMBL1796970,O=C1c2cc3c(cc2OCN1CCn1cnc([N+](=O)[O-])n1)C(=O)N1CCCC1O3,-6.8,candidato_ambos
FUS,CHEMBL1858263,Cc1cc(N2CCN(Cc3coc(-c4ccc(O)cc4)n3)CC2)c2ccccc2n1,-6.4,candidato_ambos
FUS,CHEMBL1858825,Cc1cccc(Oc2ncccc2/C(=N/O)N2CCN(c3ccc(F)cc3)CC2)c1C,-6.4,candidato_ambos
FUS,CHEMBL1865383,O=C(CN1CCCN(Cc2cccc(F)c2)S1(=O)=O)Nc1ccc2c(c1)OCCO2,-6.5,candidato_ambos
FUS,CHEMBL20196,Cc1nnc2nc(-c3ccccc3F)c3cc(C#CCN4C(=O)c5ccccc5C4=O)ccc3n12,-6.8,candidato_ambos
FUS,CHEMBL20834,O=C1NC(=O)c2c1c1c(ccc3cccnc31)c1[nH]c3ccccc3c21,-7.3,candidato_ambos
FUS,CHEMBL21079,Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2ccc[n+]([O-])c2)n1,-6.5,candidato_ambos
FUS,CHEMBL21250,CN(C)C(=N)c1ccc(NC(=O)c2nnnn2-c2ccc3cc(Cl)ccc3c2)c(F)c1,-6.4,candidato_ambos
FUS,CHEMBL21594,CC(=O)Nc1nc2ccnc(-c3cccc(NS(=O)(=O)c4ccc(C)cc4)c3)n2n1,-6.6,candidato_ambos
FUS,CHEMBL25084,Nc1nc(C2CCN(C(=O)CCc3ccccc3)CC2)c2ccccc2n1,-6.4,candidato_ambos
FUS,CHEMBL26872,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1CSC3,-6.6,candidato_ambos
FUS,CHEMBL27387,O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C[S+]([O-])C3,-6.9,candidato_ambos
FUS,CHEMBL27890,COc1ccc2c(O)cc(=O)n(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c2c1,-6.5,candidato_ambos
FUS,CHEMBL28202,CN1Cn2c3ccccc3c3c4c(c5c6ccccc6n(c5c32)C1)C(=O)NC4=O,-6.7,candidato_ambos
FUS,CHEMBL28751,CC(=O)Nc1ccc2ccc(S(=O)(=O)Nc3onc(C)c3C)cc2c1,-6.9,candidato_ambos
FUS,CHEMBL4116087,CC(=O)c1c[n+](Cc2ccccc2C)ccc1CC1Cc2cc3c(cc2C1=O)OCO3,-6.4,candidato_ambos
FUS,CHEMBL4436202,N#Cc1ccc2cc3c(=O)n(-c4ccc(Cl)cc4)c(=O)nc-3n(-c3cccc(O)c3)c2c1,-6.4,candidato_ambos
FUS,CHEMBL4534196,CCC(O)(C#Cc1cc(-n2ccc3cnc(N)nc32)ccn1)c1nccs1,-6.5,candidato_ambos
FUS,CHEMBL4548513,O=C(NO)c1cc(F)c(Cn2nnc(-c3ccc4ccccc4n3)n2)c(F)c1,-6.4,candidato_ambos
FUS,CHEMBL4566549,C/C(=N/NC(=N)N)c1sc(-c2ccc(C#Cc3ccccc3)cc2)nc1C,-6.5,candidato_ambos
FUS,CHEMBL4567857,CC1c2nnn(-c3ccc4ccccc4n3)c2CCN1C(=O)c1ccc(F)cc1,-6.5,candidato_ambos
FUS,CHEMBL4568499,O=C(NNC(=O)c1cc2cc(Cl)ccc2oc1=O)c1cc(Cl)ccc1O,-6.8,candidato_ambos
FUS,CHEMBL4572055,Nc1n[nH]c2ccc(-c3cnc(-c4ccccc4-n4cnnn4)s3)cc12,-6.8,candidato_ambos
FUS,CHEMBL4573275,CC(C)(C)c1ccc(C(=O)NC(=S)NNC(=O)c2cccc([N+](=O)[O-])c2)cc1,-6.5,candidato_ambos
FUS,CHEMBL4575782,Cc1cccc(NC(=O)Cn2nc3ccc(-c4ccc(C)c(C)c4)nn3c2=O)c1,-6.5,candidato_ambos
FUS,CHEMBL4582732,COc1ccc(CN2C(=O)c3ccccc3C(C=NNc3nc(=O)cc(C)[nH]3)C2=O)cc1,-6.6,candidato_ambos
FUS,CHEMBL4584626,Cc1ccc(C(=O)C(C)Sc2nnc3c(=O)n(-c4ccc(F)c(F)c4)ccn23)cc1C,-6.6,candidato_ambos
FUS,CHEMBL4636405,CCOC(=O)c1cn(Cc2cn(-c3ccc(Cl)cc3)nn2)c2ccc(F)cc2c1=O,-6.8,candidato_ambos
FUS,CHEMBL4637973,N#Cc1ccc(-n2ccc3cc(C(=O)N4CC(N5CCN(C(=O)c6ccccc6)CC5)C4)ccc32)cc1,-7.2,candidato_ambos
FUS,CHEMBL4638885,COc1cc(Cn2cc(Cn3c4ccccc4c(=O)c4cccc(OC)c43)nn2)cc(OC)c1OC,-6.6,candidato_ambos
FUS,CHEMBL4639751,OC1c2ccccc2C(O)c2c1nnn2-c1cc(F)c(-c2ccccc2F)c(F)c1,-6.8,candidato_ambos
FUS,CHEMBL495952,COc1cccc2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1cccc(F)c1F,-6.9,candidato_ambos
FUS,CHEMBL496484,O=c1c(/C=C(/c2ccc([N+](=O)[O-])cc2)c2nnn[nH]2)coc2ccc(Br)cc12,-6.5,candidato_ambos
FUS,CHEMBL497688,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(Cl)ccc2c1=O,-6.7,candidato_ambos
FUS,CHEMBL498709,O=c1c(/C=C(/c2ccc([N+](=O)[O-])cc2)c2nnn[nH]2)coc2c(Cl)cc(Cl)cc12,-6.8,candidato_ambos
FUS,CHEMBL498713,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(Cl)c(Cl)cc2c1=O,-6.8,candidato_ambos
FUS,CHEMBL501732,O=c1nc(-c2ccc3[nH]ncc3c2)cc(-c2ccc(N3CCNCC3)cc2)[nH]1,-6.8,candidato_ambos
FUS,CHEMBL1206581,CC(C)c1ccc(/C(=C\CC(N)C(=O)O)c2ccc(C#N)cc2)cc1,-6.6,candidato_eficiencia
FUS,CHEMBL12638,CC12C=CC(=O)C=C1[C@H]1C[C@H]1C1C2CCC2(C)C1CCC21CCC(=O)O1,-6.4,candidato_eficiencia
FUS,CHEMBL4434647,O=C(Cn1cc(Cn2c3ccccc3c3ccccc32)nn1)c1cccc(F)c1,-6.4,candidato_eficiencia
FUS,CHEMBL4530098,C=CCOc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,-6.5,candidato_eficiencia
FUS,CHEMBL4533171,CC(=O)Nc1cccc(Nc2nccc3[nH]c(-c4ccccc4)cc23)c1,-6.6,candidato_eficiencia
FUS,CHEMBL4568013,Cc1c(C(=O)N2CC3(C2)CC(F)(F)C3)nnn1-c1nn2cccc2c(=O)[nH]1,-6.7,candidato_eficiencia
FUS,CHEMBL4570691,Cc1nnc2ccc(NCc3cn(-c4ccccc4)nc3C(C)C)nn12,-6.5,candidato_eficiencia
FUS,CHEMBL4572216,Cc1cc(O)cc2c1C(=O)/C(=C/c1ccc(F)cc1)O2,-6.5,candidato_eficiencia
FUS,CHEMBL4634641,O=C1c2cccc3cc([N+](=O)[O-])cc(c23)C(=O)N1C1N=CNN1,-6.7,candidato_eficiencia
