ligand,grupo,aff_caja_actual,aff_caja_arn
CHEMBL12225,fondo,-8.6,-8.0
CHEMBL1795920,fondo,-8.4,-8.4
CHEMBL1796807,fondo,-8.4,-8.4
CHEMBL1808762,fondo,-8.6,-8.3
CHEMBL1809186,fondo,-9.5,-9.9
CHEMBL1859833,fondo,-8.4,-8.3
CHEMBL18816,fondo,-8.5,-9.7
CHEMBL19929,fondo,-8.5,-8.9
CHEMBL28280,fondo,-8.8,-9.6
CHEMBL4434862,fondo,-8.6,-8.5
CHEMBL4529977,fondo,-8.4,-7.7
CHEMBL4529982,fondo,-8.9,-8.8
CHEMBL4531162,fondo,-8.8,-9.3
CHEMBL4532287,fondo,-8.4,-8.3
CHEMBL4534366,fondo,-8.9,-8.7
CHEMBL4564438,fondo,-8.8,-8.5
CHEMBL4564744,fondo,-9.0,-9.2
CHEMBL4566549,fondo,-8.5,-7.6
CHEMBL4571569,fondo,-8.5,-8.4
CHEMBL4571844,fondo,-8.5,-8.4
CHEMBL4572044,fondo,-8.8,-8.7
CHEMBL4581271,fondo,-8.5,-8.5
CHEMBL4581829,fondo,-8.5,-9.3
CHEMBL4583548,fondo,-8.5,-8.5
CHEMBL4635193,fondo,-8.5,-8.9
CHEMBL4635528,fondo,-8.6,-8.7
CHEMBL4636424,fondo,-8.7,-8.8
CHEMBL4636994,fondo,-8.9,-9.0
CHEMBL4638060,fondo,-9.2,-8.6
CHEMBL4639048,fondo,-8.8,-7.8
CHEMBL498704,fondo,-8.5,-8.9
CHEMBL511752,fondo,-8.6,-8.1
CHEMBL512559,fondo,-8.7,-8.7
CHEMBL514278,fondo,-8.6,-8.0
CHEMBL515831,fondo,-8.6,-8.5
CHEMBL515855,fondo,-8.6,-8.8
CHEMBL518018,fondo,-8.4,-8.5
CHEMBL518063,fondo,-8.7,-8.8
CHEMBL518588,fondo,-8.4,-8.4
CHEMBL519419,fondo,-8.4,-8.5
CHEMBL519601,fondo,-8.4,-8.4
CHEMBL519982,fondo,-8.8,-8.8
CHEMBL521548,fondo,-9.1,-8.8
CHEMBL527548,fondo,-8.6,-8.5
CHEMBL563421,fondo,-9.2,-9.3
CHEMBL565988,fondo,-9.3,-9.3
CHEMBL566211,fondo,-8.6,-8.6
CHEMBL568414,fondo,-8.8,-8.8
ESTRONE SULFURIC ACID,fondo,-8.9,-9.0
CHEMBL16795,fondo,-9.1,-9.1
CHEMBL1766559,fondo,-8.5,-8.5
CHEMBL1864753,fondo,-8.8,-8.8
CHEMBL4529577,fondo,-8.5,-8.5
CHEMBL4530711,fondo,-8.4,-7.8
CHEMBL4581606,fondo,-8.5,-8.6
CHEMBL4634844,fondo,-8.7,-8.8
CHEMBL4635360,fondo,-8.8,-8.7
CHEMBL500821,fondo,-8.6,-8.6
CHEMBL511518,fondo,-8.4,-8.5
CHEMBL512187,fondo,-9.0,-9.0
CHEMBL1094870,fondo,-8.4,-9.4
CHEMBL1546634,fondo,-8.5,-10.6
CHEMBL17956,fondo,-8.5,-8.3
CHEMBL18597,fondo,-8.9,-9.2
CHEMBL1862954,fondo,-8.7,-8.8
CHEMBL24827,fondo,-8.6,-7.6
CHEMBL4564272,fondo,-8.8,-8.3
CHEMBL4584906,fondo,-10.1,-10.3
CHEMBL4637197,fondo,-8.8,-7.7
CHEMBL522622,fondo,-8.6,-8.2
CHEMBL562431,fondo,-8.7,-9.2
BERBERINE,control,-7.4,-7.3
KETOCONAZOLE,control,-6.0,-7.5
PE859,control,-7.1,-8.2
berberrubine,control,-7.7,-7.7
coptisine,control,-7.9,-7.9
epiberberine,control,-6.8,-6.9
nitidine,control,-7.3,-7.4
sanguinarine,control,-8.1,-8.6
