ligand,rol,vina,recall,jaccard,coseno,n_contactos
DEC_CHEMBL1536059,decoy,-5.703,0.9615,0.172,0.7477,43
DEC_CHEMBL3208261,decoy,-5.677,0.9615,0.2032,0.6799,52
DEC_CHEMBL1875761,decoy,-5.307,0.9615,0.166,0.7309,45
DEC_CHEMBL1354314,decoy,-5.074,0.9615,0.18,0.7309,45
DEC_CHEMBL1476483,decoy,-4.631,0.9615,0.168,0.7565,42
ACT_CHEMBL2165613,activo,-6.709,0.9444,0.176,0.6041,44
ACT_CHEMBL2165607,activo,-6.261,0.9444,0.188,0.5504,53
ACT_CHEMBL2165604,activo,-5.951,0.9444,0.172,0.5845,47
ACT_CHEMBL2165601,activo,-5.635,0.9444,0.176,0.6041,44
ACT_LCS-1,activo,-4.906,0.9444,0.116,0.7197,31
DEC_CHEMBL1896432,decoy,-6.639,0.9231,0.1542,0.7263,42
DEC_CHEMBL2165612,decoy,-5.781,0.9231,0.172,0.7178,43
DEC_CHEMBL2360645,decoy,-5.43,0.9231,0.1323,0.7351,41
DEC_Gabapentin,decoy,-5.428,0.9231,0.2024,0.6465,53
DEC_CHEMBL1502132,decoy,-5.265,0.9231,0.1922,0.6405,54
DEC_CHEMBL1540430,decoy,-5.245,0.9231,0.144,0.7845,36
DEC_CHEMBL1491587,decoy,-5.0,0.9231,0.14,0.7956,35
DEC_CHEMBL1602618,decoy,-5.0,0.9231,0.1627,0.7178,43
DEC_IPRIFLAVONE,decoy,-4.926,0.9231,0.1502,0.7351,41
DEC_CHEMBL1373755,decoy,-4.565,0.9231,0.1434,0.7738,37
DEC_CHEMBL1879543,decoy,-4.244,0.9231,0.1508,0.7442,40
ACT_CHEMBL2165606,activo,-6.323,0.8947,0.184,0.575,46
ACT_CHEMBL2165610,activo,-6.054,0.8947,0.188,0.5212,56
ACT_CHEMBL1643541,activo,-5.618,0.8947,0.184,0.575,46
DEC_CHEMBL2165608,decoy,-6.218,0.8846,0.172,0.6879,43
DEC_CHEMBL1591882,decoy,-5.908,0.8846,0.1594,0.7044,41
DEC_CHEMBL1502123,decoy,-5.79,0.8846,0.1783,0.6138,54
DEC_CHEMBL1528023,decoy,-5.727,0.8846,0.136,0.7736,34
DEC_CHEMBL1732294,decoy,-5.455,0.8846,0.1865,0.6444,49
DEC_CHEMBL1395044,decoy,-5.453,0.8846,0.176,0.68,44
DEC_CHEMBL2136341,decoy,-5.176,0.8846,0.16,0.7132,40
DEC_CHEMBL1547432,decoy,-5.084,0.8846,0.1753,0.6724,45
DEC_CHEMBL1092384,decoy,-5.065,0.8846,0.1753,0.6724,45
DEC_Teriflunomide,decoy,-5.047,0.8846,0.166,0.6724,45
DEC_CHEMBL1597290,decoy,-5.013,0.8846,0.1641,0.6511,48
DEC_CHEMBL1527656,decoy,-4.999,0.8846,0.172,0.6879,43
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",decoy,-6.14,0.8462,0.1515,0.5871,54
DEC_CHEMBL1587018,decoy,-5.739,0.8462,0.1693,0.6293,47
DEC_CHEMBL1643541,decoy,-5.691,0.8462,0.1554,0.6822,40
DEC_CHEMBL1398411,decoy,-5.677,0.8462,0.1804,0.6042,51
DEC_CHEMBL1524176,decoy,-5.629,0.8462,0.148,0.7093,37
DEC_CHEMBL1475748,decoy,-5.587,0.8462,0.1811,0.6102,50
DEC_CHEMBL1452318,decoy,-5.58,0.8462,0.156,0.6909,39
DEC_CHEMBL1468148,decoy,-5.402,0.8462,0.1423,0.6909,39
DEC_CHEMBL1879692,decoy,-5.394,0.8462,0.16,0.6822,40
DEC_CHEMBL1570928,decoy,-5.245,0.8462,0.176,0.6504,44
DEC_CHEMBL1462643,decoy,-5.024,0.8462,0.1451,0.6658,42
DEC_CHEMBL1601845,decoy,-4.974,0.8462,0.1581,0.658,43
DEC_CHEMBL3213140,decoy,-4.763,0.8462,0.144,0.7191,36
DEC_Melatonin,decoy,-4.752,0.8462,0.1833,0.6293,47
DEC_CHEMBL1461527,decoy,-4.736,0.8462,0.1912,0.6164,49
DEC_CHEMBL1563897,decoy,-4.692,0.8462,0.136,0.7399,34
DEC_CHEMBL1730329,decoy,-4.685,0.8462,0.1512,0.6293,47
DEC_CHEMBL1409776,decoy,-4.526,0.8462,0.152,0.6999,38
DEC_CHEMBL1501518,decoy,-4.108,0.8462,0.128,0.7627,32
ACT_CHEMBL2165608,activo,-6.218,0.8421,0.164,0.5664,42
ACT_CHEMBL2165605,activo,-6.18,0.8421,0.168,0.5664,42
DEC_CHEMBL1402356,decoy,-5.744,0.8077,0.176,0.6209,44
DEC_CHEMBL1395067,decoy,-5.475,0.8077,0.139,0.6139,45
DEC_CHEMBL1570216,decoy,-5.297,0.8077,0.1554,0.6512,40
DEC_CHEMBL1730073,decoy,-5.159,0.8077,0.1304,0.6864,36
DEC_CHEMBL1530615,decoy,-5.132,0.8077,0.1581,0.6281,43
DEC_CHEMBL1896176,decoy,-4.925,0.8077,0.1633,0.6355,42
DEC_CHEMBL2359981,decoy,-4.913,0.8077,0.1211,0.6771,37
DEC_CHEMBL1597270,decoy,-4.757,0.8077,0.148,0.6771,37
DEC_CHEMBL2179266,decoy,-4.573,0.8077,0.1554,0.6512,40
DEC_CHEMBL1256364,decoy,-4.374,0.8077,0.156,0.6595,39
DEC_CHEMBL1491654,decoy,-6.252,0.7692,0.1595,0.5661,48
DEC_CHEMBL2179268,decoy,-5.671,0.7692,0.1673,0.5981,43
DEC_CHEMBL1092602,decoy,-5.658,0.7692,0.1667,0.5492,51
DEC_CHEMBL1431783,decoy,-5.601,0.7692,0.1746,0.5783,46
DEC_CHEMBL1486005,decoy,-5.458,0.7692,0.1587,0.6052,42
DEC_CHEMBL1304181,decoy,-5.386,0.7692,0.1627,0.5981,43
DEC_CHEMBL1605531,decoy,-5.109,0.7692,0.148,0.6448,37
DEC_CHEMBL1476890,decoy,-5.038,0.7692,0.1362,0.6052,42
DEC_CHEMBL1570375,decoy,-5.037,0.7692,0.1434,0.6448,37
DEC_CHEMBL1343679,decoy,-4.987,0.7692,0.144,0.6537,36
DEC_CHEMBL2086626,decoy,-4.869,0.7692,0.1753,0.5847,45
DEC_CHEMBL1440455,decoy,-4.609,0.7692,0.1339,0.6363,38
DEC_CHEMBL1470785,decoy,-4.588,0.7692,0.156,0.6281,39
DEC_CHEMBL1571416,decoy,-4.381,0.7692,0.156,0.6281,39
DEC_CHEMBL3213756,decoy,-4.363,0.7692,0.12,0.7161,30
DEC_CHEMBL124937,decoy,-6.439,0.7308,0.1753,0.5555,45
DEC_CHEMBL2143380,decoy,-5.841,0.7308,0.1553,0.5024,55
DEC_CHEMBL3214262,decoy,-5.639,0.7308,0.1542,0.575,42
DEC_CHEMBL1461506,decoy,-5.358,0.7308,0.132,0.6486,33
DEC_CHEMBL1574978,decoy,-5.246,0.7308,0.1527,0.5167,52
DEC_CHEMBL1210791,decoy,-5.115,0.7308,0.1385,0.5494,46
ACT_CHEMBL2165611,activo,-5.099,0.7083,0.156,0.5354,42
DEC_CHEMBL1570913,decoy,-5.094,0.6923,0.1518,0.5205,46
DEC_CHEMBL1446677,decoy,-4.973,0.6923,0.1514,0.5653,39
DEC_CHEMBL1414576,decoy,-4.891,0.6923,0.1474,0.5727,38
DEC_CHEMBL1574931,decoy,-4.877,0.6923,0.1275,0.6145,33
DEC_CHEMBL1373785,decoy,-4.604,0.6923,0.136,0.6054,34
DEC_CHEMBL1978331,decoy,-4.323,0.6923,0.1394,0.5883,36
