ligand,rol,vina,recall,jaccard,coseno,n_contactos
DEC_Luteolin,decoy,-5.928,0.5294,0.4545,0.6354,59
DEC_Pramipexole,decoy,-4.407,0.5176,0.4835,0.6749,50
DEC_ONONETIN,decoy,-5.645,0.5059,0.4526,0.6407,53
DEC_Riluzole,decoy,-4.569,0.5059,0.4388,0.6233,56
DEC_CHEMBL1413381,decoy,-5.567,0.4941,0.4038,0.5833,61
DEC_CHEMBL1900501,decoy,-5.722,0.4824,0.4409,0.6353,49
DEC_Ezogabine,decoy,-4.91,0.4824,0.402,0.5839,58
DEC_Genistein,decoy,-5.213,0.4706,0.4124,0.6017,52
DEC_CHEMBL1509423,decoy,-4.683,0.4706,0.4124,0.6017,52
DEC_CHEMBL1309718,decoy,-5.764,0.4588,0.39,0.5756,54
DEC_CHEMBL1343668,decoy,-5.431,0.4588,0.3645,0.5416,61
DEC_Baclofen,decoy,-5.085,0.4588,0.4062,0.5982,50
DEC_Alpha-Lipoic_Acid,decoy,-4.1,0.4588,0.4149,0.6106,48
DEC_Quercetin,decoy,-5.955,0.4471,0.4043,0.6012,47
DEC_Apigenin,decoy,-5.571,0.4471,0.3838,0.5716,52
DEC_Baicalein,decoy,-5.567,0.4471,0.38,0.5662,53
DEC_CHEMBL1413075,decoy,-5.141,0.4471,0.4043,0.6012,47
DEC_CHEMBL1569875,decoy,-4.718,0.4471,0.4043,0.6012,47
DEC_KAEMPFEROL,decoy,-5.471,0.4353,0.3936,0.5917,46
DEC_CHEMBL3194612,decoy,-5.44,0.4353,0.3936,0.5917,46
DEC_CHEMBL1579933,decoy,-5.37,0.4235,0.3636,0.5522,50
DEC_CHEMBL1731606,decoy,-5.633,0.4118,0.3684,0.5659,45
DEC_CHEMBL1939222,decoy,-5.225,0.4118,0.3241,0.4985,58
DEC_CHEMBL2142154,decoy,-5.503,0.3529,0.2459,0.3975,67
DEC_CHEMBL1315185,decoy,-5.424,0.3529,0.2913,0.4697,48
DEC_CHEMBL1474627,decoy,-5.125,0.3529,0.3061,0.4962,43
DEC_CHEMBL1969867,decoy,-4.736,0.3529,0.283,0.4556,51
ACT_CHEMBL2165613,activo,-6.709,0.3294,0.2772,0.4578,44
ACT_CHEMBL2165607,activo,-6.261,0.3294,0.2545,0.4172,53
DEC_CHEMBL1536059,decoy,-5.703,0.3294,0.28,0.4631,43
DEC_CHEMBL1875761,decoy,-5.307,0.3294,0.2745,0.4527,45
