ligand,rol,vina,recall,jaccard,coseno,n_contactos
DECH_CHEMBL294199,decoy,-5.543,0.6975,0.6148,0.7647,99
DECH_CHEMBL1201273,decoy,-6.044,0.6807,0.5827,0.7388,101
DECH_CHEMBL1201251,decoy,-6.048,0.6723,0.5797,0.7371,99
DECH_CHEMBL926,decoy,-6.1,0.6303,0.5515,0.7168,92
ACT_naftalenoaminoalcohol_946,activo,-6.846,0.6218,0.5248,0.6923,96
DECH_CHEMBL1877893,decoy,-6.395,0.5714,0.5397,0.7198,75
DECH_CHEMBL252556,decoy,-4.301,0.5714,0.4755,0.6499,92
DECM_CHEMBL14043,decoy,-7.187,0.563,0.5038,0.6824,81
DECM_CHEMBL4436558,decoy,-6.862,0.563,0.5234,0.7045,76
DECH_CHEMBL1256841,decoy,-5.806,0.5546,0.5197,0.7033,74
DECH_CHEMBL28280,decoy,-6.71,0.5294,0.5,0.6903,70
DECH_CHEMBL98,decoy,-4.922,0.5294,0.4961,0.6854,71
DECM_CHEMBL17224,decoy,-6.699,0.5294,0.4667,0.6498,79
DECH_CHEMBL19179,decoy,-6.227,0.521,0.4366,0.6165,85
DECH_CHEMBL26518,decoy,-6.794,0.521,0.4429,0.6238,83
DECM_CHEMBL4435214,decoy,-6.652,0.5126,0.4729,0.6636,71
DECM_CHEMBL1896432,decoy,-6.341,0.5042,0.438,0.6228,78
DEC_CHEMBL1321608,decoy,-5.992,0.5042,0.4839,0.6822,65
ACT_dopamina,activo,-4.553,0.4958,0.4184,0.6009,81
DECH_CHEMBL105,decoy,-5.134,0.4958,0.3831,0.5578,94
DEC_CHEMBL1468148,decoy,-5.368,0.4958,0.472,0.6708,65
DECM_CHEMBL21594,decoy,-7.464,0.4874,0.4265,0.6139,75
DEC_CHEMBL1472702,decoy,-6.677,0.4874,0.4603,0.6595,65
DEC_KAEMPFEROL,decoy,-5.759,0.4874,0.3973,0.5767,85
DECH_CHEMBL329522,decoy,-5.598,0.479,0.3373,0.5051,107
DEC_CHEMBL1558140,decoy,-5.507,0.479,0.4419,0.6384,67
ACT_paliperidona_K4I,activo,-6.727,0.4706,0.3972,0.5813,78
DECH_CHEMBL2103827,decoy,-4.971,0.4706,0.3314,0.4986,106
DECH_CHEMBL4594379,decoy,-5.122,0.4706,0.3478,0.5186,98
DECH_CHEMBL70,decoy,-6.244,0.4706,0.4375,0.6367,65
DECM_CHEMBL4435035,decoy,-6.6,0.4706,0.4211,0.6136,70
DEC_CHEMBL2142154,decoy,-5.575,0.4706,0.4242,0.618,69
DECH_CHEMBL1009,decoy,-5.233,0.4622,0.3503,0.5228,93
DECH_CHEMBL679,decoy,-4.575,0.4622,0.3481,0.52,94
DECH_CHEMBL963,decoy,-6.08,0.4622,0.44,0.6455,61
DECM_CHEMBL1232461,decoy,-5.483,0.4622,0.4365,0.6403,62
DECM_CHEMBL3547132,decoy,-5.369,0.4622,0.3416,0.5119,97
DECH_CHEMBL1601733,decoy,-5.95,0.4538,0.432,0.6391,60
DECH_CHEMBL398707,decoy,-6.371,0.4538,0.4219,0.6237,63
DECH_CHEMBL80,decoy,-5.78,0.4538,0.432,0.6391,60
DECM_CHEMBL3400972,decoy,-5.362,0.4538,0.3396,0.5106,94
DECM_CHEMBL704,decoy,-4.6,0.4538,0.3803,0.5641,77
DEC_CHEMBL1327582,decoy,-6.683,0.4538,0.4219,0.6237,63
DEC_CHEMBL1330118,decoy,-6.218,0.4538,0.4355,0.6445,59
DEC_CHEMBL1491654,decoy,-6.861,0.4538,0.4355,0.6445,59
ACT_isoproterenol,activo,-4.636,0.4454,0.3312,0.5011,94
DECH_CHEMBL1161220,decoy,-5.449,0.4454,0.3655,0.5466,79
DECH_CHEMBL1406300,decoy,-6.27,0.4454,0.4309,0.6435,57
DECH_CHEMBL20160,decoy,-6.251,0.4454,0.4077,0.6073,64
DECH_CHEMBL27556,decoy,-6.988,0.4454,0.4274,0.638,58
DECH_CHEMBL311498,decoy,-5.498,0.4454,0.3354,0.5065,92
DECH_CHEMBL434,decoy,-4.481,0.4454,0.3272,0.4959,96
DECH_CHEMBL953,decoy,-5.035,0.4454,0.3333,0.5038,93
DECM_CHEMBL20651,decoy,-7.138,0.4454,0.4173,0.6221,61
DEC_CHEMBL1398411,decoy,-6.376,0.4454,0.3813,0.5686,73
DEC_CHEMBL1575024,decoy,-6.285,0.4454,0.4046,0.6026,65
