ligand,rol,vina,recall,jaccard,coseno,n_contactos
ACT_CHEMBL1643541,activo,-5.106,1.0,0.2108,0.6151,74
ACT_CHEMBL2165606,activo,-5.896,1.0,0.1766,0.672,62
ACT_CHEMBL2165608,activo,-5.558,1.0,0.1652,0.6948,58
ACT_quinazolina_12I,activo,-4.961,1.0,0.1852,0.6563,65
DECH_CHEMBL1162123,decoy,-6.248,1.0,0.1966,0.637,69
DECH_CHEMBL2105345,decoy,-4.658,1.0,0.1751,0.6563,65
DECH_CHEMBL311498,decoy,-5.498,1.0,0.2479,0.5517,92
DECH_CHEMBL4594379,decoy,-5.122,1.0,0.2684,0.5345,98
DECH_CHEMBL503634,decoy,-5.078,1.0,0.2194,0.603,77
DECH_CHEMBL677,decoy,-4.685,1.0,0.2479,0.5673,87
DECM_CHEMBL2165606,decoy,-5.885,1.0,0.1766,0.672,62
DECM_CHEMBL267400,decoy,-6.202,1.0,0.1538,0.7201,54
DECM_CHEMBL465026,decoy,-5.876,1.0,0.1254,0.7977,44
DECM_CHEMBL469,decoy,-5.905,1.0,0.2023,0.628,71
DECM_CHEMBL524,decoy,-4.738,1.0,0.2301,0.5843,82
DECM_CHEMBL979,decoy,-4.502,1.0,0.2386,0.5739,85
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",decoy,-6.516,1.0,0.1909,0.6465,67
DEC_CHEMBL1092602,decoy,-5.136,1.0,0.2222,0.5991,78
DEC_CHEMBL1429958,decoy,-4.869,1.0,0.1852,0.6563,65
DEC_CHEMBL1430765,decoy,-5.52,1.0,0.1709,0.6831,60
DEC_CHEMBL1476890,decoy,-5.583,1.0,0.1111,0.8473,39
DEC_CHEMBL1570375,decoy,-4.937,1.0,0.1567,0.7135,55
DEC_CHEMBL1579274,decoy,-4.696,1.0,0.1225,0.8069,43
DEC_CHEMBL1643541,decoy,-5.231,1.0,0.2137,0.611,75
DEC_CHEMBL1732240,decoy,-6.267,1.0,0.1823,0.6614,64
DEC_CHEMBL1896432,decoy,-6.199,1.0,0.1813,0.6513,66
DEC_CHEMBL1978331,decoy,-4.679,1.0,0.1489,0.6948,58
DEC_CHEMBL2179266,decoy,-5.373,1.0,0.1624,0.7009,57
DEC_CHEMBL267400,decoy,-6.256,1.0,0.1652,0.6948,58
DEC_KAEMPFEROL,decoy,-5.759,1.0,0.2422,0.5739,85
ACT_CHEMBL2165604,activo,-5.051,0.9643,0.1709,0.6587,60
