ligand,grupo,actual_afinidad,actual_apila_por_atomo,actual_apilamiento,actual_arn_por_atomo,actual_atomos,actual_contactos,actual_contactos_arn,actual_contactos_por_atomo,actual_interaccion,actual_interaccion_por_atomo,actual_puentes,arn_afinidad,arn_apila_por_atomo,arn_apilamiento,arn_arn_por_atomo,arn_atomos,arn_contactos,arn_contactos_arn,arn_contactos_por_atomo,arn_interaccion,arn_interaccion_por_atomo,arn_puentes
CHEMBL514689,fondo,-6.9,0.18181818181818182,6,0.0,33,112,0,3.393939393939394,9,0.2727272727272727,3,-8.2,0.9696969696969697,32,4.515151515151516,33,155,149,4.696969696969697,37,1.121212121212121,5
CHEMBL1864612,fondo,,,,,,,,,,,,,,,,,,,,,,
CHEMBL520171,fondo,-7.6,0.7037037037037037,19,4.074074074074074,27,140,110,5.185185185185185,21,0.7777777777777778,2,-7.8,0.6296296296296297,17,4.518518518518518,27,144,122,5.333333333333333,19,0.7037037037037037,2
CHEMBL563832,fondo,-6.8,1.95,39,5.95,20,119,119,5.95,40,2.0,1,-6.9,1.85,37,5.55,20,111,111,5.55,38,1.9,1
CHEMBL42673,fondo,-6.0,0.8461538461538461,22,5.269230769230769,26,147,137,5.653846153846154,22,0.8461538461538461,0,-5.9,0.0,0,5.3076923076923075,26,139,138,5.346153846153846,0,0.0,0
CHEMBL34572,fondo,,,,,,,,,,,,,,,,,,,,,,
CHEMBL503287,fondo,-6.3,0.0625,3,0.0,48,124,0,2.5833333333333335,9,0.1875,6,-7.1,0.6458333333333334,31,3.125,48,152,150,3.1666666666666665,32,0.6666666666666666,1
CHEMBL3309927,fondo,-6.7,1.7058823529411764,29,5.470588235294118,17,99,93,5.823529411764706,29,1.7058823529411764,0,-6.7,1.588235294117647,27,5.117647058823529,17,93,87,5.470588235294118,27,1.588235294117647,0
CHEMBL10275,fondo,-8.1,2.0476190476190474,43,5.857142857142857,21,139,123,6.619047619047619,46,2.1904761904761907,3,-8.1,2.0952380952380953,44,5.904761904761905,21,140,124,6.666666666666667,47,2.238095238095238,3
CHEMBL18859,fondo,-5.9,0.043478260869565216,1,0.0,23,111,0,4.826086956521739,7,0.30434782608695654,6,-5.5,0.17391304347826086,4,3.217391304347826,23,74,74,3.217391304347826,8,0.34782608695652173,4
CHEMBL4533807,fondo,-6.1,0.0,0,0.0,27,83,0,3.074074074074074,4,0.14814814814814814,4,-5.9,0.0,0,2.962962962962963,27,80,80,2.962962962962963,2,0.07407407407407407,2
CHEMBL502138,fondo,-7.5,0.02,1,3.86,50,214,193,4.28,5,0.1,4,-7.4,0.18,9,3.86,50,195,193,3.9,12,0.24,3
CHEMBL4435418,fondo,-6.6,1.0,24,6.708333333333333,24,177,161,7.375,26,1.0833333333333333,2,-6.8,0.875,21,6.916666666666667,24,184,166,7.666666666666667,23,0.9583333333333334,2
CHEMBL564594,fondo,-8.2,1.7,34,6.7,20,140,134,7.0,36,1.8,2,-8.2,1.8,36,6.7,20,137,134,6.85,39,1.95,3
CHEMBL500754,fondo,-5.2,0.0,0,0.0,50,122,0,2.44,5,0.1,5,-5.2,0.0,0,2.44,50,122,122,2.44,3,0.06,3
CHEMBL48864,fondo,-8.3,1.1071428571428572,31,5.607142857142857,28,157,157,5.607142857142857,40,1.4285714285714286,9,-8.4,1.3571428571428572,38,6.107142857142857,28,173,171,6.178571428571429,43,1.5357142857142858,5
CHEMBL29351,fondo,-8.0,1.4736842105263157,28,5.526315789473684,19,108,105,5.684210526315789,28,1.4736842105263157,0,-8.1,1.4736842105263157,28,5.631578947368421,19,111,107,5.842105263157895,29,1.5263157894736843,1
CHEMBL519439,fondo,-5.1,0.0,0,0.0,25,71,0,2.84,4,0.16,4,-5.6,0.0,0,2.72,25,68,68,2.72,0,0.0,0
CHEMBL30161,fondo,-4.8,0.0,0,7.285714285714286,14,109,102,7.785714285714286,7,0.5,7,-4.8,0.0,0,7.5,14,112,105,8.0,7,0.5,7
CHEMBL62327,fondo,-6.7,0.525,21,0.0,40,136,0,3.4,26,0.65,5,-7.2,0.775,31,3.1,40,125,124,3.125,33,0.825,2
CHEMBL9994,fondo,-6.4,0.23529411764705882,8,3.4705882352941178,34,164,118,4.823529411764706,13,0.38235294117647056,5,-6.4,0.9411764705882353,32,4.235294117647059,34,146,144,4.294117647058823,34,1.0,2
CHEMBL4636307,fondo,-6.6,0.7857142857142857,22,4.75,28,149,133,5.321428571428571,22,0.7857142857142857,0,-7.2,0.17857142857142858,5,5.0,28,152,140,5.428571428571429,7,0.25,2
CHEMBL521948,fondo,-7.6,1.2222222222222223,33,4.851851851851852,27,132,131,4.888888888888889,34,1.2592592592592593,1,-7.6,1.2222222222222223,33,5.148148148148148,27,140,139,5.185185185185185,34,1.2592592592592593,1
CHEMBL64550,fondo,-5.8,0.0,0,0.0,36,161,0,4.472222222222222,8,0.2222222222222222,8,-5.8,0.6111111111111112,22,4.222222222222222,36,180,152,5.0,28,0.7777777777777778,6
CHEMBL4565046,fondo,-7.4,1.7777777777777777,32,6.888888888888889,18,126,124,7.0,35,1.9444444444444444,3,-7.3,1.7777777777777777,32,6.888888888888889,18,126,124,7.0,34,1.8888888888888888,2
CHEMBL11879,fondo,-8.1,1.3703703703703705,37,5.2592592592592595,27,172,142,6.37037037037037,38,1.4074074074074074,1,-8.0,1.3333333333333333,36,5.592592592592593,27,153,151,5.666666666666667,37,1.3703703703703705,1
CHEMBL4533906,fondo,-6.8,1.8421052631578947,35,5.631578947368421,19,110,107,5.7894736842105265,35,1.8421052631578947,0,-6.7,1.8421052631578947,35,5.631578947368421,19,108,107,5.684210526315789,35,1.8421052631578947,0
CHEMBL558729,fondo,-5.8,0.5151515151515151,17,0.0,33,107,0,3.242424242424242,17,0.5151515151515151,0,-6.4,0.3333333333333333,11,3.787878787878788,33,126,125,3.8181818181818183,11,0.3333333333333333,0
CHEMBL560846,fondo,-6.3,0.9642857142857143,27,3.9642857142857144,28,117,111,4.178571428571429,27,0.9642857142857143,0,-7.0,1.1428571428571428,32,6.357142857142857,28,181,178,6.464285714285714,33,1.1785714285714286,1
CHEMBL12354,fondo,-7.2,0.18421052631578946,7,0.23684210526315788,38,116,9,3.0526315789473686,8,0.21052631578947367,1,-8.0,0.7105263157894737,27,3.3421052631578947,38,147,127,3.8684210526315788,27,0.7105263157894737,0
CHEMBL20070,fondo,-6.0,0.2631578947368421,10,0.0,38,82,0,2.1578947368421053,13,0.34210526315789475,3,-6.5,0.8157894736842105,31,3.6578947368421053,38,143,139,3.763157894736842,32,0.8421052631578947,1
CHEMBL66206,fondo,-6.4,0.8571428571428571,24,4.607142857142857,28,133,129,4.75,25,0.8928571428571429,1,-7.4,1.6428571428571428,46,4.821428571428571,28,139,135,4.964285714285714,47,1.6785714285714286,1
CHEMBL508268,fondo,-7.0,1.368421052631579,26,6.368421052631579,19,123,121,6.473684210526316,27,1.4210526315789473,1,-7.0,1.3157894736842106,25,6.315789473684211,19,122,120,6.421052631578948,25,1.3157894736842106,0
