target,ligand,vina_affinity,smiles,mmgbsa_dG,dG_sd,n_rep,e_complex,e_receptor,e_ligand,segundos,receptor_md5,plataforma,error
TDP43_v2,PE859,,COC1=C(C=CC(=C1)OCC2=CC=CC=N2)C=CC3=CC(=NN3)C=CC4=CC5=C(C=C4)C=CN5,-31.99,0.3,3,-4197.53,-4202.14,36.61,83.5,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,berberrubine,,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)O,-11.08,0.44,3,-4239.2,-4204.13,-23.98,83.9,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,BERBERINE,,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,-8.76,0.47,3,-4223.7,-4204.21,-10.73,84.6,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,sanguinarine,,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6,-13.02,0.66,3,-4216.6,-4207.35,3.77,82.1,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,epiberberine,,COC1=C(C=C2C(=C1)CC[N+]3=C2C=C4C=CC5=C(C4=C3)OCO5)OC,-19.65,0.04,3,-4235.85,-4202.98,-13.22,70.2,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,coptisine,,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,-7.2,1.05,3,-4220.99,-4196.81,-16.98,76.0,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,nitidine,,C[N+]1=CC2=CC(=C(C=C2C3=C1C4=CC5=C(C=C4C=C3)OCO5)OC)OC,-12.22,3.36,3,-4204.86,-4197.66,5.01,77.6,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,KETOCONAZOLE,,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,-28.96,0.24,3,-4173.01,-4204.89,60.84,76.7,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,cepharanthine,,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,,,3,,,,6.6,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,"{'mmgbsa_dG': None, 'error': 'n atomos no coincide: SMILES 45 vs pose 47'}"
TDP43_v2,cepharanthine,,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,,,3,,,,4.9,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,"{'mmgbsa_dG': None, 'error': 'n atomos no coincide: SMILES 45 vs pose 47'}"
TDP43_v2,cepharanthine_limpio,,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,,,3,,,,5.0,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,"{'mmgbsa_dG': None, 'error': 'n atomos no coincide: SMILES 45 vs pose 47'}"
